excel_region,match_status,polity_code,parent_code,has_polygon,polygon_source,quality_tier,needs_subnational
aden and perim,matched,ADE-1839-1967,,True,CShapes 2.0 (1937-1962),1,False
aegean economic zone,matched,GRC-1919-2025,,True,CShapes 2.0 (1944-2019),1,False
albania,matched,ALB-1913-2025,,True,CShapes 2.0 (1944-2019),1,False
argentina,matched,ARG-1902-2025,,True,CShapes 2.0 (1902-2019),1,False
argentina: mendoza,subnational,ARG-1902-2025,ARG-1902-2025,True,GADM admin-1: ARG [Mendoza],2,True
australia,matched,AUS-1901-2025,,True,CShapes 2.0 (1927-2019),1,False
australia (production area),matched,AUS-1901-2025,,True,CShapes 2.0 (1927-2019),1,False
australia (total and production area),matched,AUS-1901-2025,,True,CShapes 2.0 (1927-2019),1,False
australia (total area),matched,AUS-1901-2025,,True,CShapes 2.0 (1927-2019),1,False
australia administered islands,matched,AUS-1901-2025,,True,CShapes 2.0 (1927-2019),1,False
australia: queensland,subnational,AUS-1901-2025,AUS-1901-2025,True,GADM admin-1: AUS [Queensland],2,True
australia: tasmania,subnational,AUS-1901-2025,AUS-1901-2025,True,GADM admin-1: AUS [Tasmania],2,True
australia: victoria,subnational,AUS-1901-2025,AUS-1901-2025,True,GADM admin-1: AUS [Victoria],2,True
australian papua,matched,PAP-1800-1949,,True,CShapes 2.0 (1886-1887),1,False
austria,matched,AUT-1918-2025,,True,CShapes 2.0 (1955-2019),1,False
austria-hungary,matched,AUH-1908-1918,,True,CShapes 2.0 (1908-1918),1,False
belgian congo,matched,BEL-1885-2025,,True,CShapes 2.0 (1910-1960),1,False
belgian ruanda-urundi,matched,RWB-1919-2025,,True,CShapes 2.0 (1922-1962),1,False
belgium,matched,BEL-1831-2025,,True,CShapes 2.0 (1886-1940),1,False
belgium-luxembourg economic union,matched,F15-1800-1999,,True,CShapes 2.0 (1886-1940),1,False
bolivia,matched,BOL-1938-2025,,True,CShapes 2.0 (1938-2019),1,False
brazil,matched,BRA-1909-2025,,True,CShapes 2.0 (1960-2019),1,False
brazil: sao paulo,subnational,BRA-1909-2025,BRA-1909-2025,True,GADM admin-1: BRA [São Paulo],2,True
british aden,matched,ADE-1839-1967,,True,CShapes 2.0 (1937-1962),1,False
british aden (by land),matched,ADE-1839-1967,,True,CShapes 2.0 (1937-1962),1,False
british aden (by sea),matched,ADE-1839-1967,,True,CShapes 2.0 (1937-1962),1,False
british andaman and nicobar,matched,IND-1800-1947,,True,CShapes 2.0 (1886-1893),1,False
british antigua,matched,ATG-1800-2025,,True,CShapes 2.0 (1981-2019),1,False
british ascension,matched,SHN-1800-2025,,True,GADM 4.1,1,False
british bahamas,matched,BHS-1800-2025,,True,CShapes 2.0 (1886-1973),1,False
british barbados,matched,BRB-1800-2025,,True,CShapes 2.0 (1886-1966),1,False
british basutoland,matched,BAS-1884-2025,,True,CShapes 2.0 (1886-1966),1,False
british bechuanaland,matched,BEC-1885-2025,,True,CShapes 2.0 (1890-1895),1,False
british bermuda,matched,BMU-1800-2025,,True,GADM 4.1,1,False
british brunei,matched,BRN-1888-2025,,True,CShapes 2.0 (1888-1983),1,False
british burma,matched,MMR-1800-2025,,True,CShapes 2.0 (1948-2005),1,False
british cameroon,matched,BCA-1914-2025,,True,CShapes 2.0 (1922-1961),1,False
british caymans,matched,CYM-1800-2025,,True,GADM 4.1,1,False
british ceylon,matched,LKA-1800-2025,,True,CShapes 2.0 (1886-1948),1,False
british christmas,matched,CXR-1800-2025,,True,GADM 4.1,1,False
british cyprus,matched,CYP-1879-2025,,True,CShapes 2.0 (1914-1960),1,False
british dominica,matched,DMA-1800-2025,,True,CShapes 2.0 (1978-2019),1,False
british falkland islands,matched,FLK-1833-2025,,True,"GADM 3.6 (full, FLK)",1,False
british federated malay states,matched,FED-1909-1946,,True,CShapes 2.0 (1909-1946),1,False
british fiji,matched,FJI-1874-2025,,True,CShapes 2.0 (1886-1970),1,False
british gambia,matched,GMB-1800-2025,,True,CShapes 2.0 (1889-1965),1,False
british gibraltar,matched,GIB-1800-2025,,True,GADM 4.1,1,False
british gilbert and ellice,matched,GIL-1892-2025,,True,CShapes 2.0 (1999-2019),1,False
british gold coast,matched,GOL-1843-2025,,True,CShapes 2.0 (1898-1956),1,False
british grenada,matched,GRD-1800-1833,,True,GADM 4.1,1,False
british guernsey,matched,GGY-2005-2025,,True,GADM 4.1,1,False
british guiana,matched,GUY-1800-2025,,True,CShapes 2.0 (1886-1966),1,False
