source,code,name,iso,severity,note
COW,54,Dominica,DMA,low,COW state not matched to polity
COW,273,Hesse Grand Ducal,HSD,low,COW state not matched to polity
COW,291,Parma,PRM,low,COW state not matched to polity
COW,293,Papal States,PAP,low,COW state not matched to polity
COW,294,Tuscany,TUS,low,COW state not matched to polity
COW,331,Vatican City/Holy See,VAT,low,COW state not matched to polity
COW,340,Poland,POL,low,COW state not matched to polity
COW,342,Latvia,LVA,low,COW state not matched to polity
COW,357,Denmark,DNK,low,COW state not matched to polity
COW,402,Cape Verde,CPV,low,COW state not matched to polity
COW,511,Zanzibar,ZNZ,low,COW state not matched to polity
COW,581,Comoros,COM,low,COW state not matched to polity
COW,760,Bhutan,BTN,low,COW state not matched to polity
COW,817,"Vietnam, Democratic Republic",VDR,low,COW state not matched to polity
COW,818,Republic of Vietnam,RVN,low,COW state not matched to polity
polygon,DRO-1800-1982,Dronning Maud Land,DRO,medium,"No polygon (dependency, Antarctica)"
polygon,DAN-1800-1845,Danish India,DAN,medium,"No polygon (historical, Asia)"
polygon,NEU-1800-1982,Neutral Zone,NEU,medium,"No polygon (dependency, Asia)"
polygon,F285-2011-2023,Sark,,medium,"No polygon (dependency, Europe)"
polygon,CAN-1800-1982,Canton and Enderbury Islands,CAN,medium,"No polygon (historical, North America)"
polygon,JTN-1800-1982,Johnston Island,JTN,medium,"No polygon (dependency, Oceania)"
polygon,UNI-1800-1982,United States miscellaneous Pacific Islands,UNI,medium,"No polygon (dependency, Oceania)"
polygon,MID-1859-1982,Midway Islands,MID,medium,"No polygon (dependency, Oceania)"
polygon,USS-1859-2025,US settlement Oceania,USS,medium,"No polygon (dependency, Oceania)"
polygon,WAK-1898-1982,Wake Island,WAK,medium,"No polygon (dependency, Oceania)"
chain,ARM-1991-2025,→ F228-1940-1991,,low,Broken predecessor ref
chain,AZE-1991-2025,→ F228-1940-1991,,low,Broken predecessor ref
chain,GEO-1991-2025,→ F228-1940-1991,,low,Broken predecessor ref
chain,KAZ-1991-2025,→ F228-1940-1991,,low,Broken predecessor ref
