prefix,code1,name1,type1,code2,name2,type2,overlap_years,category
AND,AND-1800-2025,Andorra,sovereign,AND-1816-1863,Anhalt-Dessau,historical,48,different_type_dual
BAD,BAD-1800-1873,Badakhshan,historical,BAD-1800-1871,Baden,colonial,72,different_type_dual
BEL,BEL-1831-2025,Belgium,sovereign,BEL-1885-2025,Belgian Congo,aggregate,141,different_type_dual
BRI,BRI-1800-1895,British Bechuanaland (to 1895),colonial,BRI-1800-1960,British Protectorate (British Somaliland) (to 1960),colonial,96,iso_collision
BRI,BRI-1800-1960,British Protectorate (British Somaliland) (to 1960),colonial,BRI-1919-1961,British Cameroon (1919-1961),mandate,42,different_type_dual
BRI,BRI-1800-1960,British Protectorate (British Somaliland) (to 1960),colonial,BRI-1922-1955,British Togoland (1922-1955),colonial,34,iso_collision
BRI,BRI-1919-1961,British Cameroon (1919-1961),mandate,BRI-1922-1955,British Togoland (1922-1955),colonial,34,different_type_dual
BRN,BRN-1816-1888,Brunei (greater),historical,BRN-1888-2025,Brunei Darussalam,sovereign,1,different_type_dual
CAM,CAM-1800-1904,Cambodia (to 1904),historical,CAM-1904-1907,Cambodia (1904-1907),historical,1,same_entity_period_split
CAN,CAN-1800-2025,Canary Islands,dependency,CAN-1800-1982,Canton and Enderbury Islands,historical,183,different_type_dual
CAN,CAN-1800-2025,Canary Islands,dependency,CAN-1866-1948,Canada (to 1948),historical,83,different_type_dual
CAN,CAN-1800-2025,Canary Islands,dependency,CAN-1948-2025,Canada,sovereign,78,different_type_dual
CAN,CAN-1800-1982,Canton and Enderbury Islands,historical,CAN-1866-1948,Canada (to 1948),historical,83,iso_collision
CAN,CAN-1800-1982,Canton and Enderbury Islands,historical,CAN-1948-2025,Canada,sovereign,35,different_type_dual
CAN,CAN-1866-1948,Canada (to 1948),historical,CAN-1948-2025,Canada,sovereign,1,same_entity_period_split
CHA,CHA-1800-2023,Channel Islands,dependency,CHA-1900-1912,Chad (1900-1912),historical,13,different_type_dual
CHA,CHA-1800-2023,Channel Islands,dependency,CHA-1912-1919,Chad (1912-1919),historical,8,different_type_dual
CHA,CHA-1900-1912,Chad (1900-1912),historical,CHA-1912-1919,Chad (1912-1919),historical,1,same_entity_period_split
CHE,CHE-1800-2025,Switzerland,sovereign,CHE-1816-1857,Chechnya,historical,42,different_type_dual
CHN,CHN-1800-1895,China (to 1895),historical,CHN-1800-2025,"China, mainland",aggregate,96,different_type_dual
CHN,CHN-1800-1895,China (to 1895),historical,CHN-1895-1912,China (1895-1912),historical,1,same_entity_period_split
CHN,CHN-1800-2025,"China, mainland",aggregate,CHN-1895-1912,China (1895-1912),historical,18,different_type_dual
CHN,CHN-1800-2025,"China, mainland",aggregate,CHN-1913-1914,China (1913-1914),historical,2,different_type_dual
CHN,CHN-1800-2025,"China, mainland",aggregate,CHN-1914-1921,China (1914-1921),historical,8,different_type_dual
CHN,CHN-1800-2025,"China, mainland",aggregate,CHN-1921-1945,China (1921-1945),historical,25,different_type_dual
CHN,CHN-1800-2025,"China, mainland",aggregate,CHN-1945-1947,China (1945-1947),historical,3,different_type_dual
CHN,CHN-1800-2025,"China, mainland",aggregate,CHN-1947-1949,China (1947-1949),historical,3,different_type_dual
CHN,CHN-1800-2025,"China, mainland",aggregate,CHN-1949-1950,China (1949-1950),historical,2,different_type_dual
CHN,CHN-1913-1914,China (1913-1914),historical,CHN-1914-1921,China (1914-1921),historical,1,same_entity_period_split
CHN,CHN-1914-1921,China (1914-1921),historical,CHN-1921-1945,China (1921-1945),historical,1,same_entity_period_split
CHN,CHN-1921-1945,China (1921-1945),historical,CHN-1945-1947,China (1945-1947),historical,1,same_entity_period_split
CHN,CHN-1945-1947,China (1945-1947),historical,CHN-1947-1949,China (1947-1949),historical,1,same_entity_period_split
CHN,CHN-1947-1949,China (1947-1949),historical,CHN-1949-1950,China (1949-1950),historical,1,same_entity_period_split
CON,CON-1800-1898,Congo (to 1898),historical,CON-1800-1891,Democratic Republic of the Congo (to 1891),historical,92,iso_collision
CON,CON-1800-1898,Congo (to 1898),historical,CON-1891-1894,Democratic Republic of the Congo (1891-1894),historical,4,iso_collision
CON,CON-1800-1898,Congo (to 1898),historical,CON-1894-1910,Democratic Republic of the Congo (1894-1910),historical,5,iso_collision
CON,CON-1800-1898,Congo (to 1898),historical,CON-1898-1900,Congo (1898-1900),historical,1,same_entity_period_split
CON,CON-1800-1891,Democratic Republic of the Congo (to 1891),historical,CON-1891-1894,Democratic Republic of the Congo (1891-1894),historical,1,same_entity_period_split
CON,CON-1891-1894,Democratic Republic of the Congo (1891-1894),historical,CON-1894-1910,Democratic Republic of the Congo (1894-1910),historical,1,same_entity_period_split
CON,CON-1894-1910,Democratic Republic of the Congo (1894-1910),historical,CON-1898-1900,Congo (1898-1900),historical,3,iso_collision
CON,CON-1894-1910,Democratic Republic of the Congo (1894-1910),historical,CON-1900-1906,Congo (1900-1906),historical,7,iso_collision
CON,CON-1894-1910,Democratic Republic of the Congo (1894-1910),historical,CON-1906-1912,Congo (1906-1912),historical,5,iso_collision
CON,CON-1898-1900,Congo (1898-1900),historical,CON-1900-1906,Congo (1900-1906),historical,1,same_entity_period_split
CON,CON-1900-1906,Congo (1900-1906),historical,CON-1906-1912,Congo (1906-1912),historical,1,same_entity_period_split
CON,CON-1906-1912,Congo (1906-1912),historical,CON-1912-1919,Congo (1912-1919),historical,1,same_entity_period_split
DAN,DAN-1800-1845,Danish India,historical,DAN-1800-2025,Danish Virgin Islands,aggregate,46,different_type_dual
DAN,DAN-1800-2025,Danish Virgin Islands,aggregate,DAN-1919-1938,Danzig (1919-1938),mandate,20,different_type_dual
DUT,DUT-1800-2025,Dutch West Indies (Netherland Antilles),aggregate,DUT-1898-2025,Dutch new Guinea,aggregate,128,iso_collision
FED,FED-1895-1922,Federated Malay States,colonial,FED-1896-1909,Federated Malay States (1896-1909),colonial,14,same_entity_period_split
FED,FED-1895-1922,Federated Malay States,colonial,FED-1909-1946,Federated Malay States (1909-1946),colonial,14,same_entity_period_split
FED,FED-1896-1909,Federated Malay States (1896-1909),colonial,FED-1909-1946,Federated Malay States (1909-1946),colonial,1,same_entity_period_split
FED,FED-1953-1964,Federation of Rhodesia and Nyasaland (1953-1964),colonial,FED-1962-1967,Federation of South Arabia (1962-1967),historical,3,different_type_dual
FRA,FRA-1800-1919,France (to 1919),historical,FRA-1800-1982,"France, Metropolitan",aggregate,120,different_type_dual
FRA,FRA-1800-1919,France (to 1919),historical,FRA-1816-1866,Frankfurt (Free City),historical,51,iso_collision
FRA,FRA-1800-1919,France (to 1919),historical,FRA-1919-2025,France,sovereign,1,same_entity_period_split
FRA,FRA-1800-1982,"France, Metropolitan",aggregate,FRA-1816-1866,Frankfurt (Free City),historical,51,different_type_dual
FRA,FRA-1800-1982,"France, Metropolitan",aggregate,FRA-1919-2025,France,sovereign,64,different_type_dual
FRE,FRE-1800-1930,French Guiana (to 1930),dependency,FRE-1895-1898,French West Africa (1895-1898),colonial,4,different_type_dual
FRE,FRE-1800-1930,French Guiana (to 1930),dependency,FRE-1898-1902,French West Africa (1898-1902),colonial,5,different_type_dual
FRE,FRE-1800-1930,French Guiana (to 1930),dependency,FRE-1902-1904,French West Africa (1902-1904),colonial,3,different_type_dual
FRE,FRE-1800-1930,French Guiana (to 1930),dependency,FRE-1930-1946,French Guiana (1930-1946),dependency,1,same_entity_period_split
FRE,FRE-1895-1898,French West Africa (1895-1898),colonial,FRE-1898-1902,French West Africa (1898-1902),colonial,1,same_entity_period_split
FRE,FRE-1898-1902,French West Africa (1898-1902),colonial,FRE-1902-1904,French West Africa (1902-1904),colonial,1,same_entity_period_split
FSM,FSM-1887-2025,French Somaliland,aggregate,FSM-1991-2025,Micronesia,sovereign,35,different_type_dual
FSO,FSO-1844-2025,French Settlements in Oceania,aggregate,FSO-1884-1977,French Somalia,colonial,94,different_type_dual
GER,GER-1800-2025,Germany/Zollverein,aggregate,GER-1800-1899,German Solomon Islands (to 1899),colonial,100,different_type_dual
GER,GER-1800-2025,Germany/Zollverein,aggregate,GER-1884-2025,German colonies Oceania,aggregate,142,iso_collision
GER,GER-1800-2025,Germany/Zollverein,aggregate,GER-1887-1888,German Togoland (1887-1888),colonial,2,different_type_dual
GER,GER-1800-2025,Germany/Zollverein,aggregate,GER-1888-1896,German Togoland (1888-1896),colonial,9,different_type_dual
GER,GER-1800-2025,Germany/Zollverein,aggregate,GER-1897-1919,German Togoland (1897-1919),colonial,23,different_type_dual
GER,GER-1800-2025,Germany/Zollverein,aggregate,GER-1919-1922,German Togoland (1919-1922),colonial,4,different_type_dual
GER,GER-1800-1899,German Solomon Islands (to 1899),colonial,GER-1884-2025,German colonies Oceania,aggregate,16,different_type_dual
GER,GER-1800-1899,German Solomon Islands (to 1899),colonial,GER-1887-1888,German Togoland (1887-1888),colonial,2,iso_collision
GER,GER-1800-1899,German Solomon Islands (to 1899),colonial,GER-1888-1896,German Togoland (1888-1896),colonial,9,iso_collision
GER,GER-1800-1899,German Solomon Islands (to 1899),colonial,GER-1897-1919,German Togoland (1897-1919),colonial,3,iso_collision
GER,GER-1884-2025,German colonies Oceania,aggregate,GER-1887-1888,German Togoland (1887-1888),colonial,2,different_type_dual
GER,GER-1884-2025,German colonies Oceania,aggregate,GER-1888-1896,German Togoland (1888-1896),colonial,9,different_type_dual
GER,GER-1884-2025,German colonies Oceania,aggregate,GER-1897-1919,German Togoland (1897-1919),colonial,23,different_type_dual
GER,GER-1884-2025,German colonies Oceania,aggregate,GER-1919-1922,German Togoland (1919-1922),colonial,4,different_type_dual
GER,GER-1887-1888,German Togoland (1887-1888),colonial,GER-1888-1896,German Togoland (1888-1896),colonial,1,same_entity_period_split
GER,GER-1897-1919,German Togoland (1897-1919),colonial,GER-1919-1922,German Togoland (1919-1922),colonial,1,same_entity_period_split
HER,HER-1800-1862,Herat,historical,HER-1800-1908,Herzegovina (to 1908),historical,63,iso_collision
IND,IND-1800-1893,India (to 1893),historical,IND-1800-1947,India (to 1947),historical,94,same_entity_period_split
IND,IND-1800-1893,India (to 1893),historical,IND-1800-1889,Indonesia (to 1889),historical,90,iso_collision
IND,IND-1800-1893,India (to 1893),historical,IND-1889-1949,Indonesia (1889-1949),historical,5,iso_collision
IND,IND-1800-1893,India (to 1893),historical,IND-1893-1914,India (1893-1914),historical,1,same_entity_period_split
IND,IND-1800-1947,India (to 1947),historical,IND-1800-1889,Indonesia (to 1889),historical,90,iso_collision
IND,IND-1800-1947,India (to 1947),historical,IND-1889-1949,Indonesia (1889-1949),historical,59,iso_collision
IND,IND-1800-1947,India (to 1947),historical,IND-1893-1914,India (1893-1914),historical,22,same_entity_period_split
IND,IND-1800-1947,India (to 1947),historical,IND-1914-1937,India (1914-1937),historical,24,same_entity_period_split
IND,IND-1800-1947,India (to 1947),historical,IND-1937-1947,India (1937-1947),historical,11,same_entity_period_split
IND,IND-1800-1947,India (to 1947),historical,IND-1947-1949,India (1947-1949),historical,1,same_entity_period_split
IND,IND-1800-1889,Indonesia (to 1889),historical,IND-1889-1949,Indonesia (1889-1949),historical,1,same_entity_period_split
IND,IND-1889-1949,Indonesia (1889-1949),historical,IND-1893-1914,India (1893-1914),historical,22,iso_collision
