source,target,relation,evidence,start_year,end_year
TUN-1800-1881,TUN-1881-2025,predecessor_of,predecessor column,1881,2025
SWK-1800-1894,SWZ-1894-2025,predecessor_of,predecessor column,1894,2025
SUD-1956-2011,SSD-2011-2025,predecessor_of,predecessor column,2011,2025
SUD-1956-2011,SDN-2011-2025,predecessor_of,predecessor column,2011,2025
LBA-1800-1885,CON-1885-1891,predecessor_of,predecessor column,1885,1891
LND-1800-1887,CON-1885-1891,predecessor_of,predecessor column,1885,1891
NDB-1823-1894,ZIM-1889-1891,predecessor_of,predecessor column,1889,1891
BGA-1800-1894,UGA-1894-1902,predecessor_of,predecessor column,1894,1902
BNY-1800-1899,UGA-1894-1902,predecessor_of,predecessor column,1894,1902
NKR-1800-1901,UGA-1894-1902,predecessor_of,predecessor column,1894,1902
DHY-1800-1894,BEN-1895-1898,predecessor_of,predecessor column,1895,1898
SUD-1956-2011,SDN-2011-2025,successor_of,successor column,1956,2011
SUD-1956-2011,SSD-2011-2025,successor_of,successor column,1956,2011
ZUL-1816-1879,NAT-1843-1895,predecessor_of,predecessor column,1843,1895
RWK-1800-1890,RWA-1920-1962,predecessor_of,predecessor column,1920,1962
BDK-1800-1890,RWA-1920-1962,predecessor_of,predecessor column,1920,1962
IRN-1800-1828,IRN-1828-2025,successor_of,successor column,1800,1828
IRN-1800-1828,IRN-1828-2025,predecessor_of,predecessor column,1828,2025
PAK-1949-1971,BGD-1971-2025,predecessor_of,predecessor column,1971,2025
F228-1945-1991,ARM-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,AZE-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,GEO-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,KAZ-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,KGZ-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,TJK-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,TKM-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,UZB-1991-2025,predecessor_of,predecessor column,1991,2025
IDN-1800-1889,IDN-1889-1949,successor_of,successor column,1800,1889
IDN-1800-1889,IDN-1889-1949,predecessor_of,predecessor column,1889,1949
IDN-1889-1949,IDN-1945-1949,successor_of,successor column,1889,1949
IDN-1889-1949,IDN-1945-1949,predecessor_of,predecessor column,1945,1949
CHN-1949-1950,CHN-1950-2025,successor_of,successor column,1949,1950
PAK-1949-1971,PAK-1971-2025,successor_of,successor column,1949,1971
PAK-1949-1971,BGD-1971-2025,successor_of,successor column,1949,1971
AUH-1908-1918,AUT-1918-2025,predecessor_of,predecessor column,1918,2025
FRA-1800-1919,FRA-1919-2025,predecessor_of,predecessor column,1919,2025
ITA-1861-1919,ITA-1919-2025,predecessor_of,predecessor column,1919,2025
GBR-1800-1921,GBR-1921-2025,predecessor_of,predecessor column,1921,2025
F78-1949-1990,DEU-1990-2025,predecessor_of,predecessor column,1990,2025
F77-1949-1990,DEU-1990-2025,predecessor_of,predecessor column,1990,2025
F228-1945-1991,BLR-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,EST-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,LVA-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,LTU-1991-2025,predecessor_of,predecessor column,1991,2025
F228-1945-1991,MDA-1991-2025,predecessor_of,predecessor column,1991,2025
F248-1920-1991,MKD-1991-2025,predecessor_of,predecessor column,1991,2025
F248-1991-1992,BIH-1992-2025,predecessor_of,predecessor column,1992,2025
F248-1991-1992,HRV-1992-2025,predecessor_of,predecessor column,1992,2025
F248-1991-1992,SVN-1992-2025,predecessor_of,predecessor column,1992,2025
F51-1947-1993,CZE-1993-2025,predecessor_of,predecessor column,1993,2025
F51-1947-1993,SVK-1993-2025,predecessor_of,predecessor column,1993,2025
SCG-1992-2006,MNE-2006-2025,predecessor_of,predecessor column,2006,2025
SER-2006-2008,SRB-2008-2025,predecessor_of,predecessor column,2008,2025
RUS-1991-2014,RUS-2014-2025,predecessor_of,predecessor column,2014,2025
UKR-1991-2014,UKR-2014-2025,predecessor_of,predecessor column,2014,2025
AUH-1800-1867,AUH-1867-1908,successor_of,successor column,1800,1867
AUH-1800-1867,AUH-1867-1908,predecessor_of,predecessor column,1867,1908
AUH-1867-1908,AUH-1908-1918,successor_of,successor column,1867,1908
DNK-1800-1864,DNK-1864-1920,successor_of,successor column,1800,1864
DNK-1800-1864,DNK-1864-1920,predecessor_of,predecessor column,1864,1920
DNK-1864-1920,DNK-1920-2025,successor_of,successor column,1864,1920
DMO-1800-1860,ITA-1861-1919,successor_of,successor column,1800,1860
DPA-1800-1860,ITA-1861-1919,successor_of,successor column,1800,1860
FRA-1800-1919,FRA-1919-2025,successor_of,successor column,1800,1919
PAP-1800-1870,ITA-1861-1919,successor_of,successor column,1800,1870
SAR-1800-1860,ITA-1861-1919,successor_of,successor column,1800,1860
SWE-1800-1809,SWE-1809-1814,successor_of,successor column,1800,1809
SWE-1800-1809,SWE-1809-1814,predecessor_of,predecessor column,1809,1814
SWE-1809-1814,SWE-1814-1905,successor_of,successor column,1809,1814
SWE-1809-1814,SWE-1814-1905,predecessor_of,predecessor column,1814,1905
TUS-1800-1860,ITA-1861-1919,successor_of,successor column,1800,1860
TWO-1800-1860,ITA-1861-1919,successor_of,successor column,1800,1860
F228-1800-1905,F228-1905-1914,successor_of,successor column,1800,1905
GBR-1800-1921,GBR-1921-2025,successor_of,successor column,1800,1921
SAR-1800-1860,ITA-1861-1919,predecessor_of,predecessor column,1861,1919
TWO-1800-1860,ITA-1861-1919,predecessor_of,predecessor column,1861,1919
PAP-1800-1870,ITA-1861-1919,predecessor_of,predecessor column,1861,1919
TUS-1800-1860,ITA-1861-1919,predecessor_of,predecessor column,1861,1919
DMO-1800-1860,ITA-1861-1919,predecessor_of,predecessor column,1861,1919
DPA-1800-1860,ITA-1861-1919,predecessor_of,predecessor column,1861,1919
F228-1800-1905,F228-1905-1914,predecessor_of,predecessor column,1905,1914
F228-1905-1914,F228-1914-1917,successor_of,successor column,1905,1914
AUH-1867-1908,AUH-1908-1918,predecessor_of,predecessor column,1908,1918
AUH-1908-1918,AUT-1918-2025,successor_of,successor column,1908,1918
AUH-1908-1918,HUN-1918-1919,successor_of,successor column,1908,1918
F228-1905-1914,F228-1914-1917,predecessor_of,predecessor column,1914,1917
F228-1914-1917,F228-1917-1918,successor_of,successor column,1914,1917
F228-1914-1917,F228-1917-1918,predecessor_of,predecessor column,1917,1918
F228-1917-1918,F228-1918-1920,successor_of,successor column,1917,1918
AUH-1908-1918,AUT-1918-1919,predecessor_of,predecessor column,1918,1919
AUH-1908-1918,HUN-1918-1919,predecessor_of,predecessor column,1918,1919
F228-1917-1918,F228-1918-1920,predecessor_of,predecessor column,1918,1920
F228-1918-1920,F228-1920-1921,successor_of,successor column,1918,1920
F228-1918-1920,F228-1920-1921,predecessor_of,predecessor column,1920,1921
F228-1920-1921,F228-1921-1940,successor_of,successor column,1920,1921
F228-1920-1921,F228-1921-1940,predecessor_of,predecessor column,1921,1940
F228-1921-1940,F228-1940-1945,successor_of,successor column,1921,1940
F228-1921-1940,F228-1940-1945,predecessor_of,predecessor column,1940,1945
F228-1940-1945,F228-1945-1991,successor_of,successor column,1940,1945
F228-1940-1945,F228-1945-1991,predecessor_of,predecessor column,1945,1991
F228-1945-1991,RUS-1991-2014,successor_of,successor column,1945,1991
F228-1945-1991,ARM-1991-2025,successor_of,successor column,1945,1991
F228-1945-1991,AZE-1991-2025,successor_of,successor column,1945,1991
F228-1945-1991,BLR-1991-2025,successor_of,successor column,1945,1991
F228-1945-1991,EST-1991-2025,successor_of,successor column,1945,1991
F228-1945-1991,GEO-1991-2025,successor_of,successor column,1945,1991
F228-1945-1991,KAZ-1991-2025,successor_of,successor column,1945,1991
F228-1945-1991,KGZ-1991-2025,successor_of,successor column,1945,1991
