polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
CPV-1800-2025,Cabo Verde,sovereign,Africa,1800,2025,CPV,polity,1,1,2
GMB-1800-2025,Gambia,sovereign,Africa,1800,2025,GMB,polity,1,1,2
MUS-1800-2025,Mauritius,sovereign,Africa,1800,2025,MUS,polity,1,1,2
STP-1800-2025,Sao Tome and Principe,sovereign,Africa,1800,2025,STP,polity,1,1,2
SLE-1800-2025,Sierra Leone,sovereign,Africa,1800,2025,SLE,polity,1,1,2
AGO-1816-2025,Angola,sovereign,Africa,1816,2025,AGO,polity,2,1,3
MOZ-1816-2025,Mozambique,sovereign,Africa,1816,2025,MOZ,polity,2,1,3
ZAF-1828-2025,South Africa,sovereign,Africa,1828,2025,ZAF,polity,4,1,5
DZA-1831-2025,Algeria,sovereign,Africa,1831,2025,DZA,polity,1,1,2
LBR-1847-2025,Liberia,sovereign,Africa,1847,2025,LBR,polity,1,1,2
GNB-1879-2025,Guinea-Bissau,sovereign,Africa,1879,2025,GNB,polity,1,1,2
TUN-1881-2025,Tunisia,sovereign,Africa,1881,2025,TUN,polity,4,1,5
ERI-1882-2025,Eritrea,sovereign,Africa,1882,2025,ERI,polity,1,1,2
MDG-1882-2025,Madagascar,sovereign,Africa,1882,2025,MDG,polity,1,1,2
NAM-1884-2025,Namibia,sovereign,Africa,1884,2025,NAM,polity,1,1,2
ZWE-1890-2025,Zimbabwe,sovereign,Africa,1890,2025,ZWE,polity,3,1,4
SWZ-1894-2025,Eswatini,sovereign,Africa,1894,2025,SWZ,polity,3,1,4
SYC-1903-2025,Seychelles,sovereign,Africa,1903,2025,SYC,polity,1,1,2
LBY-1951-2025,Libya,sovereign,Africa,1951,2025,LBY,polity,1,1,2
GHA-1957-2025,Ghana,sovereign,Africa,1957,2025,GHA,polity,4,1,5
GIN-1958-2025,Guinea,sovereign,Africa,1958,2025,GIN,polity,3,1,4
BEN-1960-2025,Benin,sovereign,Africa,1960,2025,BEN,polity,4,1,5
BFA-1960-2025,Burkina Faso,sovereign,Africa,1960,2025,BFA,polity,3,1,4
CAF-1960-2025,Central African Republic,sovereign,Africa,1960,2025,CAF,polity,1,1,2
TCD-1960-2025,Chad,sovereign,Africa,1960,2025,TCD,polity,3,1,4
COG-1960-2025,Congo,sovereign,Africa,1960,2025,COG,polity,1,1,2
CIV-1960-2025,Côte d'Ivoire,sovereign,Africa,1960,2025,CIV,polity,1,1,2
COD-1960-2025,Democratic Republic of the Congo,sovereign,Africa,1960,2025,COD,polity,4,1,5
GAB-1960-2025,Gabon,sovereign,Africa,1960,2025,GAB,polity,1,1,2
MLI-1960-2025,Mali,sovereign,Africa,1960,2025,MLI,polity,1,1,2
NER-1960-2025,Niger,sovereign,Africa,1960,2025,NER,polity,2,1,3
SEN-1960-2025,Senegal,sovereign,Africa,1960,2025,SEN,polity,9,1,10
