polity_code,polity_name,source_used,match_name,has_geometry
CPV-1800-2025,Cabo Verde,CShapes 2.0 (1886-1975),Cape Verde,True
GMB-1800-2025,Gambia,CShapes 2.0 (1889-1965),Gambia,True
MUS-1800-2025,Mauritius,CShapes 2.0 (1886-1968),Mauritius,True
STP-1800-2025,Sao Tome and Principe,CShapes 2.0 (1975-2019),Sao Tome and Principe,True
SLE-1800-2025,Sierra Leone,CShapes 2.0 (1895-1961),Sierra Leone,True
AGO-1816-2025,Angola,CShapes 2.0 (1905-1975),Angola,True
MOZ-1816-2025,Mozambique,CShapes 2.0 (1891-1975),Mozambique,True
ZAF-1828-2025,South Africa,CShapes 2.0 (1920-2019),South Africa,True
DZA-1831-2025,Algeria,CShapes 2.0 (1919-1962),Algeria,True
LBR-1847-2025,Liberia,CShapes 2.0 (1920-2019),Liberia,True
GNB-1879-2025,Guinea-Bissau,CShapes 2.0 (1942-1974),Guinea-Bissau,True
TUN-1881-2025,Tunisia,CShapes 2.0 (1886-1955),Tunisia,True
ERI-1882-2025,Eritrea,CShapes 2.0 (1941-1952),Eritrea,True
MDG-1882-2025,Madagascar,CShapes 2.0 (1946-1960),Madagascar (Malagasy),True
NAM-1884-2025,Namibia,CShapes 2.0 (1920-1966),Namibia,True
ZWE-1890-2025,Zimbabwe,CShapes 2.0 (1965-2019),Zimbabwe (Rhodesia),True
SWZ-1894-2025,Eswatini,CShapes 2.0 (1902-1968),Swaziland (Eswatini),True
SYC-1903-2025,Seychelles,CShapes 2.0 (1976-2019),Seychelles,True
LBY-1951-2025,Libya,CShapes 2.0 (1951-2019),Libya,True
GHA-1957-2025,Ghana,CShapes 2.0 (1957-2019),Ghana,True
GIN-1958-2025,Guinea,CShapes 2.0 (1958-2019),Guinea,True
BEN-1960-2025,Benin,CShapes 2.0 (1960-2019),Benin,True
BFA-1960-2025,Burkina Faso,CShapes 2.0 (1960-2019),Burkina Faso (Upper Volta),True
CAF-1960-2025,Central African Republic,CShapes 2.0 (1960-2019),Central African Republic,True
TCD-1960-2025,Chad,CShapes 2.0 (1960-2019),Chad,True
COG-1960-2025,Congo,CShapes 2.0 (1960-2019),Congo,True
CIV-1960-2025,Côte d'Ivoire,CShapes 2.0 (1983-2019),Cote D'Ivoire,True
COD-1960-2025,Democratic Republic of the Congo,CShapes 2.0 (1960-2019),"Congo, Democratic Republic of (Zaire)",True
GAB-1960-2025,Gabon,CShapes 2.0 (1960-2019),Gabon,True
MLI-1960-2025,Mali,CShapes 2.0 (1960-2019),Mali,True
NER-1960-2025,Niger,CShapes 2.0 (1960-2019),Niger,True
SEN-1960-2025,Senegal,CShapes 2.0 (1960-2019),Senegal,True
SOM-1960-2025,Somalia,CShapes 2.0 (1960-2019),Somalia,True
TGO-1960-2025,Togo,CShapes 2.0 (1960-2019),Togo,True
CMR-1961-2025,Cameroon,CShapes 2.0 (1961-2019),Cameroon,True
NGA-1961-2025,Nigeria,CShapes 2.0 (1961-2019),Nigeria,True
BDI-1962-2025,Burundi,CShapes 2.0 (1962-2019),Burundi,True
RWA-1962-2025,Rwanda,CShapes 2.0 (1962-2019),Rwanda,True
UGA-1962-2025,Uganda,CShapes 2.0 (1962-2019),Uganda,True
KEN-1963-2025,Kenya,CShapes 2.0 (1963-2019),Kenya,True
MWI-1964-2025,Malawi,CShapes 2.0 (1964-2019),Malawi,True
TZA-1964-2025,Tanzania,CShapes 2.0 (1964-2019),Tanzania (Tanganyika),True
ZMB-1964-2025,Zambia,CShapes 2.0 (1964-2019),Zambia,True
BWA-1966-2025,Botswana,CShapes 2.0 (1966-2019),Botswana,True
