cleaned_name,match_status,matched_polity_code,matched_polity_name,parent_polity_code,notes
aden and perim,matched,ADE-1839-1967,Aden,,
aegean economic zone,matched,GRC-1919-2025,Greece,,
albania,matched,ALB-1913-2025,Albania,,
argentina,matched,ARG-1902-2025,Argentina,,
argentina: mendoza,subnational,ARG-1902-2025,Argentina,ARG-1902-2025,Subnational: Mendoza
australia,matched,AUS-1901-2025,Australia,,
australia (production area),matched,AUS-1901-2025,Australia,,Measurement variant: (production area)
australia (total and production area),matched,AUS-1901-2025,Australia,,Measurement variant: (total and production area)
australia (total area),matched,AUS-1901-2025,Australia,,Measurement variant: (total area)
australia administered islands,matched,AUS-1901-2025,Australia,,
australia: queensland,subnational,AUS-1901-2025,Australia,AUS-1901-2025,Subnational: Queensland
australia: tasmania,subnational,AUS-1901-2025,Australia,AUS-1901-2025,Subnational: Tasmania
australia: victoria,subnational,AUS-1901-2025,Australia,AUS-1901-2025,Subnational: Victoria
australian papua,matched,PAP-1800-1949,Papua (to 1949),,
austria,matched,AUT-1918-2025,Austria,,
austria-hungary,matched,AUH-1908-1918,Austria-Hungary (1908-1918),,
belgian congo,matched,BEL-1885-2025,Belgian Congo,,
belgian ruanda-urundi,matched,RWB-1919-2025,Rwanda and Burundi,,
belgium,matched,BEL-1831-2025,Belgium,,
belgium-luxembourg economic union,matched,F15-1800-1999,Belgium-Luxembourg,,
bolivia,matched,BOL-1938-2025,Bolivia,,
brazil,matched,BRA-1909-2025,Brazil,,
brazil: sao paulo,subnational,BRA-1909-2025,Brazil,BRA-1909-2025,Subnational: Sao Paulo
british aden,matched,ADE-1839-1967,Aden,,
british aden (by land),matched,ADE-1839-1967,Aden,,Measurement variant: (by land)
british aden (by sea),matched,ADE-1839-1967,Aden,,Measurement variant: (by sea)
british andaman and nicobar,matched,IND-1800-1947,India (to 1947),,
british antigua,matched,ATG-1800-2025,Antigua and Barbuda,,
british ascension,matched,SHN-1800-2025,"Saint Helena, Ascension and Tristan da Cunha",,
british bahamas,matched,BHS-1800-2025,Bahamas,,
british barbados,matched,BRB-1800-2025,Barbados,,
british basutoland,matched,BAS-1884-2025,Basutoland,,
british bechuanaland,matched,BEC-1885-2025,Bechuanaland Protectorate,,
british bermuda,matched,BMU-1800-2025,Bermuda,,
british brunei,matched,BRN-1888-2025,Brunei Darussalam,,
british burma,matched,MMR-1800-2025,Myanmar,,
british cameroon,matched,BCA-1914-2025,British Cameroon,,
british caymans,matched,CYM-1800-2025,Cayman Islands,,
british ceylon,matched,LKA-1800-2025,Sri Lanka,,
british christmas,matched,CXR-1800-2025,Christmas Island,,
british cyprus,matched,CYP-1879-2025,Cyprus,,
british dominica,matched,DMA-1800-2025,Dominica,,
british falkland islands,matched,FLK-1833-2025,Falkland Islands,,
british federated malay states,matched,FED-1909-1946,Federated Malay States (1909-1946),,
british fiji,matched,FJI-1874-2025,Fiji,,
british gambia,matched,GMB-1800-2025,Gambia,,
british gibraltar,matched,GIB-1800-2025,Gibraltar,,
british gilbert and ellice,matched,GIL-1892-2025,Gilbert and Ellice Island,,
british gold coast,matched,GOL-1843-2025,Gold Coast,,
