polity_code,polity_name,start_year,end_year,duration_years,polity_type,continent,iso3_code,cow_code,polygon_source,predecessor,successor,data_sources,verification_status,notes
USAL-1959-2025,Alabama (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.1_1
USAK-1959-2025,Alaska (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.2_1
USAZ-1959-2025,Arizona (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.3_1
USAR-1959-2025,Arkansas (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.4_1
USCA-1959-2025,California (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.5_1
USCO-1959-2025,Colorado (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.6_1
USCT-1959-2025,Connecticut (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.7_1
USDE-1959-2025,Delaware (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.8_1
USDC-1959-2025,District of Columbia (Federal District),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.9_1
USFL-1959-2025,Florida (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.10_1
USGA-1959-2025,Georgia (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.11_1
USHI-1959-2025,Hawaii (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.12_1
USID-1959-2025,Idaho (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.13_1
USIL-1959-2025,Illinois (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.14_1
USIN-1959-2025,Indiana (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.15_1
USIA-1959-2025,Iowa (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.16_1
USKS-1959-2025,Kansas (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.17_1
USKY-1959-2025,Kentucky (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.18_1
USLA-1959-2025,Louisiana (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.19_1
USME-1959-2025,Maine (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.20_1
USMD-1959-2025,Maryland (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.21_1
USMA-1959-2025,Massachusetts (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.22_1
USMI-1959-2025,Michigan (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.23_1
USMN-1959-2025,Minnesota (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.24_1
USMS-1959-2025,Mississippi (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.25_1
USMO-1959-2025,Missouri (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.26_1
USMT-1959-2025,Montana (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.27_1
USNE-1959-2025,Nebraska (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.28_1
USNV-1959-2025,Nevada (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.29_1
USNH-1959-2025,New Hampshire (State),1959,2025,67,subnational,North America,USA,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: USA-1959-2025; GADM GID: USA.30_1
