country_iso,country_name,admin1_name,admin1_type,area_km2,pct_of_country,gadm_gid,varname
USA,United States,Alabama,State,133634.6215163868,1.4106923559092233,USA.1_1,AL|Ala.
USA,United States,Alaska,State,1507384.7748466097,15.912464563154419,USA.2_1,AK|Alaska
USA,United States,Arizona,State,295357.2167387321,3.117890881779172,USA.3_1,AZ|Ariz.
USA,United States,Arkansas,State,137690.7864143657,1.4535106072796924,USA.4_1,AR|Ark.
USA,United States,California,State,409617.2577591892,4.324058599578768,USA.5_1,CA|Calif.
USA,United States,Colorado,State,269743.0355278963,2.847498903809833,USA.6_1,CO|Colo.
USA,United States,Connecticut,State,12892.227738123716,0.13609472541202078,USA.7_1,CT|Conn.
USA,United States,Delaware,State,5296.283031240737,0.055909358683571844,USA.8_1,DE|Del.
USA,United States,District of Columbia,Federal District,166.06559079259108,0.001753044659028952,USA.9_1,DC|D.C.
USA,United States,Florida,State,147459.92555729058,1.55663695100977,USA.10_1,FL|Fla.
USA,United States,Georgia,State,152434.5264294813,1.6091505237985273,USA.11_1,GA|Ga.
USA,United States,Hawaii,State,16724.290724568604,0.17654728105215917,USA.12_1,HI|Hawaii
USA,United States,Idaho,State,216440.73867921493,2.284821793165878,USA.13_1,ID|Idaho
USA,United States,Illinois,State,150088.55576011474,1.5843856623209436,USA.14_1,IL|Ill.
USA,United States,Indiana,State,94363.03460365505,0.996128174609679,USA.15_1,IN|Ind.
USA,United States,Iowa,State,145844.45932325092,1.5395835419326187,USA.16_1,IA|Iowa
USA,United States,Kansas,State,213124.38823532598,2.249813273909237,USA.17_1,KS|Kans.
USA,United States,Kentucky,State,104526.494274058,1.10341709947015,USA.18_1,Commonwealth of Kentucky|KY
USA,United States,Louisiana,State,120735.48550745648,1.2745247044492305,USA.19_1,LA
USA,United States,Maine,State,84363.27847293882,0.8905673597962216,USA.20_1,ME|Maine
USA,United States,Maryland,State,25668.582364184214,0.2709662549816157,USA.21_1,MD
USA,United States,Massachusetts,State,21023.087048172416,0.22192683198368887,USA.22_1,Commonwealth of Massachusetts|MA|Mass.
USA,United States,Michigan,State,250353.52116550098,2.6428166187444386,USA.23_1,MI|Mich.
USA,United States,Minnesota,State,225350.44686422264,2.378875692427537,USA.24_1,MN|Minn.
USA,United States,Mississippi,State,123546.21383261785,1.304195705256132,USA.25_1,MS|Miss.
USA,United States,Missouri,State,180569.07708677836,1.9061483758433502,USA.26_1,MO
USA,United States,Montana,State,380900.5626562645,4.020915433466652,USA.27_1,MT|Mont.
USA,United States,Nebraska,State,200209.3780231087,2.1134780489792933,USA.28_1,NE|Nebr.
USA,United States,Nevada,State,286284.53782455483,3.02211660826668,USA.29_1,NV|Nev.
USA,United States,New Hampshire,State,23997.726928727134,0.2533281387219034,USA.30_1,NH|N.H.
USA,United States,New Jersey,State,19697.592252188304,0.20793445968319968,USA.31_1,NJ|N.J.
USA,United States,New Mexico,State,314864.88228894275,3.3238204108267118,USA.32_1,NM|N.M.
USA,United States,New York,State,135186.43594772948,1.4270738349843617,USA.33_1,NY|N.Y.
USA,United States,North Carolina,State,127818.65961414333,1.349297090934809,USA.34_1,NC|N.C.
USA,United States,North Dakota,State,183143.91111238988,1.9333291964753727,USA.35_1,ND|N.D.
USA,United States,Ohio,State,119938.35784951232,1.266109954731039,USA.36_1,OH|Ohio
USA,United States,Oklahoma,State,181040.82944845295,1.9111283536585668,USA.37_1,OK|Okla.
USA,United States,Oregon,State,251411.49723391578,2.653984972689787,USA.38_1,OR|Ore.
USA,United States,Pennsylvania,State,117298.44086239095,1.2382420962995295,USA.39_1,Commonwealth of Pennsylvania|PA
USA,United States,Rhode Island,State,2833.3470650978693,0.029909771891569813,USA.40_1,State of Rhode Island and Providence Plantations|RI|R.I.
USA,United States,South Carolina,State,80124.26019675781,0.8458188461931448,USA.41_1,SC|S.C.
USA,United States,South Dakota,State,199746.69360306778,2.108593795429251,USA.42_1,SD|S.D.
USA,United States,Tennessee,State,109182.45635484804,1.1525670131844512,USA.43_1,TN|Tenn.
USA,United States,Texas,State,686214.3738588018,7.243911500875101,USA.44_1,TX|Tex.
USA,United States,Utah,State,219833.39984210025,2.320635874235322,USA.45_1,UT
USA,United States,Vermont,State,24948.63724234416,0.2633662702730919,USA.46_1,VT
USA,United States,Virginia,State,103745.24861834748,1.0951700055502338,USA.47_1,VA
USA,United States,Washington,State,174875.63522100225,1.8460464738981344,USA.48_1,WA|Wash.
USA,United States,West Virginia,State,62689.598804991896,0.661772651620626,USA.49_1,WV|W.Va.
USA,United States,Wisconsin,State,169299.26288079302,1.7871803975417753,USA.50_1,WI|Wis.
USA,United States,Wyoming,State,253297.08863456384,2.673889914575945,USA.51_1,WY|Wyo.
BRA,Brazil,Acre,State,152735.77254636458,1.7968142999951222,BRA.1_1,
BRA,Brazil,Alagoas,State,27758.22193680812,0.326553297154762,BRA.2_1,
BRA,Brazil,Amapá,State,142218.25587958022,1.6730841218433177,BRA.3_1,
BRA,Brazil,Amazonas,State,1566390.5109528434,18.42733252684704,BRA.4_1,Amazone
BRA,Brazil,Bahia,State,563313.4103288306,6.626932081353816,BRA.5_1,Ba¡a
BRA,Brazil,Ceará,State,148811.2697518166,1.7506456610178058,BRA.6_1,
BRA,Brazil,Distrito Federal,Federal District,5803.162942876432,0.06826957422693403,BRA.7_1,
BRA,Brazil,Espírito Santo,State,43763.75418187161,0.5148455926498008,BRA.8_1,Espiritu Santo
BRA,Brazil,Goiás,State,340369.8094353912,4.004178789840956,BRA.9_1,Goiáz|Goyáz
BRA,Brazil,Maranhão,State,330292.78548141854,3.8856306564205747,BRA.10_1,São Luíz de Maranhão
BRA,Brazil,Mato Grosso,State,904626.765477898,10.642210932449366,BRA.12_1,Matto Grosso
BRA,Brazil,Mato Grosso do Sul,State,357039.64662596595,4.200286102117932,BRA.11_1,
BRA,Brazil,Minas Gerais,State,588992.850709528,6.929030174830264,BRA.13_1,Minas|Minas Geraes
BRA,Brazil,Pará,State,1248367.6016550595,14.686047157836013,BRA.14_1,
BRA,Brazil,Paraíba,State,56382.90802840929,0.6632998526262207,BRA.15_1,Parahyba
BRA,Brazil,Paraná,State,199159.46288610582,2.342951915763367,BRA.16_1,
BRA,Brazil,Pernambuco,State,98225.47991474076,1.1555442709474857,BRA.17_1,Pernambouc
BRA,Brazil,Piauí,State,251100.434804151,2.9539959399762137,BRA.18_1,Piauhy
BRA,Brazil,Rio de Janeiro,State,43687.308963624346,0.5139462757509307,BRA.19_1,
BRA,Brazil,Rio Grande do Norte,State,53247.50702841864,0.626414365624202,BRA.20_1,
BRA,Brazil,Rio Grande do Sul,State,271421.7521613532,3.193059998208386,BRA.21_1,
BRA,Brazil,Rondônia,State,236377.08112106152,2.780787450565979,BRA.22_1,Guaporé
BRA,Brazil,Roraima,State,224380.55691428378,2.6396579307055776,BRA.23_1,Rio Branco
BRA,Brazil,Santa Catarina,State,98639.35461971593,1.1604131760894028,BRA.24_1,Santa Catharina
BRA,Brazil,São Paulo,State,247607.47468548283,2.912904055698544,BRA.25_1,
BRA,Brazil,Sergipe,State,22027.852537074228,0.259140080787452,BRA.26_1,
BRA,Brazil,Tocantins,State,277623.9346647045,3.2660237186741874,BRA.27_1,
IND,India,Andaman and Nicobar,Union Territory,7610.863062887379,0.24140014461086157,IND.1_1,Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare
IND,India,Andhra Pradesh,State,160050.0190893622,5.076441059824506,IND.2_1,
IND,India,Arunachal Pradesh,State,81995.44773360896,2.600718575117325,IND.3_1,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency
IND,India,Assam,State,78492.45505863705,2.489611210378036,IND.4_1,
IND,India,Bihar,State,94232.43907513647,2.9888495209822112,IND.5_1,
IND,India,Chandigarh,Union Territory,118.12266456314188,0.0037465958948084007,IND.6_1,
IND,India,Chhattisgarh,State,135431.6185003708,4.295598543914614,IND.7_1,
IND,India,Dadra and Nagar Haveli,Union Territory,491.5068423515292,0.015589535883184607,IND.8_1,DAdra et Nagar Haveli|Dadra e Nagar Haveli
IND,India,Daman and Diu,Union Territory,83.54045041092569,0.0026497227244032446,IND.9_1,
IND,India,Goa,State,3695.7244963623225,0.11722040200856122,IND.10_1,Gôa
IND,India,Gujarat,State,185720.66354157304,5.890658479296346,IND.11_1,Goudjerate|Gujerat|Gujerate
IND,India,Haryana,State,44024.54838818521,1.3963636265062365,IND.12_1,
IND,India,Himachal Pradesh,Union Territory,55603.55682345871,1.7636247751603797,IND.13_1,
IND,India,Jammu and Kashmir,State,105660.16946155284,3.3513124565337384,IND.14_1,
IND,India,Jharkhand,State,80040.02141361554,2.538696673984444,IND.15_1,Vananchal
IND,India,Karnataka,State,191379.19032616963,6.070134732225778,IND.16_1,Maisur|Mysore
IND,India,Kerala,State,37700.70420281776,1.1957849420350548,IND.17_1,
IND,India,Lakshadweep,Union Territory,34.85446804108976,0.0011055084759679936,IND.18_1,Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi
IND,India,Madhya Pradesh,State,308054.12835889123,9.770811867110012,IND.19_1,
IND,India,Maharashtra,State,307338.8890221651,9.748126019540504,IND.20_1,
IND,India,Manipur,State,22320.722142628612,0.7079651162459942,IND.21_1,
