action,polity_code,detail
FIX,OTT-1800-1912,Replaced small CShapes-Europe polygon with full CShapes 2.0 from TUR-1800-1912
FIX,DRO-1800-1982,"Created Antarctic sector polygon (20W-44.6E, 60S-90S)"
FIX,NEU-1800-1982,Created Neutral Zone polygon (Uqair Protocol boundaries)
ADD,JPAI-1888-2025,Aichi (Prefecture)
ADD,JPAK-1888-2025,Akita (Prefecture)
ADD,JPAO-1888-2025,Aomori (Prefecture)
ADD,JPCH-1888-2025,Chiba (Prefecture)
ADD,JPEH-1888-2025,Ehime (Prefecture)
ADD,JPFI-1888-2025,Fukui (Prefecture)
ADD,JPFO-1888-2025,Fukuoka (Prefecture)
ADD,JPFS-1888-2025,Fukushima (Prefecture)
ADD,JPGF-1888-2025,Gifu (Prefecture)
ADD,JPGM-1888-2025,Gunma (Prefecture)
ADD,JPHS-1888-2025,Hiroshima (Prefecture)
ADD,JPHK-1888-2025,Hokkaido (Circuit)
ADD,JPHG-1888-2025,Hyōgo (Prefecture)
ADD,JPIB-1888-2025,Ibaraki (Prefecture)
ADD,JPIS-1888-2025,Ishikawa (Prefecture)
ADD,JPIW-1888-2025,Iwate (Prefecture)
ADD,JPKG-1888-2025,Kagawa (Prefecture)
ADD,JPKS-1888-2025,Kagoshima (Prefecture)
ADD,JPKN-1888-2025,Kanagawa (Prefecture)
ADD,JPKC-1888-2025,Kochi (Prefecture)
ADD,JPKM-1888-2025,Kumamoto (Prefecture)
ADD,JPKY-1888-2025,Kyoto (Urban Prefecture)
ADD,JPME-1888-2025,Mie (Prefecture)
ADD,JPMG-1888-2025,Miyagi (Prefecture)
ADD,JPMZ-1888-2025,Miyazaki (Prefecture)
ADD,JPNN-1888-2025,Nagano (Prefecture)
ADD,JPNS-1888-2025,Naoasaki (Prefecture)
ADD,JPNR-1888-2025,Nara (Prefecture)
ADD,JPNI-1888-2025,Niigata (Prefecture)
ADD,JPOT-1888-2025,Oita (Prefecture)
ADD,JPOY-1888-2025,Okayama (Prefecture)
ADD,JPON-1888-2025,Okinawa (Prefecture)
ADD,JPOS-1888-2025,Osaka (Urban Prefecture)
ADD,JPSG-1888-2025,Saga (Prefecture)
ADD,JPST-1888-2025,Saitama (Prefecture)
ADD,JPSH-1888-2025,Shiga (Prefecture)
ADD,JPSM-1888-2025,Shimane (Prefecture)
ADD,JPSZ-1888-2025,Shizuoka (Prefecture)
ADD,JPTC-1888-2025,Tochigi (Prefecture)
ADD,JPTS-1888-2025,Tokushima (Prefecture)
ADD,JPTK-1888-2025,Tokyo (Metropolis)
ADD,JPTT-1888-2025,Tottori (Prefecture)
ADD,JPTY-1888-2025,Toyama (Prefecture)
ADD,JPWK-1888-2025,Wakayama (Prefecture)
ADD,JPYT-1888-2025,Yamagata (Prefecture)
ADD,JPYC-1888-2025,Yamaguchi (Prefecture)
ADD,JPYN-1888-2025,Yamanashi (Prefecture)
ADD,GBENG-1800-2025,England (Country)
ADD,GBSCT-1800-2025,Scotland (Country)
ADD,GBWLS-1800-2025,Wales (Country)
ADD,GBNIR-1921-2025,Northern Ireland (Country)
ADD,SAA-1920-1935,Saar Territory with GADM Saarland polygon
ADD,MEM-1920-1923,Memel Territory with GADM Klaipeda polygon
ADD,FIU-1920-1924,Free City of Fiume (~28 km2 buffer)
ADD,MNG-1911-1921,Bogd Khanate with CShapes Mongolia polygon
ADD,IND-1800-2025,India aggregate (no polygon found)
