"year","country","iso_draft","polity_name","FAOSTAT_name","item","item_code","value","unit","area_code","region","region_UN","iso3c","polity_code","Source","source_file","sheet"
1850,"France","FRA","France","France","Barley",44,1125004,"tonnes",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Barley",44,1167272,"ha",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Grapes",560,2182000,"ha",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Oats",75,2544698.65217391,"tonnes",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Oats",75,3031049,"ha",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Potatoes",116,5757371,"tonnes",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Potatoes",116,932000,"ha",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Rye",71,2060302.73333333,"tonnes",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Rye",71,2497560,"ha",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Wheat",15,6599009.1,"tonnes",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"France","FRA","France","France","Wheat",15,5951384,"ha",68,"OECD Europe","Europe","FRA","FRA","juan's team",NA,NA
1850,"Germany","DEU","Germany","Germany","Barley",44,1872000,"tonnes",79,"OECD Europe","Europe","DEU","DEU","juan's team",NA,NA
1850,"Germany","DEU","Germany","Germany","Oats",75,3098000,"tonnes",79,"OECD Europe","Europe","DEU","DEU","juan's team",NA,NA
1850,"Germany","DEU","Germany","Germany","Potatoes",116,10942000,"tonnes",79,"OECD Europe","Europe","DEU","DEU","juan's team",NA,NA
1850,"Germany","DEU","Germany","Germany","Rye",71,4499000,"tonnes",79,"OECD Europe","Europe","DEU","DEU","juan's team",NA,NA
1850,"Germany","DEU","Germany","Germany","Sugar beet",157,627000,"tonnes",79,"OECD Europe","Europe","DEU","DEU","juan's team",NA,NA
1850,"Germany","DEU","Germany","Germany","Wheat",15,1846000,"tonnes",79,"OECD Europe","Europe","DEU","DEU","juan's team",NA,NA
1850,"Iceland","ISL","Iceland","Iceland","Cattle",866,26109,"heads",99,"OECD Europe","Europe","ISL","ISL","juan's team",NA,NA
1850,"Iceland","ISL","Iceland","Iceland","Horses",1096,38989,"heads",99,"OECD Europe","Europe","ISL","ISL","juan's team",NA,NA
1850,"Iceland","ISL","Iceland","Iceland","Sheep",976,454835,"heads",99,"OECD Europe","Europe","ISL","ISL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Barley",44,287000,"tonnes",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Barley",44,130000,"ha",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Cattle",866,2918000,"heads",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Chickens",NA,6945000,"heads",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Horses",1096,527000,"heads",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Oats",75,1471000,"tonnes",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Oats",75,867000,"ha",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Swine / pigs",1034,928000,"heads",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Potatoes",116,4009000,"tonnes",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Potatoes",116,354000,"ha",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Sheep",976,1876000,"heads",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Wheat",15,331000,"tonnes",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Ireland","IRL","Ireland","Ireland","Wheat",15,245000,"ha",104,"OECD Europe","Europe","IRL","IRL","juan's team",NA,NA
1850,"Netherlands","NLD","Netherlands","Netherlands (Kingdom of the)","Barley",44,75294.11765,"tonnes",150,"OECD Europe","Europe","NLD","NLD","juan's team",NA,NA
1850,"Netherlands","NLD","Netherlands","Netherlands (Kingdom of the)","Oats",75,108869.5652,"tonnes",150,"OECD Europe","Europe","NLD","NLD","juan's team",NA,NA
1850,"Netherlands","NLD","Netherlands","Netherlands (Kingdom of the)","Potatoes",116,643400,"tonnes",150,"OECD Europe","Europe","NLD","NLD","juan's team",NA,NA
1850,"Netherlands","NLD","Netherlands","Netherlands (Kingdom of the)","Rye",71,224533.3333,"tonnes",150,"OECD Europe","Europe","NLD","NLD","juan's team",NA,NA
1850,"Netherlands","NLD","Netherlands","Netherlands (Kingdom of the)","Wheat",15,117769.2308,"tonnes",150,"OECD Europe","Europe","NLD","NLD","juan's team",NA,NA
1850,"Portugal","PRT","Portugal","Portugal","Maize",56,371000,"tonnes",174,"OECD Europe","Europe","PRT","PRT","juan's team",NA,NA
1850,"Portugal","PRT","Portugal","Portugal","Potatoes",116,91000,"tonnes",174,"OECD Europe","Europe","PRT","PRT","juan's team",NA,NA
1850,"Portugal","PRT","Portugal","Portugal","Rye",71,96000,"tonnes",174,"OECD Europe","Europe","PRT","PRT","juan's team",NA,NA
1850,"Portugal","PRT","Portugal","Portugal","Wheat",15,134000,"tonnes",174,"OECD Europe","Europe","PRT","PRT","juan's team",NA,NA
1850,"Sweden","SWE","Sweden","Sweden","Barley",44,282000,"tonnes",210,"OECD Europe","Europe","SWE","SWE","juan's team",NA,NA
