cow_code,cow_name,cow_start,cow_end,iso3,verified
2,United States,1816,2025,USA,unchanged
20,Canada,1920,2025,CAN,unchanged
31,Bahamas,1973,2025,BHS,unchanged
40,Cuba,1902,2025,CUB,unchanged
41,Haiti,1859,2025,HTI,unchanged
42,Dominican Republic,1894,2025,DOM,unchanged
51,Jamaica,1962,2025,JAM,unchanged
52,Trinidad and Tobago,1962,2025,TTO,unchanged
53,Barbados,1966,2025,BRB,unchanged
54,Dominica,1978,2025,DMA,cow-v2016-issue-144
55,Grenada,1974,2025,GRD,unchanged
56,St. Lucia,1979,2025,LCA,cow-v2016-issue-144
57,St. Vincent and the Grenadines,1979,2025,VCT,cow-v2016-issue-144
58,Antigua & Barbuda,1981,2025,ATG,cow-v2016-issue-144-entry-year-unverified
60,St. Kitts and Nevis,1983,2025,KNA,unchanged
70,Mexico,1831,2025,MEX,unchanged
80,Belize,1981,2025,BLZ,unchanged
90,Guatemala,1868,2025,GTM,unchanged
91,Honduras,1899,2025,HND,unchanged
92,El Salvador,1875,2025,SLV,unchanged
93,Nicaragua,1900,2025,NIC,unchanged
94,Costa Rica,1920,2025,CRI,unchanged
95,Panama,1903,2025,PAN,unchanged
100,Colombia,1831,2025,COL,unchanged
101,Venezuela,1841,2025,VEN,unchanged
110,Guyana,1966,2025,GUY,unchanged
115,Suriname,1975,2025,SUR,unchanged
130,Ecuador,1854,2025,ECU,unchanged
135,Peru,1839,2025,PER,unchanged
140,Brazil,1826,2025,BRA,unchanged
145,Bolivia,1848,2025,BOL,unchanged
150,Paraguay,1846,2025,PRY,unchanged
155,Chile,1839,2025,CHL,unchanged
160,Argentina,1841,2025,ARG,unchanged
165,Uruguay,1882,2025,URY,unchanged
200,United Kingdom,1816,2025,GBR,unchanged
205,Ireland,1922,2025,IRL,unchanged
210,Netherlands,1816,2025,NLD,unchanged
211,Belgium,1830,2025,BEL,unchanged
212,Luxembourg,1867,2025,LUX,unchanged
220,France,1816,2025,FRA,unchanged
225,Switzerland,1816,2025,CHE,unchanged
230,Spain,1816,2025,ESP,unchanged
235,Portugal,1816,2025,PRT,unchanged
240,Hanover,1838,1866,NA,unchanged
245,Bavaria,1816,1870,NA,unchanged
255,Germany,1816,2025,DEU,unchanged
260,German Federal Republic,1949,1990,DEU,unchanged
265,German Democratic Rep.,1954,1990,NA,unchanged
267,Baden,1816,1870,NA,unchanged
269,Saxony,1816,1870,NA,unchanged
271,Württemberg,1816,1870,NA,unchanged
273,Hesse Electoral,1816,1866,NA,unchanged
275,Hesse Grand Ducal,1816,1867,NA,unchanged
280,Mecklenburg-Schwerin,1843,1867,NA,unchanged
290,Poland,1918,2025,POL,unchanged
300,Austria-Hungary,1816,1918,NA,unchanged
305,Austria,1918,2025,AUT,unchanged
310,Hungary,1918,2025,HUN,unchanged
315,Czechoslovakia,1918,1992,NA,unchanged
316,Czech Republic,1993,2025,CZE,unchanged
317,Slovakia,1993,2025,SVK,unchanged
325,Italy,1861,2025,ITA,unchanged
327,Papal States,1816,1860,NA,unchanged
329,Two Sicilies,1816,1861,NA,unchanged
331,San Marino,1992,2025,SMR,cow-v2016-issue-144-entry-year-unverified
332,Modena,1816,1860,NA,unchanged
335,Parma,1816,1860,NA,unchanged
337,Tuscany,1816,1860,NA,unchanged
338,Malta,1964,2025,MLT,cshapes-2.0-gwcode-entry-year-unverified
339,Albania,1914,2025,ALB,cshapes-2.0-gwcode
341,Montenegro,1878,2025,MNE,unchanged
343,Macedonia,1991,2025,MKD,unchanged
344,Croatia,1992,2025,HRV,unchanged
345,Yugoslavia/Serbia,1816,2025,SRB,unchanged
346,Bosnia-Herzegovina,1992,2025,BIH,unchanged
347,Kosovo,2008,2025,XKX,unchanged
349,Slovenia,1992,2025,SVN,unchanged
350,Greece,1828,2025,GRC,unchanged
352,Cyprus,1960,2025,CYP,unchanged
355,Bulgaria,1878,2025,BGR,unchanged
359,Moldova,1991,2025,MDA,unchanged
360,Romania,1878,2025,ROU,unchanged
365,Russia/USSR,1816,2025,RUS,unchanged
366,Estonia,1991,2025,EST,unchanged
367,Latvia,1991,2025,LVA,unchanged
368,Lithuania,1991,2025,LTU,unchanged
369,Ukraine,1991,2025,UKR,unchanged
370,Belarus,1991,2025,BLR,unchanged
371,Armenia,1991,2025,ARM,unchanged
372,Georgia,1991,2025,GEO,unchanged
373,Azerbaijan,1991,2025,AZE,unchanged
375,Finland,1917,2025,FIN,unchanged
380,Sweden,1816,2025,SWE,unchanged
385,Norway,1905,2025,NOR,unchanged
390,Denmark,1816,2025,DNK,unchanged
395,Iceland,1944,2025,ISL,unchanged
402,Cape Verde,1975,2025,CPV,cshapes-2.0-gwcode
403,Sao Tome and Principe,1975,2025,STP,cow-v2016-issue-144
404,Guinea-Bissau,1974,2025,GNB,cshapes-2.0-gwcode-entry-year-unverified
411,Equatorial Guinea,1968,2025,GNQ,cshapes-2.0-gwcode-entry-year-unverified
420,Gambia,1965,2025,GMB,unchanged
432,Mali,1960,2025,MLI,unchanged
433,Senegal,1960,2025,SEN,unchanged
434,Benin,1960,2025,BEN,unchanged
435,Mauritania,1960,2025,MRT,unchanged
436,Niger,1960,2025,NER,unchanged
437,Côte d'Ivoire,1960,2025,CIV,unchanged
438,Guinea,1958,2025,GIN,unchanged
439,Burkina Faso,1960,2025,BFA,unchanged
