territory,colonial_power,independence_date,independence_year,successor_state,iso3,continent,area_km2,notes
Indonesia,Netherlands,1949-12-27,1949,Republic of Indonesia,IDN,Asia,1904569,Declared 1945; recognized 1949
Vietnam,France,1954-07-21,1954,Vietnam (split),VNM,Asia,331212,Geneva Accords
Philippines,USA,1946-07-04,1946,Republic of the Philippines,PHL,Asia,300000,
India,Britain,1947-08-15,1947,Republic of India,IND,Asia,3287263,Partition with Pakistan
Pakistan,Britain,1947-08-14,1947,Islamic Republic of Pakistan,PAK,Asia,881913,Including East Pakistan
Burma (Myanmar),Britain,1948-01-04,1948,Union of Burma,MMR,Asia,676578,
Ceylon (Sri Lanka),Britain,1948-02-04,1948,Dominion of Ceylon,LKA,Asia,65610,
Israel/Palestine,Britain,1948-05-14,1948,State of Israel,ISR,Asia,20770,Mandate terminated
Laos,France,1953-10-22,1953,Kingdom of Laos,LAO,Asia,236800,
Cambodia,France,1953-11-09,1953,Kingdom of Cambodia,KHM,Asia,181035,
Malaya,Britain,1957-08-31,1957,Federation of Malaya,MYS,Asia,330803,Malaysia 1963
Singapore,Britain/Malaysia,1965-08-09,1965,Republic of Singapore,SGP,Asia,728,Separated from Malaysia
Brunei,Britain,1984-01-01,1984,Brunei Darussalam,BRN,Asia,5765,
Libya,Italy/UK/France,1951-12-24,1951,United Kingdom of Libya,LBY,Africa,1759540,
Sudan,Britain/Egypt,1956-01-01,1956,Republic of the Sudan,SDN,Africa,2505813,Condominium
Morocco,France/Spain,1956-03-02,1956,Kingdom of Morocco,MAR,Africa,446550,
Tunisia,France,1956-03-20,1956,Republic of Tunisia,TUN,Africa,163610,
Ghana,Britain,1957-03-06,1957,Republic of Ghana,GHA,Africa,238533,Gold Coast
Guinea,France,1958-10-02,1958,Republic of Guinea,GIN,Africa,245857,
Cameroon,France,1960-01-01,1960,Republic of Cameroon,CMR,Africa,475442,
Senegal,France,1960-04-04,1960,Republic of Senegal,SEN,Africa,196722,
Togo,France,1960-04-27,1960,Republic of Togo,TGO,Africa,56785,
Mali,France,1960-09-22,1960,Republic of Mali,MLI,Africa,1240192,
Madagascar,France,1960-06-26,1960,Malagasy Republic,MDG,Africa,587041,
DR Congo,Belgium,1960-06-30,1960,Republic of the Congo,COD,Africa,2344858,
Somalia,Italy/Britain,1960-07-01,1960,Somali Republic,SOM,Africa,637657,Union of two territories
Benin,France,1960-08-01,1960,Republic of Dahomey,BEN,Africa,112622,
Niger,France,1960-08-03,1960,Republic of Niger,NER,Africa,1267000,
Burkina Faso,France,1960-08-05,1960,Republic of Upper Volta,BFA,Africa,274200,
Côte d'Ivoire,France,1960-08-07,1960,Republic of Côte d'Ivoire,CIV,Africa,322463,
Chad,France,1960-08-11,1960,Republic of Chad,TCD,Africa,1284000,
Central African Republic,France,1960-08-13,1960,Central African Republic,CAF,Africa,622984,
Republic of the Congo,France,1960-08-15,1960,Republic of the Congo,COG,Africa,342000,
Gabon,France,1960-08-17,1960,Republic of Gabon,GAB,Africa,267668,
Mauritania,France,1960-11-28,1960,Islamic Republic of Mauritania,MRT,Africa,1030700,
Sierra Leone,Britain,1961-04-27,1961,Sierra Leone,SLE,Africa,71740,
Tanzania,Britain,1961-12-09,1961,Tanganyika,TZA,Africa,947303,Union with Zanzibar 1964
Rwanda,Belgium,1962-07-01,1962,Republic of Rwanda,RWA,Africa,26338,
