empire,dissolution_year,dissolution_type,n_successor_states,successor_states,trigger_event,treaty,notes
Holy Roman Empire,1806,dissolution,~40,German Confederation states,Napoleonic Wars,Treaty of Pressburg (1805),Formally dissolved 6 Aug 1806
Spanish Colonial Empire,1824,decolonization,~15,"Mexico,Colombia,Venezuela,Peru,Chile,Argentina,Bolivia,Ecuador,Paraguay,Uruguay,Central American states",Latin American independence wars,Various,Most independence 1810-1824; Cuba/Philippines lost 1898
Ottoman Empire,1922,dissolution,~20,"Turkey,Iraq,Syria,Lebanon,Jordan,Palestine,Saudi Arabia,Yemen,Egypt,Libya,Albania,Greece,Bulgaria,Serbia,Montenegro,Romania",WWI defeat,Treaty of Lausanne (1923),Sultanate abolished 1 Nov 1922; Republic 29 Oct 1923
Austro-Hungarian Empire,1918,dissolution,7,"Austria,Hungary,Czechoslovakia,Yugoslavia,Poland (partial),Romania (partial),Italy (partial)",WWI defeat,"Treaty of Saint-Germain (1919), Treaty of Trianon (1920)",Emperor Karl renounced 11 Nov 1918
German Empire (to nation-states),1918,dissolution,1,Weimar Republic,WWI defeat,Treaty of Versailles (1919),Kaiser abdicated 9 Nov 1918; territorial losses to France/Poland/Denmark
Russian Empire,1917,revolution,1,Soviet Russia/USSR,Russian Revolution,Treaty of Brest-Litovsk (1918),Finland/Baltics/Poland independent; USSR formed 1922
Italian unification,1861,unification,1,Kingdom of Italy,"Risorgimento,Garibaldi","Various (Villafranca, Turin, etc.)",Proclaimed 17 Mar 1861; Rome 1870; Venetia 1866
German unification,1871,unification,1,German Empire,"Austro-Prussian War,Franco-Prussian War",Treaty of Versailles (1871 ceremony),25+ states unified; proclaimed 18 Jan 1871
British Empire,1947,decolonization,~60,"India,Pakistan,Ghana,Nigeria,Kenya,Tanzania,etc.",WWII weakening + independence movements,Various,Peak decolonization 1947-1968
French Colonial Empire,1960,decolonization,~20,"Algeria,Senegal,Mali,Chad,Cameroon,etc.",WWII + Algerian War,Evian Accords (1962) for Algeria,Peak: 1960 (Year of Africa)
Portuguese Colonial Empire,1975,decolonization,5,"Angola,Mozambique,Guinea-Bissau,Cape Verde,São Tomé and Príncipe",Carnation Revolution (1974),Various,Last European colonial empire in Africa
USSR,1991,dissolution,15,"Russia,Ukraine,Belarus,Kazakhstan,Uzbekistan,Turkmenistan,Tajikistan,Kyrgyzstan,Georgia,Armenia,Azerbaijan,Moldova,Estonia,Latvia,Lithuania",Economic collapse + reform,Belovezha Accords (1991),Formally dissolved 26 Dec 1991
Yugoslavia,1992,dissolution,7,"Slovenia,Croatia,Bosnia and Herzegovina,Serbia,Montenegro,North Macedonia,Kosovo",Ethnic tensions + economic crisis,"Dayton (1995), various",Slovenia/Croatia 1991; Kosovo 2008
Czechoslovakia,1993,dissolution,2,"Czech Republic,Slovakia",Political disagreement,Constitutional Act 542/1992,Velvet Divorce; 1 Jan 1993
