continent,polity_name,imports_start,imports_end,exports_start,exports_end,population_start,population_end,population_estimate,notes
Africa,Algeria,1831,1938,1830,1938,1830,,,1800-1830 Ottoman Empire
Africa,Angola,1816,1938,1850,1938,1828,,,
Africa,Basutoland,1884,1938,,,,,,present-day Lesotho
Africa,Bechuanaland Protectorate,1885,1938,,,,,,present-day Botswana
Africa,Belgian Congo,1885,1938,1850,1938,1850,,,
Africa,British Bechuanaland,1885,1895,,,,,,1896-1938 annexed to  South Africa
Africa,British Cameroon,1914,1938,,,,,,"population in 1921; Before 1914 part of German Kameroon, then divided between Nigeria and Cameroon; estimate jointly with Nigeria"
Africa,British East Africa,1895,1938,1850,1938,1828,,,Present day Kenya and Uganda
Africa,British Protectorate (British Somaliland),1884,1938,1850,1938,1850,,,
Africa,Canary Islands,1800,1938,1850,1938,1826,,,
Africa,Cameroon (Kamerun),1884,1938,1850,1938,1850,,,"German colony until 1914, French mandate thereafter"
Africa,CapoVerde,1800,1938,1850,1938,1850,,,
Africa,Ceuta Y Melilla,1800,1938,1850,1938,1826,,,
Africa,Egypt,1800,1938,1850,1938,1850,,,
Africa,Eritrea,1882,1938,1850,1938,1850,,,
Africa,Ethiopia,1800,1938,1850,1938,1850,,,Since 1936 Italian colony
Africa,French Equatorial Africa,1910,1938,1850,1938,1850,,,"Includes present-day Central African republic (colony 1906-1910), Chad (1891-1910), Gabon (protectorate 1839-1885, colony 1885-1910), French Congo (1882-1910)"
Africa,French Somaliland,1887,1938,1850,1938,1850,,,
Africa,French West Africa,1895,1938,1850,1938,1830,,,"Includes present-day Mauritania, Dahomey (or Benin), French Guinea, Ivory Coast (protectorate since mid 19th century, colony 1889), Mali, Niger  Senegal (colony since mid 19th century), French Sudan, Upper Volta (now Burkina Faso), Niger and Togo (independent polity as German West Africa  until 1914)"
Africa,Gambia,1800,1938,1850,1938,1817,,,
Africa,German East Africa (Tanganyika),1884,1938,1850,1938,1828,,,After 1919   British mandate; present-day  Tanzania
Africa,German South West Africa,1884,1938,1850,1938,1850,,,After 1919 South African mandate; present day Namibia
Africa,German West Africa,1884,1914,1850,1914,1850,,,After 1919 part of  French West Africa; present-day Togo
Africa,Gold Coast,1843,1938,1850,1938,1817,,,1821-1843 and  1866-1874 part of Sierra Leone; present-day Ghana
Africa,Guinea Bisau (Portuguese Guinea),1879,1938,1850,1938,1850,,,Present-day Guinea Bissau
Africa,Italian Libia Cyrenaica (Lybia),1911,1938,1850,1938,1850,,,1800-1910 Ottoman Empire
Africa,Italian Somaliland,1908,1938,1850,1938,1850,,,
Africa,Liberia,1847,1938,1850,1938,1850,,,
Africa,Madagascar,1882,1938,1850,1938,1850,,,
Africa,Mauritius,1800,1938,1850,1938,1828,,,
Africa,Mayotte and Noissi-be,1843,1914,,,,,,1914-1938 annexed to Madagascar; estimated jointly with Magadascar
Africa,Morocco (French),1911,1938,1850,1938,1827,,,
Africa,Mozambique,1816,1938,1850,1938,1828,,,
Africa,Nigeria,1861,1938,1850,1938,1817,,,"Includes Lagos (separate colony 1861-1906), Southern Nigeria (protectorate 1899-1914) and Northern Nigeria (protectorate 1900-1914)"
Africa,Nyasaland Protectorate (Malawi),1891,1938,1850,1938,1828,,,present day Malawi
Africa,Orange Free State,1848,1900,,,,,,After 1900 South Africa; jointly estimated South Africa
Africa,Reunion,1816,1938,1850,1938,1838,,,
Africa,Rhodesia,1890,1938,1850,1938,1850,,,"Includes Southern Rhodesia (colony 1901 - present-day Zimbabwe), North-Western  Rhodesia (protectorate 1890- present-day Zambia) and North Eastern Rhodesia (protectorate  ca 1900 - present-day Zambia)"
Africa,Rwanda and Burundi,1919,1938,1850,1938,1850,,,Until 1918 part of German East Africa; thereafter of British East Africa
Africa,Sao Tome and Principe,1800,1938,1850,1938,1850,,,
Africa,Seychelles,1903,1938,1850,1938,1828,,,1816-1903 belonged to  Mauritius
Africa,Sierra Leone,1800,1938,1850,1938,1817,,,
Africa,South Africa,1828,1938,1826,1938,1826,,,"includes Cape Good Hope (since 1828), Natal (since 1897)"
Africa,Spanish Guinea,1858,1938,,,,,,present-day Equatorial Guinea
Africa,St. Helena,1800,1938,,,,,,
Africa,Sudan (Anglo-Egyptian),1882,1938,1850,1938,1850,,,Until 1881 formally  belonged to Egypt
Africa,Swaziland,1894,1938,,,,,,
Africa,Transvaal,1856,1902,,,,,,After 1900 South Africa; jointly estimated South Africa
Africa,Tunisia,1881,1938,1850,1938,1830,,,
Africa,Zanzibar,1800,1938,1850,1938,1828,,,British protectorate 1890; present-day Tanzania
Americas,Argentina,1800,1938,1820,1938,1820,,,until 1811 Spanish colony (Viceroyalty Plata); Argentina
Americas,Bahamas,1800,1938,1827,1938,1816,,,Bahamas
Americas,Barbados,1800,1938,1827,1938,1816,,,Barbados
Americas,Bermuda,1800,1938,1850,1938,1816,,,Bermuda
Americas,Bolivia,1825,1938,1850,1938,1820,,,until 1825 Spanish colony (Viceroyalty de la Plata); Bolivia
Americas,Brazil,1800,1938,1820,1938,1820,,,Brazil
Americas,British Guiana,1800,1938,1827,1938,1816,,,"Including Berbice, Demerara and Essequebio (independent colonies 1802-1831); now Guyana; British Guiana"
Americas,British Honduras (Belize),1800,1938,1827,1938,1816,,,"quasi independent  until 1862, then British colony. Present-day Belize; British Honduras (Belize)"
Americas,Canada,1866,1938,1828,1938,1816,,,"Sum of Canada (Ports of Quebec and Montreal), Nova Scotia and Cape Breton, New Brunswick and Prince Edward Island from 1827-1867.; Canada"
Americas,British Columbia,1858,1866,,,,,,Joint estimate with Canada
Americas,Chile,1810,1938,1810,1938,1810,,,Until 1810 Spanish colony (viceroyalty de Peru); Chile
Americas,Colombia,1800,1938,1830,1938,1820,,,until 1811 spanish colony (Viceroyalty New Granada); Colombia
Americas,Costa Rica,1800,1938,1830,1938,1820,,,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America; Costa Rica
Americas,Cuba,1800,1938,1830,1938,1820,,,Cuba
Americas,Danish Virgin Islands,1800,1938,1820,1938,1820,,,Danish Virgin Island
Americas,Dominican Republic,1800,1938,1850,1938,1820,,,Dominican Republic
Americas,Dutch Guayana,1800,1938,1850,1938,1820,,,present-day Suriname; Dutch Guiana (Suriname)
Americas,Dutch West Indies (Netherland Antilles),1800,1938,1820,1938,1820,,,"Islands Aruba, Bonaire and Curacao and minor ones; Dutch West Indies (Netherlands Antilles)"
Americas,Ecuador,1800,1938,1830,1938,1820,,,Ecuador
Americas,El Salvador,1821,1938,1839,1938,1818,,,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America; El Salvador
Americas,Falkland Islands,1833,1938,1830,1938,1820,,,1816-1833 Argentina; Falkland Islands (Malvinas)
Americas,French Guiana,1800,1938,1820,1938,1820,,,French Guiana
Americas,Grenada,1800,1833,1827,1938,1816,,,British Windward colony after 1833; Grenada
Americas,Guadeloupe,1800,1938,1820,1938,1820,,,Guadeloupe
Americas,Guatemala,1821,1938,1839,1938,1818,,,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America; Guatemala
Americas,Haiti,1800,1938,1820,1938,1820,,,Haiti
Americas,Honduras,1800,1938,1845,1938,1818,,,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America; Honduras
Americas,Jamaica,1800,1938,1830,1938,1816,,,Including Cayman islands; Jamaica
Americas,"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",1800,1938,1827,1938,1816,,,"in 1816 it was divided in two, with Antigua, Barbuda and Montserrat in one colony, and Saint Christopher, Nevis, Anguilla, and the Virgin Islands in another; Leeward Islands"
Americas,Lower Quebec,1800,1866,,,,,,Joint estimate with Canada
Americas,Martinique,1800,1938,1820,1938,1820,,,Martinique
Americas,Mexico,1800,1938,1800,1938,1800,,,Mexico
Americas,New Brunswick,1800,1866,,,,,,Joint estimate with Canada
Americas,Newfoundland,1816,1938,1850,1938,1816,,,Newfoundland
Americas,Nicaragua,1800,1938,1839,1938,1818,,,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America; Nicaragua
Americas,Nova Scotia  Cape Breton Isl.,1800,1866,,,,,,Joint estimate with Canada
Americas,Ontario,1800,1866,,,,,,Joint estimate with Canada
Americas,Panama,1906,1938,1906,1938,1906,,,until 1821 Spanish colony; until 1905 part of Colombia; Panama
Americas,Paraguay,1811,1938,1820,1938,1820,,,Paraguay
Americas,Peru,1825,1938,1820,1938,1820,,,until 1824 Spanish colony (viceroyalty of Peru)
Americas,Prince Edward Island,1800,1866,,,,,,Joint estimate with Canada; Peru
Americas,Puerto Rico,1800,1938,1830,1938,1820,,,since 1901 trade of Porto Rico is included in the United States  statistics.; Puerto Rico
Americas,St. Lucía,1800,1838,1828,1938,1816,,,British Windward colony after 1833; Saint Lucia
Americas,St Martin and St Barthélemy,1816,1878,1820,1870,1820,,,population 1870; 1878-1938 part of Guadaloupe; Saint Martin and Saint-Barthélemy
Americas,St Pierre & Miquelon,1800,1938,1850,1938,1820,,,Saint Pierre and Miquelon
Americas,St. Vincent,1800,1833,1827,1938,1816,,,British Windward colony after 1833; Saint Vincent
Americas,Trinidad and Tobago,1800,1938,1827,1938,1816,,,Tobago independent colony until 1889; Trinidad and Tobago
Americas,Turks and Caicos Islands,1800,1938,1827,1938,1816,,,Turks and Caicos Islands
Americas,United States,1800,1938,1830,1938,1820,,,United States
Americas,Vancouver´s Island,1849,1866,,,,,,Joint estimate with Canada
Americas,Uruguay,1828,1938,1830,1938,1820,,,until 1814 Spanish colony (Viceroyalty Rio de la Plata); 1816-1825 Brazil;; Uruguay
Americas,Venezuela,1821,1938,1830,1938,1820,,,until 1821 Spanish colony (viceroyalty New granada); Venezuela
Asia,Abu Dhabi,1800,1938,,,,,,
Asia,Aden,1839,1938,,,,,,
Asia,Afghanistan,1800,1938,1850,1938,1850,,,
Asia,Ajman,1800,1938,,,,,,
Asia,Badakhshan,1800,1873,,,,,,1873-1938 Afghanistan; joint estimate with Afghanistan
Asia,Bahrain,1800,1938,,,,,,
Asia,Bhutan,1800,1938,,,,,,
Asia,Bonin island,1846,1873,,,,,,1876-1938 Japan; joint estimate with Japan
Asia,British Malaya,1922,1938,1850,1938,1850,,,"Created 1922 unifying Strait Settlements, Federated Malay states and Unfederated Malay States (all Briish colonies or protectorates)"
Asia,Brunei,1800,1938,1850,1938,1850,,,
Asia,Bukhara,1800,1920,,,,,,1920-1938 USSR
Asia,Burma (Myammar),1800,1938,,,,,,Joint estimate with India
Asia,Ceylon (Sri Lanka),1800,1938,1850,1938,1825,,,
Asia,China,1800,1938,1850,1938,1830,,,
Asia,Danish India,1800,1845,,,,,,1846-1938 British India
Asia,Dutch East Indies (Indonesia),1800,1938,1822,1938,1822,,,
Asia,Federated Malay States,1895,1922,,,,,,1922-1938 British Malaya; Joint estimate with British Malaya
Asia,Formosa (Taiwan),1896,1938,1896,1938,1896,,,1800-1895 China
Asia,French India,1800,1938,1830,1938,1830,,,
Asia,French Indochina,1887,1938,1850,1938,1850,,,
Asia,Fujairah,1886,1938,,,,,,1816-1886 Sharjah
Asia,Herat,1800,1862,,,,,,1863-1938 Afghanistan; joint estimate with Afghanistan
Asia,Hong-Kong,1841,1938,,,,,,1816-1839 China
Asia,India,1800,1938,1800,1938,1800,,,
Asia,Iraq,1921,1938,1921,1938,1921,,,1800-1918 Ottoman Empire
Asia,Japan,1800,1938,1860,1938,1860,,,
Asia,Jordan,1918,1938,,,,,,1800-1918 Ottoman Empire; joint estimate with Palestine
Asia,Khiva,1800,1873,,,,,,1873-1938 Russia and Soviet Union
Asia,Kiautchou,1898,1922,,,,,,1800-1898 and 1922-1938 China; joint estimate with China
Asia,Kokand,1800,1883,,,,,,1873-1938 Russia and Soviet Union
Asia,Korea,1800,1938,1876,1938,1876,,,
Asia,Kuwait,1800,1938,,,,,,population in 1920
Asia,Kwang-Chou-Wan,1898,1938,,,,,,population in 1926; 1800-1898 and 1922-1938 China; joint estimate with China
Asia,Kwantung (Port Arthur),1898,1938,,,,,,"1800-1898  China, 1898-1905 Russia, 1905-1938 Japan"
Asia,Maldive,1800,1938,,,,,,
Asia,Manchukuo,1932,1938,1932,1938,1932,,,NA; 1800-1932 China
Asia,Mongolia,1911,1938,,,,,,1800-1911 China
Asia,Nepal,1800,1938,1850,1938,1850,,,
Asia,North Yemen,1918,1938,1918,1938,1918,,,1871-1918 Ottoman Empire; 1918-1938 Included with Saudi Arabia
Asia,Oman,1800,1938,,,,,,
Asia,Ottoman Empire/Turkey,1800,1938,1850,1938,1830,,,
