state,sovereignty_since,key_treaty,area_km2,population_approx,iso3,un_member,notes
San Marino,1815,Congress of Vienna; treaty with Italy 1862,61,33000,SMR,yes,Claims continuity from 301 AD; oldest surviving republic
Monaco,1861,Franco-Monegasque Treaty 1861; updated 1918,2.02,39000,MCO,yes,Under Sardinian protection 1815-1861; French protectorate after
Liechtenstein,1806,End of HRE; Congress of Vienna 1815; customs union with Switzerland 1923,160,39000,LIE,yes,Last HRE principality to survive intact
Andorra,1278,Paréage 1278; constitution 1993; UN member 1993,468,80000,AND,yes,Co-principality: President of France + Bishop of Urgell
Vatican City,1929,Lateran Treaty 1929,0.44,800,VAT,observer,Smallest internationally recognized state
Luxembourg,1839,Treaty of London 1839; neutrality guaranteed 1867,2586,660000,LUX,yes,Grand Duchy from 1815
Malta,1964,Independence from Britain 21 Sep 1964; republic 1974,316,530000,MLT,yes,
Iceland,1944,Sovereign kingdom under Denmark 1918; republic 17 Jun 1944,103000,380000,ISL,yes,Personal union with Denmark dissolved by referendum
Nauru,1968,Independence from Australia trusteeship 31 Jan 1968,21,10000,NRU,yes,Smallest island nation
Tuvalu,1978,Independence from Britain 1 Oct 1978,26,11000,TUV,yes,Fourth smallest country
