modern_iso3,year,polity_code,polity_iso3,polity_name,hop_depth
AGO,1850,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1851,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1852,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1853,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1854,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1855,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1856,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1857,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1858,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1859,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1860,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1861,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1862,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1863,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1864,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1865,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1866,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1867,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1868,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1869,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1870,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1871,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1872,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1873,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1874,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1875,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1876,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1877,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1878,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1879,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1880,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1881,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1882,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1883,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1884,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1885,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1886,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1887,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1888,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1889,ANG-1800-1890,ANG,Angola (to 1890),3
AGO,1890,ANG-1890-1891,ANG,Angola (1890-1891),2
AGO,1891,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1892,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1893,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1894,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1895,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1896,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1897,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1898,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1899,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1900,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1901,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1902,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1903,ANG-1891-1905,ANG,Angola (1891-1905),1
AGO,1904,ANG-1891-1905,ANG,Angola (1891-1905),1
ARM,1917,F228-1917-1918,,Russia (1917-1918),6
ARM,1918,F228-1918-1920,,RSFSR (1918-1920),5
ARM,1919,F228-1918-1920,,RSFSR (1918-1920),5
ARM,1920,F228-1920-1921,,RSFSR (1920-1921),4
ARM,1921,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1922,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1923,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1924,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1925,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1926,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1927,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1928,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1929,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1930,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1931,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1932,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1933,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1934,F228-1921-1940,,RSFSR/USSR (1921-1940),3
ARM,1935,F228-1921-1940,,RSFSR/USSR (1921-1940),3
