polity_code,polity_name,start_year,end_year,polity_type,iso3_code,cow_code,continent,wiki_status,last_ingest,polygon_source,polygon_feature_id,polygon_feature_year,polygon_status,polygon_area_km2,predecessor,successor
AEF-1910-1960,French Equatorial Africa (AEF),1910,1960,national,AEF,NA,Africa,draft,2026-06-24,cshapes-2.0,cshapes-idx-366+370+375+382,1938,assigned,2495219,,COG-1960-2025; GAB-1960-2025; CAF-1960-2025; TCD-1960-2025
AFG-1800-1893,Afghanistan (to 1893),1800,1893,national,AFG,700,Asia,draft,2026-04-13,cshapes-2.0,700,1888,assigned,,,AFG-1893-1919
AFG-1893-1919,Afghanistan (1893-1919),1893,1919,national,AFG,700,Asia,draft,2026-04-12,cshapes-2.0,700,1893,assigned,,AFG-1800-1893,AFG-1919-2025
AFG-1919-2025,Afghanistan,1919,2025,national,AFG,700,Asia,draft,2026-04-12,cshapes-2.0,700,1919,assigned,,AFG-1893-1919,
AGO-1816-2025,Angola,1816,2025,national,AGO,540,Africa,draft,2026-04-12,cshapes-2.0,540,1905,assigned,,ANG-1891-1905; KSJ-1800-1911,
ALB-1913-2025,Albania (1913-2025),1913,2025,national,ALB,400,Europe,draft,2026-04-12,cshapes-2.0,339,1913,assigned,,,
AMI-1946-1953,Amami Islands (US-administered),1946,1953,colonial,NA,NA,Asia,draft,2026-06-25,,,,unassigned,,RYU-1937-1945,JPN-1952-2025
AND-1800-2025,Andorra,1800,2025,national,AND,NA,Europe,reviewed,2026-04-12,cshapes-europe,232,1816,assigned,,,
ANG-1800-1890,Angola (to 1890),1800,1890,national,ANG,NA,Africa,draft,2026-04-15,cshapes-2.0,540,1886,assigned,,,ANG-1890-1891
ANG-1890-1891,Angola (1890-1891),1890,1891,national,ANG,NA,Africa,draft,2026-04-13,cshapes-2.0,540,1886,assigned,,,ANG-1891-1905
ANG-1891-1905,Angola (1891-1905),1891,1905,national,ANG,NA,Africa,draft,2026-04-13,cshapes-2.0,540,1890,assigned,,ANG-1890-1891,AGO-1816-2025
ANG-1905-1975,Angola (1905-1975),1905,1975,national,ANG,540,Africa,draft,2026-04-15,cshapes-2.0,540,1905,assigned,,ANG-1891-1905,
ANT-1961-2010,Netherlands Antilles,1961,2010,aggregate,ANT,,North America,draft,2026-06-11,reporting-areas,ANT-1961-2010,,derived,,,
AOF-1895-1960,French West Africa (AOF),1895,1960,national,AOF,430,Africa,draft,2026-06-23,constructed,AOF-1895-1960,1938,assigned,4774865,,SEN-1960-2025; GIN-1958-2025; CIV-1960-2025; BEN-1960-2025; NER-1960-2025; BFA-1960-2025; MLI-1960-2025; MRT-1960-1975
ARE-1892-2025,United Arab Emirates,1892,2025,national,ARE,696,Asia,draft,2026-04-12,cshapes-2.0,696,1913,assigned,,,
ARG-1800-2025,Argentina,1800,2025,national,ARG,160,South America,reviewed,2026-04-12,cshapes-2.0,160,1902,assigned,,,
ARM-1991-2025,Armenia,1991,2025,national,ARM,371,Asia,reviewed,2026-04-12,cshapes-2.0,371,1991,assigned,,F228-1945-1991,
ASH-1800-1896,Ashanti Empire,1800,1896,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Asante,,assigned,,,GHA-1898-1956
ATG-1800-2025,Antigua and Barbuda,1800,2025,national,ATG,58,North America,draft,2026-06-09,gadm-4.1-adm0,ATG,,proxy,,,
AUH-1800-1859,Austrian Empire (to 1859),1800,1859,national,AUH,300,Europe,draft,2026-04-13,cliopatria,Austrian Empire,1820,assigned,,,AUH-1859-1866
AUH-1859-1866,Austrian Empire (1859-1866),1859,1866,national,AUH,300,Europe,draft,2026-04-13,cliopatria,Austrian Empire,1860,assigned,,AUH-1800-1859,AUH-1866-1908
AUH-1866-1908,Austria-Hungary (1866-1908),1866,1908,national,AUH,300,Europe,draft,2026-04-13,cliopatria,Austria-Hungary,1880,assigned,,AUH-1859-1866,AUH-1908-1918
AUH-1908-1918,Austria-Hungary (1908-1918),1908,1918,national,AUH,300,Europe,draft,2026-04-11,cshapes-2.0,300,1908,assigned,,AUH-1866-1908,AUT-1918-1919; HUN-1918-1919; F51-1918-1938; F248-1918-1919; POL-1918-1919
AUS-1800-1901,Australian Colonies (to 1901),1800,1901,national,AUS,NA,Oceania,draft,2026-04-16,cshapes-2.0,900,1901,proxy,7686693,,AUS-1901-2025
AUS-1901-2025,Australia,1901,2025,national,AUS,900,Oceania,reviewed,2026-04-12,cshapes-2.0,900,1927,assigned,,,
AUSA-1836-1900,South Australia (to 1900),1836,1900,national,AUS,NA,Oceania,draft,2026-04-15,cshapes-2.0,903,1886,assigned,,,AUS-1901-2025
AUT-1800-1918,Austria (Cisleithania),1800,1918,national,AUT,305,Europe,draft,2026-04-17,histogis-1860-habsburg,AUT-1800-1918,,assigned,300560,,AUT-1918-1919
AUT-1918-1919,Austria (1918-1919),1918,1919,national,AUT,305,Europe,draft,2026-04-12,cshapes-2.0,305,1918,assigned,,AUH-1908-1918,AUT-1919-2025
AUT-1919-2025,Austria,1919,2025,national,AUT,305,Europe,draft,2026-04-12,cshapes-2.0,305,1919,assigned,,AUH-1908-1918,
AUWA-1829-1900,Western Australia (to 1900),1829,1900,national,AUS,NA,Oceania,draft,2026-04-15,cshapes-2.0,902,1886,assigned,,,AUS-1901-2025
AZE-SSR-1920-1991,Azerbaijan SSR,1920,1991,national,AZE,373,Asia,draft,2026-06-26,cshapes-2.0,373,1991,proxy,87000,F228-1920-1921,AZE-1991-2025
AZE-1991-2025,Azerbaijan,1991,2025,national,AZE,373,Asia,reviewed,2026-04-12,cshapes-2.0,373,1991,assigned,,AZE-SSR-1920-1991,
BCM-1916-1961,British Cameroons,1916,1961,colonial,CMR,472,Africa,draft,2026-06-25,cshapes-2.0,472,1953,assigned,87489,,NGA-1961-2025; CMR-1961-2025
BDI-1962-2025,Burundi,1962,2025,national,BDI,516,Africa,draft,2026-04-12,cshapes-2.0,516,1962,assigned,,BDK-1800-1890; RWB-1922-1962,
BDK-1800-1890,Kingdom of Burundi,1800,1890,national,NA,NA,Africa,draft,2026-04-12,paine-2024,Burundi,,assigned,,,TAN-1891-1920; BDI-1962-2025
BEC-1885-1966,Bechuanaland Protectorate (1885-1966),1885,1966,national,BEC,NA,Africa,draft,2026-04-13,none,,,missing,,,BWA-1966-2025
BEL-1831-2025,Belgium,1831,2025,national,BEL,211,Europe,draft,2026-04-12,cshapes-2.0,211,1886,assigned,,NLD-1800-1830,
BEN-1895-1898,Benin (1895-1898),1895,1898,national,BEN,434,Africa,draft,2026-04-13,cshapes-2.0,434,1895,assigned,,DHY-1800-1894,BEN-1898-1960
BEN-1898-1960,Benin (1898-1960),1898,1960,national,BEN,434,Africa,draft,2026-04-12,cshapes-2.0,434,1898,assigned,,BEN-1895-1898,BEN-1960-2025
BEN-1960-2025,Benin,1960,2025,national,BEN,434,Africa,draft,2026-04-12,cshapes-2.0,434,1960,assigned,,DHY-1800-1894; PNV-1800-1882; BEN-1898-1960,
BFA-1919-1932,Upper Volta (1919-1932),1919,1932,national,BFA,439,Africa,draft,2026-06-26,cshapes-2.0,439,1947,assigned,,,
BFA-1947-1960,Burkina Faso (1947-1960),1947,1960,national,BFA,439,Africa,draft,2026-04-12,cshapes-2.0,439,1947,assigned,,,BFA-1960-2025
BFA-1960-2025,Burkina Faso,1960,2025,national,BFA,439,Africa,draft,2026-04-12,cshapes-2.0,439,1960,assigned,,MOS-1800-1897; BFA-1947-1960,
BGA-1800-1894,Kingdom of Buganda,1800,1894,national,NA,NA,Africa,draft,2026-04-12,paine-2024,Buganda,,assigned,,,UGA-1894-1902; UGA-1962-2025
BGD-1947-1971,East Pakistan (1947-1971),1947,1971,national,BGD,771,Asia,draft,2026-04-16,cshapes-2.0,771,1971,assigned,,PAK-1800-1947,BGD-1971-2025
BGD-1971-2025,Bangladesh,1971,2025,national,BGD,771,Asia,draft,2026-04-12,cshapes-2.0,771,1971,assigned,,PAK-1949-1971,
BGR-1878-1913,Bulgaria (to 1913),1878,1913,national,BGR,355,Europe,draft,2026-04-12,cshapes-europe,355,1886,assigned,,,BGR-1913-1918
BGR-1913-1918,Bulgaria (1913-1918),1913,1918,national,BGR,355,Europe,draft,2026-04-12,cshapes-2.0,355,1913,assigned,,BGR-1878-1913,BGR-1918-1919
BGR-1918-1919,Bulgaria (1918-1919),1918,1919,national,BGR,355,Europe,draft,2026-04-12,cshapes-2.0,355,1918,assigned,,BGR-1913-1918,BGR-1919-1940
BGR-1919-1940,Bulgaria (1919-1940),1919,1940,national,BGR,355,Europe,draft,2026-04-12,cshapes-2.0,355,1919,assigned,,BGR-1918-1919,BGR-1940-2025
BGR-1940-2025,Bulgaria (1940-2025),1940,2025,national,BGR,355,Europe,reviewed,2026-04-12,cshapes-2.0,355,1940,assigned,,BGR-1919-1940,
BHR-1800-2025,Bahrain,1800,2025,national,BHR,692,Asia,draft,2026-04-12,cshapes-2.0,692,1971,assigned,,,
BHS-1800-2025,Bahamas,1800,2025,national,BHS,31,North America,draft,2026-06-09,gadm-4.1-adm0,BHS,,proxy,,,
BIH-1992-2025,Bosnia and Herzegovina,1992,2025,national,BIH,346,Europe,reviewed,2026-04-12,cshapes-2.0,346,1992,assigned,,F248-1991-1992,
BKN-1800-1897,Kingdom of Benin,1800,1897,national,NA,NA,Africa,draft,2026-04-15,paine-2024,Benin,,assigned,,,SNI-1899-1906
BLR-1991-2025,Belarus,1991,2025,national,BLR,370,Europe,reviewed,2026-04-12,cshapes-2.0,370,1991,assigned,,F228-1945-1991,
BLX-1850-1999,Belgium-Luxembourg,1850,1999,aggregate,BLX,,Europe,draft,2026-06-11,reporting-areas,BLX-1850-1999,,derived,,,
