source,feature_id,row_order,start_year,end_year,area_km2
cliopatria,Papal States,3194,755,756,12807.6
cliopatria,Papal States,3208,757,762,21793.1
cliopatria,Papal States,3229,763,774,27414.4
cliopatria,Papal States,3285,775,777,14092.0
cliopatria,Papal States,3302,778,782,14139.8
cliopatria,Papal States,3323,783,787,20234.6
cliopatria,Papal States,3334,788,792,20162.7
cliopatria,Papal States,3348,793,849,15062.2
cliopatria,Papal States,3518,850,879,15873.8
cliopatria,Papal States,3761,880,881,16229.2
cliopatria,Papal States,3789,882,910,15873.8
cliopatria,Papal States,4040,911,969,15873.8
cliopatria,Papal States,4405,970,989,15777.8
cliopatria,Papal States,4469,990,1033,15873.8
cliopatria,Papal States,4793,1034,1045,15945.6
cliopatria,Papal States,4909,1046,1055,15945.8
cliopatria,Papal States,5010,1056,1065,15878.3
cliopatria,Papal States,5034,1066,1084,15854.2
cliopatria,Papal States,5143,1085,1146,16113.7
cliopatria,Papal States,5456,1147,1201,15946.5
cliopatria,Papal States,5781,1202,1209,15995.1
cliopatria,Papal States,5922,1210,1259,15900.3
cliopatria,Papal States,6358,1260,1271,16138.5
cliopatria,Ethiopian Empire,6390,1272,1284,209415.4
cliopatria,Papal States,6430,1272,1278,28486.9
cliopatria,Papal States,6463,1279,1293,39479.0
cliopatria,Ethiopian Empire,6504,1285,1332,208363.1
cliopatria,Papal States,6551,1294,1313,39501.3
cliopatria,Ottoman Empire,6672,1305,1325,12981.6
cliopatria,Papal States,6731,1314,1406,39477.6
cliopatria,Ottoman Empire,6776,1326,1332,27394.6
cliopatria,Ottoman Empire,6833,1333,1343,31420.3
cliopatria,Ethiopian Empire,6844,1333,1414,391810.5
cliopatria,Ottoman Empire,6919,1344,1351,189088.6
cliopatria,Ottoman Empire,7040,1352,1362,190555.2
cliopatria,Ottoman Empire,7086,1363,1374,209600.5
cliopatria,Ottoman Empire,7237,1375,1384,264302.4
cliopatria,Ottoman Empire,7334,1385,1394,277416.7
cliopatria,Ottoman Empire,7358,1395,1401,404437.0
cliopatria,Ottoman Empire,7440,1402,1406,387833.7
cliopatria,Papal States,7500,1407,1430,39291.3
cliopatria,Ottoman Empire,7531,1407,1414,422665.9
cliopatria,Ottoman Empire,7584,1415,1421,440003.8
cliopatria,Ethiopian Empire,7596,1415,1501,392042.4
cliopatria,Ottoman Empire,7620,1422,1428,457210.8
cliopatria,Ottoman Empire,7684,1429,1430,550238.2
cliopatria,Ottoman Empire,7740,1431,1439,562984.4
cliopatria,Papal States,7758,1431,1462,39525.6
cliopatria,Ottoman Empire,7772,1440,1449,563077.6
cliopatria,Ottoman Empire,7876,1450,1452,569535.1
cliopatria,Ottoman Empire,7893,1453,1458,570829.8
cliopatria,Ottoman Empire,7951,1459,1462,654659.9
cliopatria,Papal States,8001,1463,1486,39267.5
cliopatria,Ottoman Empire,8026,1463,1467,799080.8
cliopatria,Ottoman Empire,8087,1468,1474,896142.7
cliopatria,Ottoman Empire,8109,1475,1481,905057.4
cliopatria,Ottoman Empire,8184,1482,1486,913772.4
cliopatria,Papal States,8211,1487,1506,39594.5
cliopatria,Ottoman Empire,8240,1487,1491,930450.2
cliopatria,Ottoman Empire,8294,1492,1501,930689.0
cliopatria,Ethiopian Empire,8393,1502,1528,392042.4
cliopatria,Ottoman Empire,8403,1502,1506,929740.2
cliopatria,Ottoman Empire,8410,1507,1511,931397.0
cliopatria,Papal States,8439,1507,1528,40645.4
cliopatria,Ottoman Empire,8471,1512,1515,931300.4
cliopatria,Ottoman Empire,8539,1516,1518,1062278.4
cliopatria,Ottoman Empire,8579,1519,1520,2688863.3
cliopatria,Ottoman Empire,8620,1521,1525,2780554.7
cliopatria,Ottoman Empire,8645,1526,1528,2792927.3
cliopatria,Papal States,8692,1529,1555,40645.4
cliopatria,Ottoman Empire,8725,1529,1533,2814294.1
cliopatria,Ethiopian Empire,8736,1529,1533,381441.5
cliopatria,Ethiopian Empire,8757,1534,1539,126243.0
cliopatria,Ottoman Empire,8762,1534,1539,3176933.1
cliopatria,Ethiopian Empire,8830,1540,1546,126932.0
cliopatria,Ottoman Empire,8846,1540,1546,3194566.1
cliopatria,Ottoman Empire,8880,1547,1551,3258197.6
cliopatria,Ethiopian Empire,8890,1547,1563,526424.8
cliopatria,Ottoman Empire,8945,1552,1555,3481684.2
cliopatria,Ottoman Empire,8983,1556,1563,3689743.9
cliopatria,Papal States,9006,1556,1599,40598.5
cliopatria,Ottoman Empire,9020,1564,1571,3641712.1
cliopatria,Ethiopian Empire,9029,1564,1578,523870.5
cliopatria,Ottoman Empire,9106,1572,1578,3783128.3
cliopatria,Ethiopian Empire,9156,1579,1635,523955.9
cliopatria,Ottoman Empire,9163,1579,1581,3869614.3
cliopatria,Ottoman Empire,9202,1582,1587,3869539.1
cliopatria,Ottoman Empire,9249,1588,1594,4253536.0
cliopatria,Ottoman Empire,9266,1595,1599,4254101.6
cliopatria,Ottoman Empire,9321,1600,1601,4254085.7
cliopatria,Papal States,9342,1600,1652,41647.6
cliopatria,Ottoman Empire,9383,1602,1608,4253973.5
cliopatria,Ottoman Empire,9421,1609,1611,3800371.5
cliopatria,Ottoman Empire,9453,1612,1621,3775366.4
cliopatria,Ottoman Empire,9542,1622,1625,3775388.8
cliopatria,Ottoman Empire,9565,1626,1635,3583411.0
cliopatria,Ottoman Empire,9704,1636,1639,3379980.2
cliopatria,Ethiopian Empire,9708,1636,1768,587497.6
cliopatria,Ottoman Empire,9734,1640,1644,3522695.2
cliopatria,Ottoman Empire,9817,1645,1647,3518070.1
cliopatria,Ottoman Empire,9872,1648,1661,3522313.9
cliopatria,Papal States,9925,1653,1708,41647.6
cliopatria,Ottoman Empire,10010,1662,1669,3525028.7
cliopatria,Ottoman Empire,10064,1670,1672,3529608.0
cliopatria,Morocco,10065,1670,1676,383833.0
cliopatria,Ottoman Empire,10123,1673,1676,3638377.6
cliopatria,Morocco,10144,1677,1682,383858.4
cliopatria,Ottoman Empire,10145,1677,1682,3587092.2
cliopatria,Ottoman Empire,10243,1683,1686,3591714.0
cliopatria,Morocco,10244,1683,1686,383708.1
cliopatria,Ottoman Empire,10269,1687,1690,3510104.8
cliopatria,Morocco,10270,1687,1740,384509.1
cliopatria,Ottoman Empire,10327,1691,1695,3489934.5
cliopatria,Ottoman Empire,10359,1696,1699,3440913.6
cliopatria,Ottoman Empire,10393,1700,1701,3437339.2
cliopatria,Ottoman Empire,10418,1702,1705,3437414.3
cliopatria,Ottoman Empire,10472,1706,1708,3147735.7
cliopatria,Ottoman Empire,10504,1709,1712,3148106.7
cliopatria,Papal States,10528,1709,1733,41694.0
cliopatria,Ottoman Empire,10582,1713,1717,2882183.5
cliopatria,Ottoman Empire,10640,1718,1726,2838233.6
cliopatria,Kingdom of Sardinia,10658,1721,1733,71868.1
cliopatria,Russian Empire,10674,1721,1726,14381213.3
cliopatria,Ottoman Empire,10707,1727,1733,3141769.3
cliopatria,Hyderabad State,10719,1727,1743,261169.5
cliopatria,Russian Empire,10723,1727,1733,14457326.1
cliopatria,Kingdom of Sardinia,10732,1734,1737,78466.2
cliopatria,Papal States,10749,1734,1737,41647.6
cliopatria,Russian Empire,10758,1734,1737,14977755.9
cliopatria,Ottoman Empire,10780,1734,1737,2900185.4
cliopatria,Papal States,10796,1738,1740,41718.8
cliopatria,Kingdom of Sardinia,10807,1738,1747,73882.0
cliopatria,Ottoman Empire,10824,1738,1740,2841174.7
cliopatria,Russian Empire,10829,1738,1743,14962853.4
cliopatria,Ottoman Empire,10859,1741,1743,2876555.9
cliopatria,Morocco,10860,1741,1768,384985.0
