source,source_label,item,year_start,year_end,correct_label,polity_code,observed_rows,issue,evidence
mitchell,south africa,sugar cane,1859,1894,natal,NAT-1843-1895,67,675,"AGRONOMY AND STRUCTURE, NOT MAGNITUDE. Before Union the only cane-growing colony in the region was Natal (its coastal belt, with Zululand from 1897); the Cape grew essentially none. Mitchell carries Natal separately: its `natal` label has nine items 1852-1909 (maize, tobacco, livestock) and NO sugar cane, and its `cape of good hope` label has tobacco only, so the pre-Union cane series exists only under `south africa`, the label every other pre-1910 item routes to the Cape through. The series runs straight into the Union's across 1910 (21,000 ha at 1907 -> 26,000 ha at 1910; 79,000 t at 1909 -> 72,000 t at 1910), and the Union's cane is Natal's. No collision: `natal` has no sugar-cane cell in any year, so nothing is double counted."
mitchell,south africa,sugar cane,1895,1909,natal,NAT-1895-1910,24,675,"AGRONOMY AND STRUCTURE, NOT MAGNITUDE. Before Union the only cane-growing colony in the region was Natal (its coastal belt, with Zululand from 1897); the Cape grew essentially none. Mitchell carries Natal separately: its `natal` label has nine items 1852-1909 (maize, tobacco, livestock) and NO sugar cane, and its `cape of good hope` label has tobacco only, so the pre-Union cane series exists only under `south africa`, the label every other pre-1910 item routes to the Cape through. The series runs straight into the Union's across 1910 (21,000 ha at 1907 -> 26,000 ha at 1910; 79,000 t at 1909 -> 72,000 t at 1910), and the Union's cane is Natal's. No collision: `natal` has no sugar-cane cell in any year, so nothing is double counted."
iia,south africa,sugar raw centrifugal,1909,1909,natal,NAT-1895-1910,1,675,"Same agronomy as the Mitchell cane rows: sugar was grown only in Natal before Union. IIA's 1909 `south africa` raw sugar (74,171 t) continues its own Union series (72,241 t at 1910, 86,871 t at 1911), so whichever territory IIA meant for 1909 -- the colony or a Union back-cast -- the sugar is Natal's. The other 1909 IIA `south africa` rows (cotton lint) are NOT relabelled: no item-specific evidence places them."
mitchell,natal,horses,1945,1957,south africa,ZAF-1910-2025,6,675,"STRUCTURAL, FROM AN INDEPENDENT SOURCE. fao1952 `Union of South Africa` horses read 778 thousand at 1937 -- equal to Mitchell's own `south africa` 1937 horses (778,000), which identifies the column -- and 679 thousand at 1950, equal to this label's 1949 figure (679,000) and within 0.5% of its 1950 one (676,000). Mitchell's `south africa` has no horse value in 1938-1958, exactly the years `natal` fills, and the `natal` values run continuously from the national 778,000 (1937) to 472,000 (1959). Natal's own pre-Union count was 40,000-67,000 over 1900-1908. The 1957 `natal` pig value (16,000) sits BESIDE a real `south africa` pig value, so it is not this shape and is not relabelled; it stays unrouted."
fao1952,New Guinea,use builton wasteland,1951,1951,Netherlands New Guinea,NNG-1949-1963,1,675,"FILING, NOT MAGNITUDE ALONE. fao1952's land table files these two 1951 `New Guinea` rows under ASIA, the continent under which it files every `Netherlands New Guinea` row (cropa 1949-1950, population 1951); every other fao1952 `New Guinea` row (rubber, copra, cacao, tractors, population) is under OCEANIA. The Australian territories' own 1951 land use is carried separately, as `New Guinea and Papua` (use total 47,400 thousand ha). The stated 41,278 thousand ha (412,780 km2) is also 1.006x NNG-1949-1963's polygon (410,361 km2) against 1.74x TNGU-1949-1975's (237,462)."
fao1952,New Guinea,use total,1951,1951,Netherlands New Guinea,NNG-1949-1963,1,675,"FILING, NOT MAGNITUDE ALONE. fao1952's land table files these two 1951 `New Guinea` rows under ASIA, the continent under which it files every `Netherlands New Guinea` row (cropa 1949-1950, population 1951); every other fao1952 `New Guinea` row (rubber, copra, cacao, tractors, population) is under OCEANIA. The Australian territories' own 1951 land use is carried separately, as `New Guinea and Papua` (use total 47,400 thousand ha). The stated 41,278 thousand ha (412,780 km2) is also 1.006x NNG-1949-1963's polygon (410,361 km2) against 1.74x TNGU-1949-1975's (237,462)."
fao1952,USSR,rye,1934,1938,USSR present boundaries,F228-1945-1991,2,681,"PRESENT BOUNDARIES FOR RYE, PRE-WAR FOR FLAX: fao1952's USSR is mixed by item (source_conventions.csv, fao1952/*/*). Its 1934-38 rye averages are 25,870 thousand ha and 25,500 thousand t, against iia `russian federation`'s own 1934-38 USSR (the boundary of the time) 22,790 thousand ha and 20,499 thousand t: 1.14x and 1.24x. Adding what the 1939-45 annexations grew on their pre-war owners' own 1934-38 series (juan: Estonia+Latvia+Lithuania 928, the Finnish cession 28, Bessarabia/N. Bukovina net of S. Dobruja 172, Ruthenia 20, the Polish and German territories 1,923 thousand ha) gives 25,860 thousand ha, which fao1952's figure matches to 1.000 (tonnes 1.07). The same test puts flax fibre on the OLD boundary (0.99x iia, 0.90x with the gains), so no alias can serve the label: rye alone is relabelled to `USSR present boundaries`, which routes back_cast to F228-1945-1991; every other USSR pre-war item stays on F228-1921-1940. Period rows (year null, 1934-1938) are taken because the whole period lies inside the rule. Measured with fao52audit/ussr.py on consolidated_layer_b.parquet, 2026-09-24."
fao1952,USSR,r_fao_population_1952_10_18,1937,1937,USSR present boundaries,F228-1945-1991,4,681,"PRESENT BOUNDARIES. fao1952's 1937 USSR `population total` is 188,656 thousand. The Soviet census of January 1939 counted about 170.6 million on the pre-annexation boundary, and 1937 is two years earlier; the Baltic states, eastern Poland, Bessarabia/N. Bukovina and the Finnish cession added some 20 million. The figure is therefore the post-war territory, as the rye series is (see the `rye` rule), and the four 1937 population indicators (total, agricultural, agricultural occupied, female agricultural) share one column. Relabelled to `USSR present boundaries` -> back_cast F228-1945-1991; the pre-war horse, flax and linseed rows keep the `USSR` label and F228-1921-1940."
iia,france,"eggs, hen, in shell",1931,1932,saint pierre and miquelon,SPM-1816-2025,2,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Nine of the eleven layer-B iia `france` egg-production cells are raw `french saint pierre and miquelon`'s, to the digit: 15.092 t (1931, iia_1933_34), 7.7616 t (1932, iia_1933_34), 5.39 t in each of 1939-1944 and 10.78 t in 1945 (iia_1939_45). Raw `france` prints no production for any of those years, and 15 t of eggs is 0.005% of France's 334,180 t (1937) -- but the islands' own laying-hen count in the same volumes (2,500 heads 1931, 1,200 1932, 1,000 1939-1944, 2,000 1945) gives 5-6 kg of eggs per hen, a real yield, and doubles exactly when the eggs double in 1945. France keeps 1937 (334,180, raw `france`). The 1934-1938 period cell (339,575.39) is the SUM of raw France 339,570 and SPM 5.39 and stays on France: the rule's years cannot take it without also taking France's 1937 row, and the SPM share is 0.0016% (recorded in data_errors.csv, iia-france-eggs-spm-folded-in). No collision: layer B carries no iia `saint pierre and miquelon` label at all."
iia,france,"eggs, hen, in shell",1939,1945,saint pierre and miquelon,SPM-1816-2025,7,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT (harmonized_data.xlsx), checked 2026-09-24. Nine of the eleven layer-B iia `france` egg-production cells are raw `french saint pierre and miquelon`'s, to the digit: 15.092 t (1931, iia_1933_34), 7.7616 t (1932, iia_1933_34), 5.39 t in each of 1939-1944 and 10.78 t in 1945 (iia_1939_45). Raw `france` prints no production for any of those years, and 15 t of eggs is 0.005% of France's 334,180 t (1937) -- but the islands' own laying-hen count in the same volumes (2,500 heads 1931, 1,200 1932, 1,000 1939-1944, 2,000 1945) gives 5-6 kg of eggs per hen, a real yield, and doubles exactly when the eggs double in 1945. France keeps 1937 (334,180, raw `france`). The 1934-1938 period cell (339,575.39) is the SUM of raw France 339,570 and SPM 5.39 and stays on France: the rule's years cannot take it without also taking France's 1937 row, and the SPM share is 0.0016% (recorded in data_errors.csv, iia-france-eggs-spm-folded-in). No collision: layer B carries no iia `saint pierre and miquelon` label at all."
