normalised_form,english_label,note
afrique allemande du sud ouest,South West Africa,
afrique du sud ouest allemande,South West Africa,
afrique equatoriale francaise,French Equatorial Africa,
afrique occidentale francaise,French West Africa,
afrique orientale allemande,German East Africa,
alaska,Territory of Alaska,"was 'Alaska', which is not a polity_name"
albanie,Albania,
algerie,Algeria,
allemagne,German Empire,"was 'Germany', whose family starts at 1919; these statements are 1911-1913"
andaman et nicobar,Andaman and Nicobar Islands,
andorre,Andorra,
argentine,Argentina,
australie,Australia,
autriche,Austria,
basoutoland,Lesotho (1886-1966),"was 'Basutoland', which names only the 1868-1886 row"
basqutoland,Basutoland,OCR: q inserted
basutoland,Basutoland,
bechouanaland,Bechuanaland,
bechuanaland,Bechuanaland,
belgique,Belgium,
birmanie,Burma,
bolivie,Bolivia,
bosnie et herzegovine,Bosnia and Herzegovina,
boutan,Bhutan,
bresil,Brazil,
bulgarie,Bulgaria,
cameroun,Cameroon,
cap vert,Cape Verde,
ceylan,Sri Lanka,"was 'Ceylon', which is not a polity_name"
chili,Chile,
chine,China,
chypre,Cyprus,
colombie,Colombia,
congo belge,Belgian Congo,
coree,Korea,
coree jap,Korea,
cote de l or,Ghana (1898-1957),"was 'Gold Coast', which is not a polity_name"
cote de lor,Gold Coast,OCR: lost space
cote des somalis,French Somaliland,
danemark,Denmark,
egypte,Egypt,
equateur,Ecuador,
erythree,Eritrea,
espagne,Spain,
esthonie,Estonia,
estonie,Estonia,
etabl francais de l oceanie,French Oceania,
etablissements du detroit,Straits Settlements,
etablissements francais de l oceanie,French Oceania,
etat libre d irlande,Ireland,
etat libre dirlande,Ireland,OCR: lost space
etat serbe croate slovene,Yugoslavia,"the Kingdom of Serbs, Croats and Slovenes"
etats malais federes,Federated Malay States,
etats malais non federes,Unfederated Malay States,
etats malais proteges,Unfederated Malay States,
etats unis,United States,
ethiopie,Ethiopia,
finlande,Grand Duchy of Finland,was 'Finland'; 1911-1913 Finland was a Russian grand duchy
formose,Formosa,"was 'Taiwan', which resolves to the 1945+ row; these statements are 1911-1929"
formose et pescadores,Taiwan,
formose et pescadores japonaise,Taiwan,
fthiopie,Ethiopia,OCR: f for E-acute
gambie,Gambia,
gold coast and togoland,Gold Coast and Br Togoland,
grande bretagne,United Kingdom,
grece,Greece,
groenland,Greenland,
guam,Territory of Guam,
guinee espagnole,Equatorial Guinea (1886-1968),"was 'Spanish Guinea', not a polity_name"
