polity_code,polity_name,source,stated_area_km2,statements,editions,source_labels,polygon_area_km2,ratio_polygon_over_stated,basis_flag,note
ADE-1839-1963,Aden Protectorate (1839-1963),fao,290080,1,1952,Aden Protectorate,287116,0.990,agrees,
AEF-1910-1960,French Equatorial Africa (AEF),fao,2538450,1,1952,French Equat Africa,2495130,0.983,agrees,
AEF-1910-1960,French Equatorial Africa (AEF),iia,2255870,9,1909;1925;1929;1932;1933;1938,AFRIQUE EQUATORIALE FRANÇAISE;AFRIQUE ÉQUATORIALE FRANÇAISE;afrique équatoriale française,2495130,1.106,agrees,
AFG-1893-1919,Afghanistan (1893-1919),iia,635000,3,1909;1925;1929,AFGHANISTAN;afghanistan,641971,1.011,agrees,
AFG-1919-2025,Afghanistan,fao,600000,1,1952,Afghanistan,641971,1.070,agrees,
AFG-1919-2025,Afghanistan,iia,650000,6,1909;1925;1929;1932;1933;1938,AFGHANISTAN;afghanistan,641971,0.988,agrees,
ALB-1913-2025,Albania (1913-2025),fao,28750,1,1952,Albania,28624,0.996,agrees,
ALB-1913-2025,Albania (1913-2025),iia,36750,8,1909;1925;1929;1932;1933;1938,ALBANIE;albanie,28624,0.779,agrees,
AND-1800-2025,Andorra,fao,460,1,1952,Andorra,498,1.083,agrees,
ANG-1905-1975,Angola (1905-1975),fao,1246700,1,1952,Angola,1247103,1.000,agrees,
ANG-1905-1975,Angola (1905-1975),iia,1256000,7,1909;1929;1932;1933;1938,ANGOLA;angola,1247103,0.993,agrees,
AOF-1895-1960,French West Africa (AOF),fao,4711490,1,1952,French West Africa,4623068,0.981,agrees,
AOF-1895-1960,French West Africa (AOF),iia,3749000,9,1909;1925;1929;1932;1933;1938,AFRIQUE OCCIDENTALE FRANÇAISE;afrique occidentale française,4623068,1.233,agrees,
ARG-1902-2025,Argentina,fao,2808500,1,1952,Argentina,2781055,0.990,agrees,
ARG-1902-2025,Argentina,iia,2792713,9,1909;1925;1929;1932;1933;1938,ARGENTINE;argentine,2781055,0.996,agrees,
ASM-1900-2025,Territory of American Samoa,fao,200,1,1952,American Samoa,204,1.018,agrees,
AUS-1901-2025,Australia,fao,7704020,1,1952,Australia,7687109,0.998,agrees,
