source,edition,data_year,label,continent,stated_area_km2,footnote
fao,1952,1937,Angola,AFRICA,1246700.0,
fao,1952,1937,Portuguese Guinea,AFRICA,36120.0,
fao,1952,1938,Bolivia,SOUTH AMERICA,1069100.0,
fao,1952,1939,Germany Berlin,EUROPE,880.0,
fao,1952,1939,Poland,EUROPE,311730.0,
fao,1952,1939,United Kingdom Channel Islands,EUROPE,190.0,
fao,1952,1940,Bonin Volcano Islands,ASIA,100.0,
fao,1952,1942,Chile,SOUTH AMERICA,741770.0,
fao,1952,1943,Albania,EUROPE,28750.0,
fao,1952,1946,Cuba,NORTH and CENTRAL AMERICA,114520.0,
fao,1952,1946,Dominican Republic,NORTH and CENTRAL AMERICA,49540.0,
fao,1952,1946,St Helena,AFRICA,330.0,
fao,1952,1946,St Pierre and Miquelon,NORTH and CENTRAL AMERICA,240.0,
fao,1952,1947,Aden Colony Inc Perim and Kuria,ASIA,210.0,
fao,1952,1947,Aden Protectorate,ASIA,290080.0,
fao,1952,1947,Andorra,EUROPE,460.0,
fao,1952,1947,Bahrein Islands,ASIA,600.0,
fao,1952,1947,Bhutan,ASIA,46600.0,
fao,1952,1947,Brazil,SOUTH AMERICA,8516040.0,
fao,1952,1947,British West Indies Bahamas,NORTH and CENTRAL AMERICA,1400.0,
fao,1952,1947,British West Indies Cayman Islands,NORTH and CENTRAL AMERICA,240.0,
fao,1952,1947,Bulgaria,EUROPE,110840.0,
fao,1952,1947,Cape Verde Islands,AFRICA,4030.0,
fao,1952,1947,China,ASIA,9736290.0,
fao,1952,1947,China 22 provinces,ASIA,5071820.0,
fao,1952,1947,China Jehol,ASIA,179980.0,
fao,1952,1947,China Manchuria,ASIA,1069300.0,
fao,1952,1947,China Sikang,ASIA,451520.0,
fao,1952,1947,China Sinkiang,ASIA,1711930.0,
fao,1952,1947,Ecuador  Galapagos Islands,SOUTH AMERICA,7680.0,
fao,1952,1947,French Cameroons,AFRICA,440900.0,
fao,1952,1947,French India,ASIA,510.0,
fao,1952,1947,Haiti,NORTH and CENTRAL AMERICA,27750.0,
fao,1952,1947,Hungary,EUROPE,93010.0,
fao,1952,1947,Indonesia,ASIA,1904350.0,
fao,1952,1947,Jordan,ASIA,91110.0,
fao,1952,1947,Macau,ASIA,20.0,
fao,1952,1947,Madagascar,AFRICA,590000.0,
fao,1952,1947,Madagascar Comoro Islands,AFRICA,2170.0,
fao,1952,1947,Maldive Islands,ASIA,300.0,
fao,1952,1947,Monaco,EUROPE,2.0,
fao,1952,1947,Mongolian People's Republic,ASIA,1621200.0,
fao,1952,1947,Nepal,ASIA,140000.0,
fao,1952,1947,New Zealand Campbell Islands,OCEANIA,110.0,
fao,1952,1947,New Zealand Kermadec Islands,OCEANIA,30.0,
fao,1952,1947,New Zealand Niue Cook & Tokelau,OCEANIA,530.0,
fao,1952,1947,Paraguay,SOUTH AMERICA,406760.0,
fao,1952,1947,Pitcairn,OCEANIA,5.0,
fao,1952,1947,Portuguese Timor,ASIA,18990.0,
fao,1952,1947,Qatar,ASIA,22000.0,
fao,1952,1947,Romania,EUROPE,237380.0,
fao,1952,1947,San Marino,EUROPE,100.0,
fao,1952,1947,Saudi Arabia,ASIA,1546000.0,
fao,1952,1947,Spain,EUROPE,503060.0,
fao,1952,1947,Spanish Sahara,AFRICA,274920.0,
fao,1952,1947,São Tomé and Principe,AFRICA,960.0,
fao,1952,1947,Tangier,AFRICA,350.0,
fao,1952,1947,Tibet,ASIA,1215780.0,
fao,1952,1947,Trucial Oman,ASIA,5000.0,
fao,1952,1947,USSR,EUROPE,22270000.0,
fao,1952,1947,Vatican,EUROPE,50.0,
fao,1952,1947,Western Samoa,OCEANIA,2930.0,
fao,1952,1947,Yemen,ASIA,195000.0,
fao,1952,1948,Afghanistan,ASIA,600000.0,
fao,1952,1948,Argentina,SOUTH AMERICA,2808500.0,
fao,1952,1948,Bermuda,NORTH and CENTRAL AMERICA,60.0,
fao,1952,1948,British West Indies Jamaica,NORTH and CENTRAL AMERICA,1420.0,
fao,1952,1948,British West Indies Turks and Caicos,NORTH and CENTRAL AMERICA,520.0,
fao,1952,1948,Czechoslovakia,EUROPE,126480.0,
fao,1952,1948,Falkland Islands,SOUTH AMERICA,15720.0,
fao,1952,1948,Fiji,OCEANIA,18230.0,
fao,1952,1948,Gibraltar,EUROPE,60.0,
fao,1952,1948,Kenya and Prot,AFRICA,582650.0,
fao,1952,1948,Liberia,AFRICA,111370.0,
fao,1952,1948,Libya Cyrenaica,AFRICA,855400.0,
fao,1952,1948,Libya Fezzan,AFRICA,551100.0,
fao,1952,1948,Malta,EUROPE,320.0,
fao,1952,1948,Mozambique,AFRICA,771130.0,
fao,1952,1948,Muscat and Oman,ASIA,212400.0,
fao,1952,1948,Norway Jan Mayen,EUROPE,370.0,
fao,1952,1948,Pakistan,ASIA,976360.0,
fao,1952,1948,Portugal,EUROPE,89060.0,
fao,1952,1948,Spanish Guinea,AFRICA,28050.0,
fao,1952,1948,Swaziland,AFRICA,17320.0,
fao,1952,1948,Tanganyika,AFRICA,939360.0,
fao,1952,1949,Br Solomon Islands,OCEANIA,29790.0,
fao,1952,1949,British Somaliland,AFRICA,176000.0,
fao,1952,1949,Denmark The Faeroes,EUROPE,1400.0,
fao,1952,1949,Ecuador,SOUTH AMERICA,275000.0,
fao,1952,1949,Germany Eastern,EUROPE,107180.0,
fao,1952,1949,Gilbert and Ellice Is,OCEANIA,970.0,
fao,1952,1949,Greenland,NORTH and CENTRAL AMERICA,2176000.0,
fao,1952,1949,Korea,ASIA,201890.0,
fao,1952,1949,Kuwait,ASIA,20720.0,
fao,1952,1949,Nauru,OCEANIA,20.0,
fao,1952,1949,New Caledonia,OCEANIA,18600.0,
fao,1952,1949,New Hebrides,OCEANIA,14760.0,
fao,1952,1949,Nicaragua,NORTH and CENTRAL AMERICA,148000.0,
fao,1952,1949,Norfolk Islands,OCEANIA,350.0,
fao,1952,1949,Norway Svalbard,EUROPE,62110.0,
fao,1952,1949,Sp Morocco and possessions in North Africa,AFRICA,45870.0,
fao,1952,1949,Thailand,ASIA,513520.0,
fao,1952,1949,Turkey,ASIA,776980.0,
fao,1952,1949,United States,NORTH and CENTRAL AMERICA,7827830.0,
fao,1952,1950,Australia,OCEANIA,7704020.0,
fao,1952,1950,British Borneo North Borneo,ASIA,76110.0,
fao,1952,1950,British Borneo Sarawak,ASIA,121910.0,
fao,1952,1950,Burma,ASIA,678020.0,
fao,1952,1950,Colombia,SOUTH AMERICA,1139160.0,
fao,1952,1950,Costa Rica,NORTH and CENTRAL AMERICA,50800.0,
fao,1952,1950,EI Salvador,NORTH and CENTRAL AMERICA,34130.0,
fao,1952,1950,Finland,EUROPE,337010.0,
fao,1952,1950,French Equat Africa,AFRICA,2538450.0,
fao,1952,1950,French Guiana,SOUTH AMERICA,90000.0,
fao,1952,1950,French Morocco,AFRICA,390800.0,
fao,1952,1950,French Oceania,OCEANIA,3800.0,
fao,1952,1950,French Somaliland,AFRICA,23000.0,
fao,1952,1950,French West Africa,AFRICA,4711490.0,
fao,1952,1950,Guadeloupe,NORTH and CENTRAL AMERICA,1780.0,
fao,1952,1950,Guatemala,NORTH and CENTRAL AMERICA,108890.0,
