original_name,source,common_name
Abu Dhabi,federico_tena,Abu Dhabi
Abu Dhabi,gadm,Abu Dhabi
Abu Dhabi,whep,Abu Dhabi
Aden,federico_tena,Aden
Aden,gadm,Aden
Aden,whep,Aden
Aden (1937-1962),cshapes,Aden (1937-1962)
Afghanistan,cshapes,Afghanistan
Afghanistan,faostat,Afghanistan
Afghanistan,federico_tena,Afghanistan (to 1888)
Afghanistan,m49,Afghanistan
Afghanistan,whep,Afghanistan
Afghanistan (to 1888),gadm,Afghanistan (to 1888)
Afghanistan (to 1888),whep,Afghanistan (to 1888)
Afghanistan (to 1893),cshapes,Afghanistan (to 1893)
Africa,faostat,Africa
Ajman,federico_tena,Ajman
Ajman,gadm,Ajman
Ajman,whep,Ajman
Alaska (to 1959),cshapes,Alaska (to 1959)
Albania,cshapes,Albania
Albania,faostat,Albania
Albania,federico_tena,Albania
Albania,m49,Albania
Algeria,cshapes,Algeria
Algeria,faostat,Algeria
Algeria,federico_tena,Algeria
Algeria,m49,Algeria
Algeria (1902-1919),cshapes,Algeria (1902-1919)
Algeria (to 1902),cshapes,Algeria (to 1902)
American Samoa,faostat,American Samoa
American Samoa,federico_tena,American Samoa
American Samoa,gadm,American Samoa
American Samoa,m49,American Samoa
Americas,faostat,Americas
Andorra,cshapes_europe,Andorra
Andorra,faostat,Andorra
Andorra,federico_tena,Andorra
Andorra,m49,Andorra
Angola,cshapes,Angola
Angola,faostat,Angola
Angola,federico_tena,Angola
Angola,m49,Angola
Angola (1890-1891),cshapes,Angola (1890-1891)
Angola (1891-1905),cshapes,Angola (1891-1905)
Angola (to 1890),cshapes,Angola (to 1890)
Anguilla,faostat,Anguilla
Anguilla,gadm,Anguilla
Anguilla,m49,Anguilla
Anhalt,cshapes_europe,Anhalt
Anhalt,whep,Anhalt
Anhalt-Bernburg,cshapes_europe,Anhalt-Bernburg
Anhalt-Bernburg,whep,Anhalt-Bernburg
Anhalt-Dessau,cshapes_europe,Anhalt-Dessau
Anhalt-Dessau,whep,Anhalt-Dessau
Annex I countries,faostat,Annex I countries
Antarctic Region,faostat,Antarctic Region
Antarctica,faostat,Antarctica
Antarctica,gadm,Antarctica
Antarctica,m49,Antarctica
Antigua and Barbuda,faostat,Antigua and Barbuda
Antigua and Barbuda,gadm,Antigua and Barbuda
Antigua and Barbuda,m49,Antigua and Barbuda
Argentina,cshapes,Argentina
