polity_name,start_year,end_year,area
Aden,1937,1962,46587.6652746275
Afghanistan,NA,1893,809279.314857614
Afghanistan,1893,NA,642119.498616103
Alaska,NA,1959,1496817.84257295
Albania,1913,NA,28618.632455793
Algeria,NA,1902,655767.689698466
Algeria,1902,1919,2445451.06756029
Algeria,1919,NA,2320939.14815272
Angola,NA,1890,411093.092395536
Angola,1890,1891,1041151.79053453
Angola,1891,1905,1349429.66897227
Angola,1905,NA,1252154.42577192
Argentina,NA,1899,2778367.18993487
Argentina,1899,1902,2825758.46588691
Argentina,1902,NA,2781189.02509019
Armenia,1991,NA,29630.2849882815
Australia,1901,NA,7701437.38777602
Austria,1918,1919,211324.340907065
Austria,1919,NA,83711.480536295
Austria-Hungary,NA,1908,622422.068943414
Austria-Hungary,1908,1918,673852.235567093
Azerbaijan,1991,NA,85854.144808397
Bahamas,NA,NA,12075.545749211
Bahrain,1971,NA,629.964706827596
Bangladesh,1971,NA,138163.73719408
Barbados,NA,NA,443.725480050514
Belarus (Byelorussia),1991,NA,206843.421964279
Belgium,NA,NA,30532.9448796002
Belize,NA,NA,22165.4297691128
Benin,1895,1898,36377.3978842551
Benin,1898,NA,116665.787265363
Bhutan,NA,NA,39905.5839452086
Bokhara,NA,1920,193956.048783025
Bolivia,NA,1903,1325090.57018536
Bolivia,1903,1909,1199171.90488456
Bolivia,1909,1938,1195848.45572904
Bolivia,1938,NA,1090253.52561393
Bosnia,NA,1908,41359.6729399902
Bosnia-Herzegovina,1992,NA,51430.183425684
Botswana,NA,1890,309043.540475663
Botswana,1890,1895,577982.949294426
Botswana,1895,NA,579806.799509129
Brazil,NA,1903,8343539.51509648
Brazil,1903,1909,8469458.18039728
Brazil,1909,NA,8504404.45996164
British Bechuanaland,NA,1895,117325.956088716
British Cameroons,1919,1961,87860.0664479588
British Somaliland (Somaliland Republic),NA,1960,172200.261860688
British Togoland,1922,1955,26741.8869881067
Brunei,1888,NA,5754.00977759651
Bulgaria,NA,1913,92999.7887774986
Bulgaria,1913,1918,111364.674843759
Bulgaria,1918,1919,119036.879693438
Bulgaria,1919,1940,103159.237675162
Bulgaria,1940,NA,110831.442524841
Burkina Faso (Upper Volta),1919,NA,273395.094440436
Burundi,1962,NA,27308.4933361716
Cambodia (Kampuchea),NA,1904,130761.523572057
Cambodia (Kampuchea),1904,1907,149547.553891241
Cambodia (Kampuchea),1907,NA,182448.124309294
Cameroon,1919,1961,424902.682802897
Cameroon,1961,NA,466762.625789189
Canada,NA,1948,9503973.40063897
Canada,1948,NA,9900802.08739336
Cape Colony,NA,1895,601324.442117064
Cape Colony,1895,1910,716826.547991064
Cape Verde,NA,NA,4011.3476345342
Central African Republic,1906,1912,621294.298789313
Central African Republic,1912,1919,497739.83432254
Central African Republic,1919,NA,621294.298789313
Chad,1900,1912,1276367.15320869
Chad,1912,1919,1225239.63891172
Chad,1919,NA,1276367.15320869
Chile,NA,1899,746240.34256543
Chile,1899,1902,698849.066613477
Chile,1902,NA,743418.507410177
China,NA,1895,11140470.0008163
China,1895,1912,11104397.3569032
China,1913,1914,9217169.73807547
China,1914,1921,9052733.97724508
China,1921,1945,7493923.78263826
China,1945,1947,7529996.42655135
China,1947,1949,7591077.1729876
China,1949,1950,7555004.52907451
China,1950,NA,9367457.93735388
Colombia,NA,1903,1172518.51942876
Colombia,1903,1922,1098099.19193874
Colombia,1922,NA,1140104.09785402
Comoros,1946,NA,1707.78114133236
Congo,NA,1898,345558.374026815
Congo,1898,1900,2243219.82602489
Congo,1900,1906,966852.672816103
