polity_name,start_year,end_year,population,notes
Algeria,1831,NA,5579,1800-1830 Ottoman Empire
Angola,1816,NA,2676,NA
Basutoland,1884,NA,362,present-day Lesotho
Bechuanaland Protectorate,1885,NA,204,present-day Botswana
Belgian Congo,1885,NA,8396,NA
British Bechuanaland,1885,1895,NA,1896-1938 annexed to  South Africa
British Cameroon,1914,NA,561,"population in 1921; Before 1914 part of German Kameroon, then divided between Nigeria and Cameroon; estimate jointly with Nigeria"
British East Africa,1895,NA,7008,Present day Kenya and Uganda
British Protectorate (British Somaliland),1884,NA,360,NA
Canary Islands,NA,NA,448,NA
Cameroon (Kamerun),1884,NA,3002,"German colony until 1914, French mandate thereafter"
CapoVerde,NA,NA,144,NA
Ceuta Y Melilla,NA,NA,71,NA
Egypt,NA,NA,12113,NA
Eritrea,1882,NA,788,NA
Ethiopia,NA,NA,18434,Since 1936 Italian colony
French Equatorial Africa,1910,NA,3423,"Includes present-day Central African republic (colony 1906-1910), Chad (1891-1910), Gabon (protectorate 1839-1885, colony 1885-1910), French Congo (1882-1910)"
French Somaliland,1887,NA,75,NA
French West Africa,1895,NA,12062,"Includes present-day Mauritania, Dahomey (or Benin), French Guinea, Ivory Coast (protectorate since mid 19th century, colony 1889), Mali, Niger  Senegal (colony since mid 19th century), French Sudan, Upper Volta (now Burkina Faso), Niger and Togo (independent polity as German West Africa  until 1914)"
Gambia,NA,NA,177,NA
German East Africa (Tanganyika),1884,NA,4799,After 1919   British mandate; present-day  Tanzania
German South West Africa,1884,NA,239,After 1919 South African mandate; present day Namibia
German West Africa,1884,1914,788,After 1919 part of  French West Africa; present-day Togo
Gold Coast,1843,NA,3125,1821-1843 and  1866-1874 part of Sierra Leone; present-day Ghana
Guinea Bisau (Portuguese Guinea),1879,NA,304,Present-day Guinea Bissau
Italian Libia Cyrenaica (Lybia),1911,NA,571,1800-1910 Ottoman Empire
Italian Somaliland,1908,NA,800,NA
Liberia,1847,NA,496,NA
Madagascar,1882,NA,2694,NA
Mauritius,NA,NA,380,NA
Mayotte and Noissi-be,1843,1914,NA,1914-1938 annexed to Madagascar; estimated jointly with Magadascar
Morocco (French),1911,NA,5596,NA
Mozambique,1816,NA,4080,NA
Nigeria,1861,NA,19614,"Includes Lagos (separate colony 1861-1906), Southern Nigeria (protectorate 1899-1914) and Northern Nigeria (protectorate 1900-1914)"
Nyasaland Protectorate (Malawi),1891,NA,1859,present day Malawi
Orange Free State,1848,1900,NA,After 1900 South Africa; jointly estimated South Africa
Reunion,1816,NA,175,NA
Rhodesia,1890,NA,2913,"Includes Southern Rhodesia (colony 1901 - present-day Zimbabwe), North-Western  Rhodesia (protectorate 1890- present-day Zambia) and North Eastern Rhodesia (protectorate  ca 1900 - present-day Zambia)"
Rwanda and Burundi,1919,NA,2979,Until 1918 part of German East Africa; thereafter of British East Africa
Sao Tome and Principe,NA,NA,60,NA
Seychelles,1903,NA,24,1816-1903 belonged to  Mauritius
Sierra Leone,NA,NA,1169,NA
South Africa,1828,NA,6128,"includes Cape Good Hope (since 1828), Natal (since 1897)"
Spanish Guinea,1858,NA,119,present-day Equatorial Guinea
St. Helena,NA,NA,4,NA
Sudan (Anglo-Egyptian),1882,NA,7760,Until 1881 formally  belonged to Egypt
Swaziland,1894,NA,135,NA
Transvaal,1856,1902,NA,After 1900 South Africa; jointly estimated South Africa
Tunisia,1881,NA,2187,NA
Zanzibar,NA,NA,199,British protectorate 1890; present-day Tanzania
Argentina,NA,NA,7615,until 1811 Spanish colony (Viceroyalty Plata)
Bahamas,NA,NA,55,NA
Barbados,NA,NA,168,NA
Bermuda,NA,NA,19,NA
