m49_name,m49_code,start_year,end_year,notes,is_old
Afghanistan,004,NA,NA,Current ISO 3166-1 country,FALSE
Albania,008,NA,NA,Current ISO 3166-1 country,FALSE
Antarctica,010,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Algeria,012,NA,NA,Current ISO 3166-1 country,FALSE
American Samoa,016,NA,NA,Current ISO 3166-1 country,FALSE
Andorra,020,NA,NA,Current ISO 3166-1 country,FALSE
Angola,024,NA,NA,Current ISO 3166-1 country,FALSE
Antigua and Barbuda,028,NA,NA,Current ISO 3166-1 country,FALSE
Azerbaijan,031,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Argentina,032,NA,NA,Current ISO 3166-1 country,FALSE
Australia,036,NA,NA,Current ISO 3166-1 country,FALSE
Austria,040,NA,NA,Current ISO 3166-1 country,FALSE
Bahamas,044,NA,NA,Current ISO 3166-1 country,FALSE
Bahrain,048,NA,NA,Current ISO 3166-1 country,FALSE
Bangladesh,050,NA,NA,Current ISO 3166-1 country,FALSE
Armenia,051,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Barbados,052,NA,NA,Current ISO 3166-1 country,FALSE
Belgium,056,NA,NA,Current ISO 3166-1 country,FALSE
Bermuda,060,NA,NA,Current ISO 3166-1 country,FALSE
Bhutan,064,NA,NA,Current ISO 3166-1 country,FALSE
Bolivia (Plurinational State of),068,NA,NA,Current ISO 3166-1 country,FALSE
Bosnia and Herzegovina,070,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890),FALSE
Botswana,072,NA,NA,Current ISO 3166-1 country,FALSE
Bouvet Island,074,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Brazil,076,NA,NA,Current ISO 3166-1 country,FALSE
Belize,084,NA,NA,Current ISO 3166-1 country,FALSE
British Indian Ocean Territory,086,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Solomon Islands,090,NA,NA,Current ISO 3166-1 country,FALSE
Virgin Islands (British),092,NA,NA,Current ISO 3166-1 country,FALSE
Brunei Darussalam,096,NA,NA,Current ISO 3166-1 country,FALSE
Bulgaria,100,NA,NA,Current ISO 3166-1 country,FALSE
Myanmar,104,NA,NA,Current ISO 3166-1 country,FALSE
Burundi,108,NA,NA,Current ISO 3166-1 country,FALSE
Belarus,112,NA,NA,Current ISO 3166-1 country,FALSE
Cambodia,116,NA,NA,Current ISO 3166-1 country,FALSE
Cameroon,120,NA,NA,Current ISO 3166-1 country,FALSE
Canada,124,NA,NA,Current ISO 3166-1 country,FALSE
Cabo Verde,132,NA,NA,Current ISO 3166-1 country,FALSE
Cayman Islands,136,NA,NA,Current ISO 3166-1 country,FALSE
Central African Republic,140,NA,NA,Current ISO 3166-1 country,FALSE
Sri Lanka,144,NA,NA,Current ISO 3166-1 country,FALSE
Chad,148,NA,NA,Current ISO 3166-1 country,FALSE
Chile,152,NA,NA,Current ISO 3166-1 country,FALSE
China,156,NA,NA,Current ISO 3166-1 country,FALSE
"Taiwan, Province of China",158,NA,NA,Current ISO 3166-1 country,FALSE
Christmas Island,162,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
