polity_name,polity_code,prefix,start_year,end_year,duration_years,verification_status,notes
Abu Dhabi,ABU-1800-1971,ABU,1800,1971,171,VERIFIED,
Afghanistan (to 1888),AFG-1800-1888,AFG,1800,1888,88,VERIFIED,
Africa,X06-1800-2025,X06,1800,2025,225,REGION,
Ajman,AJM-1800-1971,AJM,1800,1971,171,VERIFIED,
Americas,X21-1800-2025,X21,1800,2025,225,REGION,
Andorra,AND-1800-2025,AND,1800,2025,225,VERIFIED,
Anguilla,AIA-1800-2025,AIA,1800,2025,225,VERIFIED,
Annex I countries,F5848-1800-2025,F5848,1800,2025,225,REGION,
Antarctic Region,F5600-1800-2025,F5600,1800,2025,225,REGION,
Antarctica,ATA-1800-2025,ATA,1800,2025,225,VERIFIED,
Antigua and Barbuda,ATG-1800-2025,ATG,1800,2025,225,VERIFIED,
Argentina (to 1899),ARG-1800-1899,ARG,1800,1899,99,VERIFIED,
Asia,F5300-1800-2025,F5300,1800,2025,225,REGION,
Australia and New Zealand,F5501-1800-2025,F5501,1800,2025,225,REGION,
Austria-Hungary (to 1908),AUH-1800-1908,AUH,1800,1908,108,VERIFIED,
Badakhshan,BAD-1800-1873,BAD,1800,1873,73,VERIFIED,
Bahamas,BHS-1800-2025,BHS,1800,2025,225,VERIFIED,
Bahrain,BHR-1800-2025,BHR,1800,2025,225,VERIFIED,
Barbados,BRB-1800-2025,BRB,1800,2025,225,VERIFIED,
Belgium-Luxembourg,F15-1800-1999,F15,1800,1999,199,REGION,
Belize,BLZ-1800-2025,BLZ,1800,2025,225,VERIFIED,
Bermuda,BMU-1800-2025,BMU,1800,2025,225,VERIFIED,
Bhutan,BTN-1800-2025,BTN,1800,2025,225,VERIFIED,
Bouvet Island,BVT-1800-2025,BVT,1800,2025,225,VERIFIED,
Brazil (to 1903),BRA-1800-1903,BRA,1800,1903,103,VERIFIED,
British Indian Ocean Territory,IOT-1800-2025,IOT,1800,2025,225,VERIFIED,
British Virgin Islands,VGB-1800-2025,VGB,1800,2025,225,VERIFIED,
Bukhara,BUK-1800-1920,BUK,1800,1920,120,VERIFIED,
Cabo Verde,CPV-1800-2025,CPV,1800,2025,225,VERIFIED,
Canary Islands,CAN-1800-2025,CAN,1800,2025,225,VERIFIED,
Canton and Enderbury Islands,CAN-1800-1982,CAN,1800,1982,182,VERIFIED,
Caribbean,F5206-1800-2025,F5206,1800,2025,225,REGION,
Caucasus and Central Asia,F5857-1800-2025,F5857,1800,2025,225,REGION,
Cayman Islands,CYM-1800-2025,CYM,1800,2025,225,VERIFIED,
Central America,F5204-1800-2025,F5204,1800,2025,225,REGION,
Ceuta Y Melilla,CEU-1800-2025,CEU,1800,2025,225,VERIFIED,
Channel Islands,CHA-1800-2023,CHA,1800,2023,223,VERIFIED,
China (to 1895),CHN-1800-1895,CHN,1800,1895,95,VERIFIED,
"China, mainland",CHN-1800-2025,CHN,1800,2025,225,VERIFIED,
Christmas Island,CXR-1800-2025,CXR,1800,2025,225,VERIFIED,
Cocos (Keeling) Islands,CCK-1800-2025,CCK,1800,2025,225,VERIFIED,
Colombia (to 1903),COL-1800-1903,COL,1800,1903,103,VERIFIED,
Costa Rica,CRI-1800-2025,CRI,1800,2025,225,VERIFIED,
Cuba,CUB-1800-2025,CUB,1800,2025,225,VERIFIED,
Danish India,DAN-1800-1845,DAN,1800,1845,45,VERIFIED,
Danish Virgin Islands,DAN-1800-2025,DAN,1800,2025,225,VERIFIED,
Denmark (to 1920),DNK-1800-1920,DNK,1800,1920,120,VERIFIED,KNOWN LIMITATION: missing 1864 Schleswig-Holstein loss (-33%)
Dominica,DMA-1800-2025,DMA,1800,2025,225,VERIFIED,
Dominican Republic,DOM-1800-2025,DOM,1800,2025,225,VERIFIED,
Dronning Maud Land,DRO-1800-1982,DRO,1800,1982,182,VERIFIED,
Duchy Modena,DMO-1800-1860,DMO,1800,1860,60,VERIFIED,
Duchy Parma,DPA-1800-1860,DPA,1800,1860,60,VERIFIED,
Dutch East Indies (Indonesia),DEI-1800-2025,DEI,1800,2025,225,VERIFIED,
Dutch Guayana,DGU-1800-2025,DGU,1800,2025,225,VERIFIED,
Dutch West Indies (Netherland Antilles),DUT-1800-2025,DUT,1800,2025,225,VERIFIED,
East Berlin,GEB-1800-1982,GEB,1800,1982,182,VERIFIED,
Eastern Africa,F5101-1800-2025,F5101,1800,2025,225,REGION,
Eastern Asia,F5302-1800-2025,F5302,1800,2025,225,REGION,
