polity_name,polity_code
Abu Dhabi,ABU-1800-1971
Aden,ADE-1839-1967
Aden (1937-1962),ADE-1937-1962
Afghanistan,AFG-1919-2025
Afghanistan (to 1888),AFG-1800-1888
Afghanistan (to 1893),AFG-1800-1893
Africa,X06-1800-2025
Ajman,AJM-1800-1971
Alaska (to 1959),ALA-1800-1959
Albania,ALB-1913-2025
Algeria,DZA-1831-2025
Algeria (1902-1919),ALG-1902-1919
Algeria (to 1902),ALG-1800-1902
American Samoa,ASM-1900-2025
Americas,X21-1800-2025
Andorra,AND-1800-2025
Angola,AGO-1816-2025
Angola (1890-1891),ANG-1890-1891
Angola (1891-1905),ANG-1891-1905
Angola (to 1890),ANG-1800-1890
Anguilla,AIA-1800-2025
Anhalt,ANH-1864-1870
Anhalt-Bernburg,ANB-1816-1864
Anhalt-Dessau,AND-1816-1863
Annex I countries,F5848-1800-2025
Antarctic Region,F5600-1800-2025
Antarctica,ATA-1800-2025
Antigua and Barbuda,ATG-1800-2025
Argentina,ARG-1902-2025
Argentina (1899-1902),ARG-1899-1902
Argentina (to 1899),ARG-1800-1899
Armenia,ARM-1991-2025
Aruba,ABW-1986-2025
Asia,F5300-1800-2025
Australia,AUS-1901-2025
Australia and New Zealand,F5501-1800-2025
Austria,AUT-1918-2025
Austria (1918-1919),AUT-1918-1919
Austria-Hungary (1908-1918),AUH-1908-1918
Austria-Hungary (to 1908),AUH-1800-1908
Azerbaijan,AZE-1991-2025
Badakhshan,BAD-1800-1873
Baden,BAD-1800-1871
Bahamas,BHS-1800-2025
Bahrain,BHR-1800-2025
Bangladesh,BGD-1971-2025
Barbados,BRB-1800-2025
Basutoland,BAS-1884-2025
Bavaria,BAV-1800-1871
Bechuanaland Protectorate,BEC-1885-2025
Belarus,BLR-1991-2025
Belgian Congo,BEL-1885-2025
Belgium,BEL-1831-2025
Belgium-Luxembourg,F15-1800-1999
Belize,BLZ-1800-2025
Benin,BEN-1960-2025
Benin (1895-1898),BEN-1895-1898
Bermuda,BMU-1800-2025
Bhutan,BTN-1800-2025
Bolivia,BOL-1938-2025
Bolivia (1903-1909),BOL-1903-1909
Bolivia (1909-1938),BOL-1909-1938
Bolivia (to 1903),BOL-1825-1903
"Bonaire, Sint Eustatius and Saba",BES-2010-2025
Bonin island,BON-1846-1873
Bosnia (to 1908),BOS-1800-1908
Bosnia and Herzegovina,BIH-1992-2025
Botswana,BWA-1966-2025
Botswana (1890-1895),BOT-1890-1895
Botswana (to 1890),BOT-1800-1890
Bouvet Island,BVT-1800-2025
Brazil,BRA-1909-2025
Brazil (1903-1909),BRA-1903-1909
Brazil (to 1903),BRA-1800-1903
Bremen (city-state),BRE-1800-1871
British Bechuanaland,BBE-1885-1895
British Bechuanaland (to 1895),BRI-1800-1895
British Cameroon,BCA-1914-2025
British Cameroon (1919-1961),BRI-1919-1961
British Columbia,BCO-1858-1866
British East Africa,BEA-1895-2025
British Indian Ocean Territory,IOT-1800-2025
British Malaya,BMA-1922-2025
British New Guinea,BNG-1884-2025
British Protectorate (British Somaliland),BSO-1884-2025
British Protectorate (British Somaliland) (to 1960),BRI-1800-1960
British Togoland (1922-1955),BRI-1922-1955
British Virgin Islands,VGB-1800-2025
British settlement Oceania,BOC-1839-2025
Brunei (greater),BRN-1816-1888
Brunei Darussalam,BRN-1888-2025
Bukhara,BUK-1800-1920
Bukhara (to 1920),BOK-1800-1920
Bulgaria,BGR-1940-2025
Bulgaria (1913-1918),BGR-1913-1918
Bulgaria (1918-1919),BGR-1918-1919
Bulgaria (1919-1940),BGR-1919-1940
Bulgaria (to 1913),BGR-1878-1913
Burkina Faso,BFA-1960-2025
Burundi,BDI-1962-2025
Cabo Verde,CPV-1800-2025
Cambodia,KHM-1953-2025
Cambodia (1904-1907),CAM-1904-1907
Cambodia (to 1904),CAM-1800-1904
Cameroon,CMR-1961-2025
Cameroon (1919-1961),CAM-1919-1961
Cameroon (1960-1961),CMR-1960-1961
Cameroon (Kamerun),CMR-1884-2025
