polity_name,start_year,end_year,notes
Brunei,1888,NA,Current Brunei territory
Brunei (greater),1816,1888,"Brunei including parts of Sabah and Sarawak. Federico Tena polity for Brunei doesn't differentiate, but one note in Sabah (British Borneo) says that it was previously part of Brunei, so there is substantial territorial change."
Niue,1900,NA,Federico Tena stops Niue at 1901 but it appears until present day in FAOSTAT and United Nations as separate from New Zealand.
Cook Islands,1893,NA,Federico Tena stops Cook Islands at 1901 but it appears until present day in FAOSTAT and United Nations as separate from New Zealand.
Montenegro (to 1913),1878,1913,"Federico Tena Montenegro polity said ended in 1918 but CShapes has more disaggregation for territory changes, so stop at 1913."
Abu Dhabi,1800,1971,"Only in Federito Tena, no info past 1938, assume British protectorate until 1971 when it becomes part of UAE."
Ajman,1800,1971,"Only in Federito Tena, no info past 1938, assume British protectorate until 1971 when it becomes part of UAE."
Aden,1839,1967,"Only in Federico Tena, no info past 1938, assume British colony until 1967 when it becomes part of South Yemen."
Yemen,2000,2025,M49 source states from 1990 but CShapes states change of territory in 2000 so we create the present day Yemen polity from 2000 and have another one for 1990-2000 period.
Austria-Hungary (to 1908),1800,1908,"Federico Tena Austria-Hungary polity said ended in 1918 but CShapes has more disaggregation for territory changes, so stop at 1908."
Egypt (to 1922),1800,1922,"Egypt only starts from 1922 in CShapes so the entry in Federico Tena must be linked to another one, but has no end year, so fix it at 1922 prior to CShapes."
India (to 1947),1800,1947,"India only starts from 1947 in CShapes so the entry in Federico Tena must be linked to another one, but has no end year, so fix it at 1947 prior to CShapes."
Saudi Arabia (1924-1932),1924,1932,"Saudi Arabia only starts from 1932 in CShapes so the entry in Federico Tena must be linked to another one, but has no end year, so fix it at 1932 prior to CShapes."
Serbia,2008,2025,CShapes starts present-day Serbia in 2008 because of last territorial change. FAOSTAT and M49 state 2006 because of not considering that. Force start in 2008.
Russia,2014,2025,CShapes starts present-day Russia in 2014 because of last territorial change. FAOSTAT and M49 state 1991 because of not considering that. Force start in 2014.
Ukraine,2014,2025,CShapes starts present-day Ukraine in 2014 because of last territorial change. FAOSTAT and M49 state 1992/91 because of not considering that. Force start in 2014.
Manchukuo,1932,1945,"Manchukuo (Japanese puppet state in Manchuria) dissolved with Japanese surrender in August 1945. Federico Tena has NA end year defaulting to 2025, but the polity ceased to exist in 1945."
Ionian islands,1815,1864,Federico Tena has end_year=1862 but this is incorrect. The Treaty of London was signed November 14 1863 and the handover to Greece occurred May 28 1864. The year 1862 does not correspond to any known event. FT notes themselves say 1864-1938 Greece confirming the inconsistency.
Kokand,NA,1876,Federico Tena has end_year=1883 but the Khanate of Kokand was formally dissolved by the Russian Empire on February 19 1876 and incorporated into Russian Turkestan as Fergana Oblast. The 1883 date in FT is incorrect by 7 years.
Cameroon (1960-1961),1960,1961,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1919-1961 period. Keeping as distinct WHEP polity for backward compatibility.
Egypt (1922-1925),1922,1925,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1899-1925 period. Keeping as distinct WHEP polity for backward compatibility.
Indonesia (1945-1949),1945,1949,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1889-1949 period. Keeping as distinct WHEP polity for backward compatibility.
Malaysia (1957-1963),1957,1963,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1946-1963 period. Keeping as distinct WHEP polity for backward compatibility.
Mauritania (1960-1975),1960,1975,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1944-1975 period. Keeping as distinct WHEP polity for backward compatibility.
Montenegro (1913-1915),1913,1915,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1913-1918 period. Keeping as distinct WHEP polity for backward compatibility.
Nigeria (1960-1961),1960,1961,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1914-1961 period. Keeping as distinct WHEP polity for backward compatibility.
Serbia (1913-1915),1913,1915,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1913-1918 period. Keeping as distinct WHEP polity for backward compatibility.
Sudan (1956-2011),1956,2011,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1934-2011 period. Keeping as distinct WHEP polity for backward compatibility.
Syrian Arab Republic (1946-1967),1946,1967,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1920-1967 period. Keeping as distinct WHEP polity for backward compatibility.
Tanzania (1961-1964),1961,1964,Previously a distinct CShapes period. CShapes 2.0 with dependencies=TRUE merges this into the broader 1922-1964 period. Keeping as distinct WHEP polity for backward compatibility.
Afghanistan,1919,NA,CShapes dependencies=TRUE merges pre-independence period into modern territory. Fix start to match actual independence year.
Afghanistan (to 1888),NA,1888,Federico Tena entry has no end year. Fix to 1888 per CShapes boundary.
Benin,1960,NA,CShapes dependencies=TRUE merges colonial period (from 1898) with independence. Fix start to 1960.
Botswana,1966,NA,CShapes dependencies=TRUE merges colonial period with independence. Fix start to 1966.
Burkina Faso,1960,NA,CShapes dependencies=TRUE merges colonial period with independence. Fix start to 1960.
Cambodia,1953,NA,CShapes dependencies=TRUE merges colonial period with independence. Fix start to 1953.
Central African Republic,1960,NA,CShapes dependencies=TRUE merges colonial period with independence. Fix start to 1960.
