unit_id,country,admin_name,first_year,last_year,valued_rows
ARG-BUENOSAIRES,Argentina,Buenos Aires,1900,2023,38534
ARG-CABA,Argentina,Ciudad de Buenos Aires,1900,2023,868
ARG-CATAMARCA,Argentina,Catamarca,1900,2023,39494
ARG-CHACO,Argentina,Chaco,1900,2023,34441
ARG-CHUBUT,Argentina,Chubut,1900,2023,29581
ARG-CORDOBA,Argentina,Córdoba,1900,2023,39249
ARG-CORRIENTES,Argentina,Corrientes,1900,2023,38326
ARG-ENTRERIOS,Argentina,Entre Ríos,1900,2023,38233
ARG-FORMOSA,Argentina,Formosa,1900,2023,32802
ARG-JUJUY,Argentina,Jujuy,1900,2023,37820
ARG-LAPAMPA,Argentina,La Pampa,1900,2023,31071
ARG-LARIOJA,Argentina,La Rioja,1900,2023,34854
ARG-MENDOZA,Argentina,Mendoza,1900,2023,39343
ARG-MISIONES,Argentina,Misiones,1900,2023,38608
ARG-NEUQUEN,Argentina,Neuquén,1900,2023,32147
ARG-RESID,Argentina,Resto Del País,1900,2023,31045
ARG-RIONEGRO,Argentina,Río Negro,1900,2023,34371
ARG-SALTA,Argentina,Salta,1900,2023,40818
ARG-SANJUAN,Argentina,San Juan,1900,2023,37627
ARG-SANLUIS,Argentina,San Luis,1900,2023,33257
ARG-SANTACRUZ,Argentina,Santa Cruz,1900,2023,21492
ARG-SANTAFE,Argentina,Santa Fe,1900,2023,42362
ARG-SANTIAGODELESTERO,Argentina,Santiago del Estero,1900,2023,34082
ARG-TIERRADELFUEGO,Argentina,Tierra del Fuego,1900,2023,12005
ARG-TUCUMAN,Argentina,Tucumán,1900,2023,39542
AUS-AUSTRALIANCAPITALT,Australia,Australian Capital Territory,1911,2022,410
AUS-NEWSOUTHWALES,Australia,New South Wales,1860,2022,2262
AUS-NORTHERNTERRITORY,Australia,Northern Territory,1880,2022,415
AUS-QUEENSLAND,Australia,Queensland,1860,2022,2255
AUS-SOUTHAUSTRALIA,Australia,South Australia,1860,2022,1990
AUS-TASMANIA,Australia,Tasmania,1860,2022,1967
AUS-VICTORIA,Australia,Victoria,1860,2022,2259
AUS-WESTERNAUSTRALIA,Australia,Western Australia,1860,2022,2167
BOL-BEN,Bolivia,Beni,1910,2023,5755
BOL-BEN,Bolivia,El Beni,1900,2023,868
BOL-CHUQUISACA,Bolivia,Chuquisaca,1900,2023,6684
BOL-COCHABAMBA,Bolivia,Cochabamba,1900,2023,6924
BOL-LAPAZ,Bolivia,La Paz,1900,2023,6804
BOL-ORURO,Bolivia,Oruro,1900,2023,2496
BOL-PANDO,Bolivia,Pando,1900,2023,6152
BOL-POTOSI,Bolivia,Potosí,1900,2023,3831
BOL-SANTACRUZ,Bolivia,Santa Cruz,1900,2023,7164
BOL-TARIJA,Bolivia,Tarija,1900,2023,6684
BRA-ACRE,Brazil,Acre,1900,2023,34532
BRA-ALAGOAS,Brazil,Alagoas,1900,2023,37247
BRA-AMAPA,Brazil,Amapá,1900,2023,31593
BRA-AMAZONAS,Brazil,Amazonas,1900,2023,37341
BRA-BAHIA,Brazil,Bahia,1900,2023,40343
BRA-CEARA,Brazil,Ceará,1900,2023,38491
BRA-DISTRITOFEDERAL,Brazil,Distrito Federal,1900,2023,35827
BRA-ESPIRITOSANTO,Brazil,Espírito Santo,1900,2023,38334
BRA-GOIAS,Brazil,Goiás,1900,2023,37684
BRA-MARANHAO,Brazil,Maranhão,1900,2023,38165
BRA-MATOGROSSO,Brazil,Mato Grosso,1900,2023,38045
BRA-MATOGROSSODOSUL,Brazil,Mato Grosso do Sul,1900,2023,38209
BRA-MINASGERAIS,Brazil,Minas Gerais,1900,2023,40609
BRA-PARA,Brazil,Pará,1900,2023,37936
BRA-PARAIBA,Brazil,Paraíba,1900,2023,37617
BRA-PARANA,Brazil,Paraná,1900,2023,41758
BRA-PERNAMBUCO,Brazil,Pernambuco,1900,2023,38557
