unit_id,country,admin_name,verdict,matched_polity_code,proposed_json,confidence,reasoning,evidence_used,concerns,cycle,model,effort,decided_at,polygon_route,polygon_source_slug,polygon_feature_id,polygon_detail,polygon_confidence,polygon_reasoning,page_written,page_polity_code,repair_status,repair_attempts,repair_rank,repair_remaining,repair_gates_red,coverage_json,coverage_ok
ARG-BUENOSAIRES,Argentina,Buenos Aires,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""Buenos Aires (province of Argentina)"", ""span_basis"": ""Historic province organized by the 1853 Argentine Constitution; not one of the four enumerated departure cases (ex-territorios nacionales or the federal capital), so the country's default start rule applies. Still current, so end_year is the open 2025 per convention, not the data's last year."", ""start_year"": 1853}",high,"Buenos Aires is one of Argentina's original historic provinces, not one of the four departure cases (Chaco/Formosa/La Pampa/Misiones/Neuquén/Río Negro, Chubut/Santa Cruz, Tierra del Fuego, or Ciudad de Buenos Aires). No existing candidate polity matches or represents this province (0 name candidates, 0 boundary matches), and the ARG-national polities are the country, not this admin1 unit. The country convention's default start rule applies directly: 1853, the constitutional organization of the historic provinces. It remains a current province, so end_year is the open 2025 per convention.",COUNTRY CONVENTION start rule (DEFAULT) | COUNTRY CONVENTION DEPARTURES from that rule (4) | CANDIDATE POLITIES BY NAME (0) | BOUNDARY FEATURES matching the name in gadm-4.1-adm1 (0) | COUNTRY CONVENTION open end_year,No boundary polygon available in gadm-4.1-adm1 for this name; a polygon would need to be constructed or sourced elsewhere.,1,sonnet,low,2026-09-04T10:09:47Z,,,,,,,,,,,,,,"[{""basis"": ""Buenos Aires is a historic province present since the 1853 constitutional organization and is not among the four listed departure cases, so the entire 1900-2023 data span falls within a single polity spanning 1853-2025."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1900}]",yes
ARG-CABA,Argentina,Ciudad de Buenos Aires,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""Ciudad de Buenos Aires (autonomous city of Argentina)"", ""span_basis"": ""Federalized as Capital Federal in 1880 (Ley 1029), a distinct administrative territory separate from Buenos Aires province ever since; it became an autonomous city in 1994 but the territory and its identity as a distinct reporting unit did not change at that point, so the span starts at federalization rather than at the 1994 autonomy grant."", ""start_year"": 1880}",high,"The city of Buenos Aires was federalized in 1880 (Ley 1029) as the Capital Federal, administered directly by the national government until the 1994 constitutional reform granted it autonomous-city status. The territory (city boundaries) is continuous across that governance change — it is the same reporting unit, not two. Data reported for it back to 1900 therefore falls within an administration that already existed (Capital Federal), so 1900-1993 is not unroutable: it belongs to the same proposed polity, just under its federal-district phase rather than its autonomous-city phase. A single polity spanning 1880-2025 captures this continuity; splitting at 1994 would conflate a change in governance status with a change in territory identity.","country_convention.departures: Ciudad de Buenos Aires start 1994 (autonomous-city status) | unit.years 1900-2023 | sibling verdict ARG-CABA prior split 1900-1993:unroutable / 1994-2023:proposed rejected for leaving 76% of years unroutable | general historical fact: Buenos Aires federalized as Capital Federal in 1880, autonomous city status granted 1994","Span start of 1880 is based on general historical knowledge of Argentine federalization (Ley 1029), not verified against a source file in this repo; the country-convention block only documents the 1994 departure, so confirm 1880 against a dedicated historical source before finalizing. | If the country convention's intent was specifically to treat pre-1994 Capital Federal years as belonging to a different container polity (e.g. filed under national totals rather than the city), that would change this verdict — worth double-checking against how other Argentine federal-capital-era sources route this territory.",1,sonnet,low,2026-09-04T11:00:47Z,,,,,,,,,,,,,,"[{""basis"": ""The territory of Ciudad de Buenos Aires has existed continuously as an administrative unit since its 1880 federalization as Capital Federal, directly governed by the national government until 1994 when it gained autonomous-city status. Since it is the same territory throughout, all data years 1900-2023 belong to one proposed polity spanning from the federal district's creation, not just from 1994."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1900}]",yes
ARG-CATAMARCA,Argentina,Catamarca,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""Catamarca (province of Argentina)"", ""span_basis"": ""Catamarca is one of the historic provinces organized under the 1853 Argentine Constitution, not one of the four documented later-provincialized territories; it remains a current province, so end_year is open at 2025 per convention."", ""start_year"": 1853}",high,"Catamarca is a long-standing historic Argentine province with no existing candidate polity representing it (0 name matches, no boundary features). It is not listed among the four departure cases (former national territories provincialized later, or CABA), so the default start rule applies: start_year 1853 from the national constitution that organized the historic provinces. Data span 1900-2023 falls entirely within 1853-2025, so no coverage gap. This is a create_new case, sitting inside container ARG-1902-2025.",COUNTRY CONVENTION start rule (DEFAULT) | DEPARTURES from that rule (4) | container chain ARG-1800-1899/1899-1902/1902-2025 | naming pattern,No boundary polygon exists yet for Catamarca in gadm-4.1-adm1; would need to construct or source one separately,1,sonnet,low,2026-09-04T10:10:35Z,,,,,,,,,,,,,,"[{""basis"": ""Catamarca is a historic Argentine province, not among the four documented departures (Chaco/Formosa/etc., Chubut/Santa Cruz, Tierra del Fuego, CABA); default start rule of 1853 applies, and the unit is still current so end_year is open at 2025."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1900}]",yes
ARG-CHACO,Argentina,Chaco,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 1951, ""iso3"": ""ARG"", ""polity_name"": ""Chaco (national territory of Argentina)"", ""span_basis"": ""Ley 1532 (1884) created the Territorio Nacional del Chaco as a directly-administered national territory; it remained so until Ley 14037 (1951) converted it into a province, per the country convention's documented departure for Chaco."", ""start_year"": 1884}",high,"Chaco was constituted as the Territorio Nacional del Chaco in 1884 (Ley 1532) and administered as a national territory until Ley 14037 (1951) elevated it to province. The unit's own administrative history therefore spans back well before 1951 — the territorio nacional is the same territory under an earlier classification, not a different one, so the 1900-1950 data is not unroutable but belongs to a distinct 'national territory' era polity, with the province polity picking up from 1951.","COUNTRY CONVENTION departures: Chaco start 1951 (Ley 14037 elevated Territorio Nacional del Chaco, created 1884) | UNIT years 1900-2023 | Sibling verdict pattern ARG-FORMOSA also has an analogous territorio nacional era","The 1951-2023 provincial segment should reuse whatever polity code/span is ultimately created for the sibling ARG-FORMOSA-style province verdict already on record, rather than being duplicated here. | Confirm no existing polity already represents the 1884-1951 Territorio Nacional del Chaco era before creating a new one.",1,sonnet,low,2026-09-04T11:01:26Z,,,,,,,,,,,,,,"[{""basis"": ""Chaco existed as the Territorio Nacional del Chaco (created by Ley 1532, 1884) throughout this period, administered directly by the national government, distinct from the later province; no existing polity represents this territorial-era administration."", ""disposition"": ""proposed"", ""end_year"": 1950, ""start_year"": 1900}, {""basis"": ""Ley 14037 (1951) elevated the Territorio Nacional del Chaco to the Province of Chaco per the country convention's departure rule; matches the create_new verdict already recorded for this unit's 1951-2023 segment."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1951}]",yes
ARG-CHUBUT,Argentina,Chubut,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""Chubut (territory/province of Argentina)"", ""span_basis"": ""Created as Territorio Nacional del Chubut by Ley 1532 (1884); elevated to provincial status by Ley 14408 (1955); continuous administered territory through to the present (open end_year 2025 per country convention)."", ""start_year"": 1884}",medium,"Chubut existed continuously as an administered territory from 1884 (Ley 1532, Territorio Nacional del Chubut) through its 1955 elevation to province (Ley 14408) to today. The country convention's start rule only fixes when PROVINCIAL status began (1955 for Chubut), but the governing policy is that statistics-collection territory qualifies for a polity row regardless of sovereign/provincial status. Since the territorio nacional and the later provincia are the same administered territory under one continuous history, the correct span for the single proposed polity is 1884-2025, covering the full 1900-2023 data run with no unrouted years. The earlier 'unroutable' segment (1900-1954) wrongly treated pre-1955 data as belonging to no administration, when in fact it was the same territory under national-territory status.","Chubut, Formosa, Neuquén, Río Negro, Santa Cruz start 1955 (Ley 14408 elevated these Ley 1532 (1884) national territories) | UNIT years 1900-2023 | Rejection: unroutable is for years nothing could ever carry; if the territory existed under an earlier administration, the polity's span starts then","Deviates from sibling verdicts already recorded (ARG-CHACO, ARG-FORMOSA) which treated pre-elevation years as unroutable; for consistency those should likely be revised the same way (span starting at each territory's own national-territory creation date) rather than leaving 1900-1950/1954 unrouted. | Confirm the exact creation date of Territorio Nacional del Chubut (1884, Ley 1532) against a primary source before finalizing the span.",1,sonnet,low,2026-09-04T11:02:19Z,,,,,,,,,,,,,,"[{""basis"": ""Territorio Nacional del Chubut existed continuously from 1884 (Ley 1532) and was elevated to provincial status in 1955 (Ley 14408) without any territorial discontinuity; treat both eras as one administered territory for polity purposes, so the proposed polity spans 1884-2025 and covers the entire 1900-2023 data run."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1900}]",yes
ARG-CORDOBA,Argentina,Córdoba,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""C\u00f3rdoba (province of Argentina)"", ""span_basis"": ""C\u00f3rdoba is one of the historic provinces formally organized under the 1853 Argentine Constitution; the default country start rule applies since C\u00f3rdoba is not among the four listed departures (ex-territorios nacionales or Ciudad de Buenos Aires). It remains a current province, so end_year is the open 2025 per convention."", ""start_year"": 1853}",high,"Córdoba is one of the historic Argentine provinces present at the 1853 constitutional organization, so per the country convention the default start_year of 1853 applies (no departure listed for Córdoba). Data begins in 1900, well within that span, and the province is still current, so end_year is the open 2025. No existing polity represents Córdoba itself (only national ARG rows exist), so a new polity must be created.",COUNTRY CONVENTION start rule (DEFAULT) | COUNTRY CONVENTION DEPARTURES list (Córdoba not among them) | COUNTRY CONVENTION open end_year rule | CANDIDATE POLITIES BY NAME (0) | POLITIES SHARING iso3 ARG (3),"Span 1853-2025 crosses the three ARG national-era container polities (1800-1899, 1899-1902, 1902-2025); confirm the intended container_code convention when a province span straddles multiple national eras — used ARG-1902-2025 as the containing/current national polity.",1,sonnet,low,2026-09-04T10:11:56Z,,,,,,,,,,,,,,"[{""basis"": ""C\u00f3rdoba is a historic province organized under the 1853 constitution (default start rule, no departure applies); data years 1900-2023 fall entirely within the proposed polity span 1853-2025."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1900}]",yes
ARG-CORRIENTES,Argentina,Corrientes,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""Corrientes"", ""span_basis"": ""Default start rule for Argentine provinces: 1853, when the national constitution formally organized the historic provinces (Corrientes was not administered as a national territory, so none of the four listed departures apply). End_year 2025 (exclusive) as the unit is still current."", ""start_year"": 1853}",high,"Corrientes is one of Argentina's original historic provinces (not one of the four departure groups: Chaco/Formosa/La Pampa/Misiones/Neuquén/Río Negro 1951; Chubut/Santa Cruz 1955; Tierra del Fuego 1990; CABA 1994). No existing polity represents the province itself -- the ARG-* candidates are national totals, which contain but are not identical to the province. Per the country convention's default start rule, span is 1853 (constitutional organization of historic provinces) to 2025 (still current, exclusive). The unit's 1900-2023 data window sits entirely inside this span.",COUNTRY CONVENTION start rule (DEFAULT) | DEPARTURES from that rule (4) | CANDIDATE POLITIES BY NAME (0) | POLITIES SHARING iso3 ARG (3),No boundary/polygon candidate found in gadm-4.1-adm1 for this name; a polygon would need to be constructed or sourced separately.,1,sonnet,low,2026-09-04T10:12:15Z,,,,,,,,,,,,,,"[{""basis"": ""Corrientes is one of the original historic provinces organized by the 1853 constitution, not one of the four listed departure cases; the entire 1900-2023 data span falls within its proposed 1853-2025 span, and no existing polity represents the province itself (only national ARG totals exist as candidates)."", ""disposition"": ""proposed"", ""end_year"": 2023, ""polity_code"": null, ""start_year"": 1900}]",yes
ARG-ENTRERIOS,Argentina,Entre Ríos,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""Entre R\u00edos (province of Argentina)"", ""span_basis"": ""Entre R\u00edos is one of the historic Argentine provinces formally organized as a province by the 1853 national constitution; it is not among the four documented departure cases that were promoted from national territories later, so the default start_year of 1853 applies. End year is open (2025) as the province remains current."", ""start_year"": 1853}",high,"Entre Ríos is one of the original historic Argentine provinces, not among the four listed departures (Chaco/Formosa/La Pampa/Misiones/Neuquén/Río Negro at 1951; Chubut/Santa Cruz at 1955; Tierra del Fuego at 1990; CABA at 1994). The default start rule applies: 1853, when the national constitution organized the historic provinces. No existing polity matches this territory by name, so a new polity must be created, spanning 1853-2025 (open end, still current). The unit's full data span (1900-2023) falls within this span.",COUNTRY CONVENTION start rule (DEFAULT) | COUNTRY CONVENTION DEPARTURES list (Entre Ríos not present) | COUNTRY CONVENTION open end_year 2025 | CANDIDATE POLITIES BY NAME (none),Assumed Entre Ríos was a historic province present at 1853 rather than a later territorial split; this is standard Argentine administrative history but was not independently verified against a primary source in this evidence set.,1,sonnet,low,2026-09-04T10:12:28Z,,,,,,,,,,,,,,"[{""basis"": ""Entre R\u00edos is a historic province not listed among the country's departure cases, so its polity spans the default 1853-2025 window, which fully covers this unit's 1900-2023 data."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1900}]",yes
ARG-FORMOSA,Argentina,Formosa,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 1955, ""iso3"": ""ARG"", ""polity_name"": ""Formosa (national territory of Argentina)"", ""span_basis"": ""Formosa existed as a Territorio Nacional under Ley 1532 (1884) until Ley 14408 (1955) elevated it to provincial status; 1900 reflects the data floor within this administrative period, not the territory's creation date."", ""start_year"": 1900}",medium,"Formosa was a Territorio Nacional (Ley 1532, 1884) until Ley 14408 (1955) elevated it to a province, per the country convention's explicit departure list. No existing polity is this territory at either stage: the TWN-1895-1945 name match is Japanese Taiwan, unrelated. Following the same pattern as sibling verdicts (ARG-CHACO, ARG-LAPAMPA), the 1900-2023 span should be split into a pre-1955 national-territory segment and a post-1955 province segment, both needing new polities distinct from the national ARG rows.","country convention departures: Chubut, Formosa, Neuquén, Río Negro, Santa Cruz start 1955 (Ley 14408) | candidate TWN-1895-1945 is Japanese Taiwan, not a match | no ARG admin1 boundary features match this name | sibling verdicts ARG-CHACO and ARG-LAPAMPA split into pre/post-elevation segments","A second proposed polity (province stage, 1955-2025) is also required but the schema only allows one `proposed` object; the harness should treat this verdict as needing a two-segment split as reflected in `coverage`. | The exact creation date of the Territorio Nacional de Formosa (1884, Ley 1532) is not itself in evidence here, only inferred from the analogous departures list; worth confirming against a primary source.",2,sonnet,low,2026-09-04T11:08:12Z,,,,,,,,,,,,,,"[{""basis"": ""Formosa was a Territorio Nacional (Ley 1532, 1884) prior to provincial elevation; no existing polity represents this territorio-level entity, so a new polity is needed for this span."", ""disposition"": ""proposed"", ""end_year"": 1954, ""start_year"": 1900}, {""basis"": ""Ley 14408 (1955) elevated Formosa to a province; per country convention this is the DEFAULT departure start year. No existing polity in the ARG or name-matched candidates represents Formosa province, so a new polity is needed, open-ended to 2025 per convention (data runs through 2023)."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1955}]",yes
ARG-JUJUY,Argentina,Jujuy,create_new,,"{""container_code"": ""ARG-1902-2025"", ""end_year"": 2025, ""iso3"": ""ARG"", ""polity_name"": ""Jujuy (province of Argentina)"", ""span_basis"": ""Default start rule applies: 1853 is when the national constitution organized the historic provinces, and Jujuy is not among the departure groups (ex-territorios nacionales or CABA) provincialized later; end_year is open/current (2025 exclusive) as Jujuy remains a province today."", ""start_year"": 1853}",high,"Jujuy is one of Argentina's historic provinces, not among the four listed departure groups (Chaco/Formosa/La Pampa/Misiones/Neuquén/Río Negro; Chubut/Santa Cruz; Tierra del Fuego; CABA). It falls under the default start rule: 1853, the year the national constitution organized the historic provinces. No existing polity represents Jujuy specifically (only national ARG rows exist), so a new province-level polity is needed, spanning 1853-2025 (open/current), containing the data span 1900-2023 entirely.",COUNTRY CONVENTION start rule (DEFAULT) | COUNTRY CONVENTION DEPARTURES list | COUNTRY CONVENTION open end_year | CANDIDATE POLITIES BY NAME (0),No boundary feature found in gadm-4.1-adm1 for this name; polygon would need to be constructed or sourced separately.,1,sonnet,low,2026-09-04T10:13:01Z,,,,,,,,,,,,,,"[{""basis"": ""Jujuy is a historic Argentine province under the default start rule (1853), not one of the four listed territorio-nacional/CABA departures; the data span 1900-2023 falls entirely within the proposed polity's span 1853-2025."", ""disposition"": ""proposed"", ""end_year"": 2023, ""start_year"": 1900}]",yes
