source_label,source,year_start,year_end,common_name,polity_code,confidence,basis,observed_rows,area_code,iso3,match_route,match_status
Armenia,faostat,1992,2024,Armenia,ARM-1991-2025,high,FAOSTAT area code 1; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,98408,1,ARM,iso-equal,matched
Afghanistan,faostat,1961,2024,Afghanistan,AFG-1919-2025,high,FAOSTAT area code 2; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,124048,2,AFG,iso-equal,matched
Albania,faostat,1961,2024,Albania (1913-2025),ALB-1913-2025,high,FAOSTAT area code 3; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,179720,3,ALB,iso-equal,matched
Algeria,faostat,1961,1961,Algeria (1919-1962),DZA-1919-1962,high,FAOSTAT area code 4; observed 1961-1961 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,210613,4,DZA,iso-equal,matched
Algeria,faostat,1962,2024,Algeria (1962-2025),DZA-1962-2025,high,FAOSTAT area code 4; observed 1962-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,210613,4,DZA,iso-equal,matched
American Samoa,faostat,1900,2024,Territory of American Samoa,ASM-1900-2025,high,FAOSTAT area code 5; no data in scanned pins; registry map to ASM-1900-2025 (1900-2025),0,5,ASM,registry,matched
Andorra,faostat,1850,2024,Andorra,AND-1800-2025,high,FAOSTAT area code 6; no data in scanned pins; registry map to AND-1800-2025 (1850-2025),0,6,AND,registry,matched
Angola,faostat,1961,1974,Angola (1905-1975),ANG-1905-1975,high,FAOSTAT area code 7; observed 1961-1974 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-route period match,172914,7,AGO,manual-route,matched
Angola,faostat,1975,2024,"Angola (independent, 1975–2025)",AGO-1975-2025,high,FAOSTAT area code 7; observed 1975-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-route period match,172914,7,AGO,manual-route,matched
Antigua and Barbuda,faostat,1961,2024,Antigua and Barbuda,ATG-1800-2025,high,FAOSTAT area code 8; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,154197,8,ATG,iso-equal,matched
