area_code,area_name,iso3,note
24,British Indian Ocean Territory,IOT,registry area with no polity family (non-country/aggregate)
30,Antarctica,ATA,registry area with no polity family (non-country/aggregate)
31,Bouvet Island,BVT,registry area with no polity family (non-country/aggregate)
34,Canton and Enderbury Islands,CTE,registry area with no polity family (non-country/aggregate)
43,Cocos (Keeling) Islands,CCK,registry area with no polity family (non-country/aggregate)
92,Heard and McDonald Islands,HMD,registry area with no polity family (non-country/aggregate)
111,Johnston Island,JTN,registry area with no polity family (non-country/aggregate)
139,Midway Island,MID,registry area with no polity family (non-country/aggregate)
152,Neutral Zone,NTZ,registry area with no polity family (non-country/aggregate)
232,US Minor Is.,UMI,registry area with no polity family (non-country/aggregate)
242,Wake Island,WAK,registry area with no polity family (non-country/aggregate)
252,Unspecified,UXY,registry area with no polity family (non-country/aggregate)
254,Others (adjustment),OXY,registry area with no polity family (non-country/aggregate)
260,Svalbard and Jan Mayen Islands,SJM,registry area with no polity family (non-country/aggregate)
