source,outer_key,outer_code,inner_key,inner_code,overlap_years,inner_share_covered,outer_km2,inner_km2,outer_rows,inner_rows,outer_status,inner_status,shared_cells,cells_outer_lt_inner,median_outer_over_inner,inclusion
fao1952,china 22 provinces|fao1952|1950-1951,CHN-1950-2025,hong kong|fao1952|1937-1951,HKG-1842-2025,1950-1951,0.792,9369120,1128,23,56,banked_legacy,pending,1,0,1156.25,consistent_with_inclusion
fao1952,china|fao1952|1950-1951,CHN-1950-2025,hong kong|fao1952|1937-1951,HKG-1842-2025,1950-1951,0.792,9369120,1128,14,56,pending,pending,6,2,197.551,few_violations
fao1952,china and manchuria|fao1952|1950-1951,CHN-1950-2025,hong kong|fao1952|1937-1951,HKG-1842-2025,1950-1951,0.792,9369120,1128,8,56,pending,pending,0,0,,no_shared_cells
fao1952,china manchuria|fao1952|1950-1951,CHN-1950-2025,hong kong|fao1952|1937-1951,HKG-1842-2025,1950-1951,0.792,9369120,1128,7,56,banked_legacy,pending,0,0,,no_shared_cells
fao1952,china|fao1952|1947-1948,CHN-1947-1949,china taiwan|fao1952|1948-1951,TWN-1945-2025,1948-1948,0.999,7593571,35994,7,132,pending,banked,0,0,,no_shared_cells
fao1952,china 22 provinces|fao1952|1947-1948,CHN-1947-1949,china taiwan|fao1952|1948-1951,TWN-1945-2025,1948-1948,0.999,7593571,35994,4,132,banked_legacy,banked,0,0,,no_shared_cells
fao1952,china|fao1952|1947-1948,CHN-1947-1949,hong kong|fao1952|1937-1951,HKG-1842-2025,1947-1948,0.792,7593571,1128,7,56,pending,pending,0,0,,no_shared_cells
fao1952,china 22 provinces|fao1952|1947-1948,CHN-1947-1949,hong kong|fao1952|1937-1951,HKG-1842-2025,1947-1948,0.792,7593571,1128,4,56,banked_legacy,pending,0,0,,no_shared_cells
fao1952,china manchuria|fao1952|1947-1947,CHN-1947-1949,hong kong|fao1952|1937-1951,HKG-1842-2025,1947-1947,0.792,7593571,1128,4,56,banked_legacy,pending,0,0,,no_shared_cells
fao1952,china 22 provinces|fao1952|1949-1949,CHN-1949-1950,hong kong|fao1952|1937-1951,HKG-1842-2025,1949-1949,0.792,7557599,1128,29,56,banked_legacy,pending,7,0,1156.25,consistent_with_inclusion
fao1952,china|fao1952|1949-1949,CHN-1949-1950,hong kong|fao1952|1937-1951,HKG-1842-2025,1949-1949,0.792,7557599,1128,7,56,pending,pending,3,0,658.0,consistent_with_inclusion
fao1952,china manchuria|fao1952|1949-1949,CHN-1949-1950,hong kong|fao1952|1937-1951,HKG-1842-2025,1949-1949,0.792,7557599,1128,5,56,banked_legacy,pending,0,0,,no_shared_cells
fao1952,china and manchuria|fao1952|1949-1949,CHN-1949-1950,hong kong|fao1952|1937-1951,HKG-1842-2025,1949-1949,0.792,7557599,1128,4,56,pending,pending,0,0,,no_shared_cells
fao1952,china 22 provinces|fao1952|1937-1939,CHN-1932-1945,hong kong|fao1952|1937-1951,HKG-1842-2025,1937-1939,0.792,6710151,1128,31,56,banked_legacy,pending,0,0,,no_shared_cells
fao1952,china|fao1952|1937-1938,CHN-1932-1945,hong kong|fao1952|1937-1951,HKG-1842-2025,1937-1938,0.792,6710151,1128,5,56,pending,pending,1,0,398.643,consistent_with_inclusion
fao1952,india|fao1952|1937-1940,IND-1937-1947,pakistan|fao1952|1937-1940,PAK-1937-1947,1937-1940,1.0,4223063,932577,44,22,pending,pending,34,5,3.292,impossible_outer_excludes_inner
fao1952,india|fao1952|1949-1951,IND-1949-2025,portuguese india|fao1952|1937-1951,PTIND-1816-1961,1949-1951,0.984,3151797,3779,161,7,pending,banked_legacy,4,0,431.526,consistent_with_inclusion
fao1952,india|fao1952|1949-1951,IND-1949-2025,french india|fao1952|1937-1951,FRIN-1816-1954,1949-1951,0.952,3151797,547,161,14,pending,pending,1,0,1068.249,consistent_with_inclusion
fao1952,libya|fao1952|1949-1949,LBY-1943-1949,libya cyrenaica|fao1952|1949-1951,CYR-1949-1951,1949-1949,0.999,1617898,837886,15,11,pending,pending,4,0,10.825,consistent_with_inclusion
fao1952,libya|fao1952|1950-1950,LBY-1949-1951,libya cyrenaica|fao1952|1949-1951,CYR-1949-1951,1950-1950,0.999,1617898,837886,13,11,pending,pending,0,0,,no_shared_cells
fao1952,libya|fao1952|1951-1951,LBY-1951-2025,libya cyrenaica|fao1952|1949-1951,CYR-1949-1951,1951-1951,0.999,1617898,837886,12,11,pending,pending,0,0,,no_shared_cells
fao1952,libya|fao1952|1949-1949,LBY-1943-1949,libya fezzan|fao1952|1948-1949,FEZ-1943-1951,1949-1949,0.998,1617898,463617,15,5,pending,pending,2,0,12.667,consistent_with_inclusion
fao1952,libya|fao1952|1949-1949,LBY-1943-1949,libya tripolitania|fao1952|1948-1951,TRP-1943-1951,1949-1949,0.999,1617898,314551,15,37,pending,banked_legacy,6,0,15.2,consistent_with_inclusion
fao1952,libya|fao1952|1950-1950,LBY-1949-1951,libya tripolitania|fao1952|1948-1951,TRP-1943-1951,1950-1950,0.999,1617898,314551,13,37,pending,banked_legacy,0,0,,no_shared_cells
fao1952,libya|fao1952|1951-1951,LBY-1951-2025,libya tripolitania|fao1952|1948-1951,TRP-1943-1951,1951-1951,0.999,1617898,314551,12,37,pending,banked_legacy,1,0,4.984,consistent_with_inclusion
fao1952,libya|fao1952|1949-1949,LBY-1943-1949,tripolitania|fao1952|1949-1951,TRP-1943-1951,1949-1949,0.999,1617898,314551,15,2,pending,pending,0,0,,no_shared_cells
fao1952,libya|fao1952|1950-1950,LBY-1949-1951,tripolitania|fao1952|1949-1951,TRP-1943-1951,1950-1950,0.999,1617898,314551,13,2,pending,pending,0,0,,no_shared_cells
fao1952,libya|fao1952|1951-1951,LBY-1951-2025,tripolitania|fao1952|1949-1951,TRP-1943-1951,1951-1951,0.999,1617898,314551,12,2,pending,pending,0,0,,no_shared_cells
fao1952,indonesia|fao1952|1949-1951,IDN-1949-1963,indonesia other islands|fao1952|1949-1951,IDN-OTH-1949-1951,1949-1951,0.977,1466397,1332131,114,15,pending,banked_legacy,6,0,60.161,consistent_with_inclusion
fao1952,indonesia|fao1952|1949-1951,IDN-1949-1963,indonesia java and madura|fao1952|1949-1951,IDN-JVM-1949-1951,1949-1951,0.974,1466397,132720,114,27,pending,pending,6,0,1.052,consistent_with_inclusion
fao1952,indonesia|fao1952|1949-1951,IDN-1949-1963,indonesia bali and lombok|fao1952|1949-1951,IDN-BLB-1949-1951,1949-1951,0.951,1466397,10169,114,24,pending,reopened,6,0,31.542,consistent_with_inclusion
fao1952,indochina viet nam|fao1952|1937-1951,FID-1887-1954,viet nam|fao1952|1938-1951,VNM-1887-1954,1938-1951,0.993,753049,324094,113,20,pending,pending,0,0,,no_shared_cells
fao1952,indochina|fao1952|1937-1951,FID-1887-1954,viet nam|fao1952|1938-1951,VNM-1887-1954,1938-1951,0.993,753049,324094,22,20,pending,pending,0,0,,no_shared_cells
fao1952,indochina viet nam|fao1952|1937-1951,FID-1887-1954,indochina laos|fao1952|1936-1951,LAO-1893-1954,1937-1951,0.969,753049,229987,113,59,pending,banked_legacy,62,10,3.67,impossible_outer_excludes_inner
fao1952,indochina viet nam|fao1952|1937-1951,FID-1887-1954,laos|fao1952|1949-1951,LAO-1893-1954,1949-1951,0.969,753049,229987,113,12,pending,pending,0,0,,label_not_in_panel
fao1952,indochina|fao1952|1937-1951,FID-1887-1954,indochina laos|fao1952|1936-1951,LAO-1893-1954,1937-1951,0.969,753049,229987,22,59,pending,banked_legacy,5,0,230.398,consistent_with_inclusion
fao1952,indochina|fao1952|1937-1951,FID-1887-1954,laos|fao1952|1949-1951,LAO-1893-1954,1949-1951,0.969,753049,229987,22,12,pending,pending,0,0,,label_not_in_panel
fao1952,indochina viet nam|fao1952|1937-1951,FID-1887-1954,indochina cambodia|fao1952|1937-1951,KHM-1907-1953,1937-1951,0.994,753049,181798,113,105,pending,pending,111,40,1.667,impossible_outer_excludes_inner
fao1952,indochina viet nam|fao1952|1937-1951,FID-1887-1954,cambodia|fao1952|1949-1950,KHM-1907-1953,1949-1950,0.994,753049,181798,113,5,pending,pending,0,0,,no_shared_cells
fao1952,indochina|fao1952|1937-1951,FID-1887-1954,indochina cambodia|fao1952|1937-1951,KHM-1907-1953,1937-1951,0.994,753049,181798,22,105,pending,pending,5,0,120.957,consistent_with_inclusion
fao1952,indochina|fao1952|1937-1951,FID-1887-1954,cambodia|fao1952|1949-1950,KHM-1907-1953,1949-1950,0.994,753049,181798,22,5,pending,pending,0,0,,no_shared_cells
fao1952,japan|fao1952|1936-1938,JPN-1895-1945,korea|fao1952|1937-1938,KOR-1800-1945,1937-1938,1.0,626507,219372,57,33,pending,pending,37,14,1.959,impossible_outer_excludes_inner
fao1952,japan|fao1952|1936-1938,JPN-1895-1945,korea south|fao1952|1938-1939,KRS-1910-1945,1938-1938,1.0,626507,97097,57,27,pending,banked_legacy,36,6,4.917,impossible_outer_excludes_inner
fao1952,japan|fao1952|1936-1938,JPN-1895-1945,china taiwan|fao1952|1937-1938,TWN-1895-1945,1937-1938,1.0,626507,35994,57,28,pending,banked_legacy,37,12,2.555,impossible_outer_excludes_inner
fao1952,japan|fao1952|1936-1938,JPN-1895-1945,ryukyu islands|fao1952|1937-1939,RYU-1937-1945,1937-1938,0.69,626507,2337,57,5,pending,banked_legacy,11,5,1.326,impossible_outer_excludes_inner
fao1952,germany|fao1952|1938-1938,DEU-1938-1945,germany western|fao1952|1938-1948,WZO-1938-1949,1938-1938,1.0,496629,247552,38,44,pending,banked_legacy,52,7,1.66,impossible_outer_excludes_inner
fao1952,germany|fao1952|1938-1938,DEU-1938-1945,germany eastern|fao1952|1938-1948,SBZ-1938-1949,1938-1938,1.0,496629,109271,38,36,pending,pending,44,7,2.677,impossible_outer_excludes_inner
fao1952,germany|fao1952|1938-1938,DEU-1938-1945,germany berlin|fao1952|1938-1939,BRL-1938-1945,1938-1938,1.0,496629,901,38,19,pending,banked_legacy,20,2,126.486,few_violations
fao1952,japan|fao1952|1947-1951,JPN-1945-1952,ryukyu islands|fao1952|1949-1951,RYU-1945-1972,1949-1951,0.694,371147,2337,283,53,pending,banked_legacy,77,6,80.667,few_violations
fao1952,germany|fao1952|1949-1951,DEU-1949-1990,germany western|fao1952|1949-1951,F78-1949-1990,1949-1951,1.0,356835,247552,75,212,pending,banked,115,11,1.614,few_violations
fao1952,germany|fao1952|1949-1951,DEU-1949-1990,germany eastern|fao1952|1949-1951,F77-1949-1990,1949-1951,1.0,356835,109271,75,76,pending,pending,91,8,3.094,few_violations
fao1952,germany|fao1952|1949-1951,DEU-1949-1990,france saar|fao1952|1948-1951,SAA-1947-1957,1949-1951,0.985,356835,2565,75,118,pending,banked,46,3,276.401,few_violations
fao1952,germany|fao1952|1949-1951,DEU-1949-1990,saar|fao1952|1949-1951,SAA-1947-1957,1949-1951,0.985,356835,2565,75,14,pending,pending,8,0,55.397,consistent_with_inclusion
fao1952,germany|fao1952|1949-1951,DEU-1949-1990,berlin|fao1952|1949-1949,BRL-1945-1949,1949-1949,1.0,356835,901,75,1,pending,banked,1,0,566.2,consistent_with_inclusion
fao1952,germany western|fao1952|1949-1951,F78-1949-1990,france saar|fao1952|1948-1951,SAA-1947-1957,1949-1951,0.985,247552,2565,212,118,banked,banked,173,6,132.4,few_violations
