verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
1,japan|mitchell|1895-1944,japan,mitchell,JPN-1895-1945,reopened,iso,1112,1895-1944,50,1895-1945,national,draft,assigned,False,True,True,False,,True,territory_basis_wrong
2,south korea|iia|1909-1944,south korea,iia,KOR-1800-1945,pending,iso,427,1909-1944,33,1800-1945,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
3,china taiwan province of|iia|1909-1944,"china, taiwan province of",iia,TWN-1895-1945,pending,applied_alias,340,1909-1944,33,1895-1945,colonial,draft,assigned,False,True,True,False,high,True,territory_basis_wrong
4,mali|mitchell|1920-1959,mali,mitchell,MLI-1890-1960,pending,iso,301,1920-1959,39,1890-1960,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
5,india|iia|1914-1936,india,iia,IND-1914-1937,pending,iso,277,1914-1936,20,1914-1937,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
6,indochina viet nam|fao1952|1937-1951,Indochina Viet Nam,fao1952,FID-1887-1954,pending,applied_alias,113,1937-1951,5,1887-1954,national,draft,assigned,False,True,True,False,medium,False,territory_basis_wrong
7,ivory coast|iia|1932-1945,ivory coast,iia,CIV-1932-1947,pending,iso,106,1932-1945,13,1932-1947,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
8,indochina cambodia|fao1952|1937-1951,Indochina Cambodia,fao1952,KHM-1907-1953,pending,applied_alias,105,1937-1951,5,1907-1953,national,draft,assigned,False,True,True,False,medium,False,territory_basis_wrong
9,burkina faso|iia|1922-1932,burkina faso,iia,BFA-1919-1932,pending,applied_alias,67,1922-1932,8,1919-1932,national,draft,assigned,False,True,True,True,high,False,territory_basis_wrong
10,mali|iia|1913-1938,mali,iia,MLI-1890-1960,pending,iso,66,1913-1938,15,1890-1960,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
11,japan|fao1952|1936-1938,Japan,fao1952,JPN-1895-1945,pending,applied_alias,57,1936-1938,3,1895-1945,national,draft,assigned,False,True,True,False,high,False,territory_basis_wrong
12,india|fao1952|1937-1940,India,fao1952,IND-1937-1947,pending,name,44,1937-1940,3,1937-1947,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
13,burkina faso|mitchell|1948-1959,burkina faso,mitchell,BFA-1947-1960,pending,iso,40,1948-1959,10,1947-1960,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
14,germany|fao1952|1938-1938,Germany,fao1952,DEU-1938-1945,pending,name,38,1938-1938,1,1938-1945,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
15,germany eastern|fao1952|1938-1948,Germany Eastern,fao1952,SBZ-1938-1949,pending,applied_alias,36,1938-1948,3,1938-1949,national,draft,assigned,False,True,True,False,high,False,territory_basis_wrong
16,korea|fao1952|1937-1938,Korea,fao1952,KOR-1800-1945,pending,name,33,1937-1938,2,1800-1945,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
17,pakistan|fao1952|1937-1940,Pakistan,fao1952,PAK-1937-1947,pending,applied_alias+name,22,1937-1940,3,1937-1947,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
18,india|mitchell|1914-1936,india,mitchell,IND-1914-1937,pending,iso,595,1914-1936,23,1914-1937,national,draft,assigned,False,True,False,False,,False,nested_reporting
19,russian federation|iia|1922-1939,russian federation,iia,F228-1921-1940,pending,applied_alias,422,1922-1939,15,1921-1940,national,draft,assigned,False,True,False,False,high,False,nested_reporting
20,india|mitchell|1893-1913,india,mitchell,IND-1893-1914,pending,iso,372,1893-1913,21,1893-1914,national,draft,assigned,False,True,False,False,,False,nested_reporting
21,china mainland|mitchell|1950-1960,"china, mainland",mitchell,CHN-1950-2025,pending,applied_alias,305,1950-1960,11,1950-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
22,china taiwan province of|mitchell|1945-1960,"china, taiwan province of",mitchell,TWN-1945-2025,pending,iso,290,1945-1960,16,1945-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
23,japan|fao1952|1947-1951,Japan,fao1952,JPN-1945-1952,pending,applied_alias,283,1947-1951,5,1945-1952,national,draft,assigned,False,True,False,False,high,False,nested_reporting
24,cyprus|mitchell|1897-1960,cyprus,mitchell,CYP-1879-2025,pending,iso,269,1897-1960,55,1879-2025,national,draft,assigned,False,True,False,False,,True,nested_reporting
25,pakistan|mitchell|1949-1960,pakistan,mitchell,PAK-1949-1971,pending,iso,244,1949-1960,12,1949-1971,national,draft,assigned,False,True,False,False,,False,nested_reporting
26,india|mitchell|1937-1946,india,mitchell,IND-1937-1947,pending,iso,207,1937-1946,10,1937-1947,national,draft,assigned,False,True,False,False,,False,nested_reporting
27,syria|fao1952|1949-1951,Syria,fao1952,SYR-1946-1967,pending,applied_alias,162,1949-1951,3,1946-1967,national,draft,assigned,False,True,False,False,high,False,nested_reporting
28,india|fao1952|1949-1951,India,fao1952,IND-1949-2025,pending,name,161,1949-1951,3,1949-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
29,south korea|mitchell|1948-1960,south korea,mitchell,KOR-1948-2025,pending,iso,148,1948-1960,13,1948-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
30,russian federation|iia|1909-1913,russian federation,iia,F228-1905-1914,pending,applied_alias,128,1909-1913,5,1905-1914,national,draft,assigned,False,True,False,False,high,False,nested_reporting
31,lebanon|fao1952|1949-1951,Lebanon,fao1952,LBN-1944-2025,pending,name,121,1949-1951,3,1944-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
32,indonesia|fao1952|1949-1951,Indonesia,fao1952,IDN-1949-1963,pending,name,114,1949-1951,3,1949-1963,national,draft,assigned,False,True,False,False,,False,nested_reporting
33,british west indies jamaica|fao1952|1938-1951,British West Indies Jamaica,fao1952,JAM-1800-2025,pending,applied_alias,112,1938-1951,6,1800-2025,national,draft,assigned,False,True,False,False,medium,False,nested_reporting
34,israel|mitchell|1948-1960,israel,mitchell,ISR-1948-1967,pending,applied_alias,103,1948-1960,13,1948-1967,national,draft,assigned,False,True,False,False,medium,False,nested_reporting
35,viet nam|mitchell|1938-1953,viet nam,mitchell,VNM-1887-1954,pending,applied_alias,83,1938-1953,14,1887-1954,national,draft,assigned,False,True,False,False,high,False,nested_reporting
36,austria|iia|1909-1917,austria,iia,AUT-1800-1918,pending,iso,77,1909-1917,9,1800-1918,national,draft,assigned,False,True,False,False,,True,nested_reporting
37,germany eastern|fao1952|1949-1951,Germany Eastern,fao1952,F77-1949-1990,pending,applied_alias,76,1949-1951,3,1949-1990,national,draft,assigned,False,True,False,False,medium,False,nested_reporting
38,germany|fao1952|1949-1951,Germany,fao1952,DEU-1949-1990,pending,name,75,1949-1951,3,1949-1990,national,draft,assigned,False,True,False,False,,False,nested_reporting
39,malaya federation of|fao1952|1948-1951,Malaya Federation of,fao1952,MYS-1946-1957,pending,applied_alias,69,1948-1951,4,1946-1957,national,draft,assigned,False,True,False,False,high,False,nested_reporting
40,hong kong|fao1952|1937-1951,Hong Kong,fao1952,HKG-1842-2025,pending,name,56,1937-1951,5,1842-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
41,china mainland|iia|1922-1931,"china, mainland",iia,CHN-1921-1932,pending,applied_alias,54,1922-1931,7,1921-1932,national,draft,assigned,False,True,False,False,high,False,nested_reporting
42,singapore|fao1952|1948-1951,Singapore,fao1952,SGP-1946-1963,pending,name,54,1948-1951,4,1946-1963,colonial,draft,assigned,False,True,False,False,,False,nested_reporting
43,korea|mitchell|1945-1948,korea,mitchell,KOR-1945-1948,pending,name,46,1945-1948,4,1945-1948,national,draft,assigned,False,True,False,True,,False,nested_reporting
44,china mainland|mitchell|1947-1948,"china, mainland",mitchell,CHN-1947-1949,pending,applied_alias,45,1947-1948,2,1947-1949,national,draft,assigned,False,True,False,False,high,False,nested_reporting
45,united kingdom|iia|1909-1920,united kingdom,iia,GBR-1800-1921,pending,iso,42,1909-1920,12,1800-1921,national,draft,assigned,False,True,False,False,,True,nested_reporting
46,china mainland|mitchell|1945-1946,"china, mainland",mitchell,CHN-1945-1947,pending,applied_alias,36,1945-1946,2,1945-1947,national,draft,assigned,False,True,False,False,high,False,nested_reporting
47,india|mitchell|1886-1892,india,mitchell,IND-1886-1893,pending,iso,35,1886-1892,7,1886-1893,national,draft,assigned,False,True,False,False,,False,nested_reporting
48,china mainland|mitchell|1949-1949,"china, mainland",mitchell,CHN-1949-1950,pending,applied_alias,30,1949-1949,1,1949-1950,national,draft,assigned,False,True,False,False,high,False,nested_reporting
49,somalia|mitchell|1920-1959,somalia,mitchell,ITS-1908-1960,pending,applied_alias,30,1920-1959,11,1908-1960,national,draft,assigned,False,True,False,False,high,False,nested_reporting
50,indonesia java and madura|fao1952|1949-1951,Indonesia Java and Madura,fao1952,IDN-JVM-1949-1951,pending,applied_alias,27,1949-1951,3,1949-1951,subnational,draft,proxy,False,True,False,True,high,False,nested_reporting
51,cambodia|mitchell|1948-1952,cambodia,mitchell,KHM-1907-1953,pending,iso,26,1948-1952,5,1907-1953,national,draft,assigned,False,True,False,False,,False,nested_reporting
52,indonesia bali and lombok|fao1952|1949-1951,Indonesia Bali and Lombok,fao1952,IDN-BLB-1949-1951,reopened,applied_alias,24,1949-1951,3,1949-1951,subnational,draft,proxy,False,True,False,True,high,False,nested_reporting
53,israel palestine|mitchell|1925-1948,israel/palestine,mitchell,PAL-1920-1948,pending,applied_alias,24,1925-1948,24,1920-1948,national,draft,assigned,False,True,False,True,high,False,nested_reporting
54,indochina|fao1952|1937-1951,Indochina,fao1952,FID-1887-1954,pending,applied_alias,22,1937-1951,5,1887-1954,national,draft,assigned,False,True,False,False,,False,nested_reporting
55,jamaica|fao1952|1938-1951,Jamaica,fao1952,JAM-1800-2025,pending,name,22,1938-1951,4,1800-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
56,malaya fed of|fao1952|1949-1951,Malaya Fed of,fao1952,MYS-1946-1957,pending,applied_alias,22,1949-1951,3,1946-1957,national,draft,assigned,False,True,False,False,high,False,nested_reporting
57,russian federation|iia|1940-1944,russian federation,iia,F228-1940-1945,pending,applied_alias,22,1940-1944,5,1940-1945,national,draft,assigned,False,True,False,False,high,False,nested_reporting
