polity_code,start_year,end_year,cow_code,polity_type,our_source,our_km2,border_verdict,n_reference_borders,reference_covers,reference_bookkeeping_steps,reference_km2_at_start,reference_km2_at_end,max_step_ratio,change_years,reference_iou,source_gap_pct
ABW-1800-2025,1800,2025,,territory,gadm-4.1-adm0,182,no_reference,0,,0,,,,,,
ADE-1839-1967,1839,1967,,colonial,cshapes-2.0,287116,no_reference,0,,0,,,,,,
AEF-1910-1960,1910,1960,,national,constructed,2495130,no_reference,0,,0,,,,,,
AFG-1800-1893,1800,1893,700,national,cshapes-2.0,809046,stable_where_covered,1,1886-1892,1,808996,808996,,,0.999,0.01
AFG-1893-1919,1893,1919,700,national,cshapes-2.0,641971,stable_confirmed,1,1893-1918,0,641913,641913,,,0.999,0.01
AFG-1919-2025,1919,2025,700,national,cshapes-2.0,641971,stable_where_covered,1,1919-2019,0,641913,641913,,,0.999,0.01
AGO-1816-2025,1816,2025,540,national,cshapes-2.0,1247103,reference_mismatch,3,1886-2019,1,409489,1247353,3.283,1891;1905,0.328,204.55
AGO-1975-2025,1975,2025,540,national,cshapes-2.0,1247103,stable_where_covered,1,1975-2019,0,1247353,1247353,,,0.999,-0.02
AIA-1800-2025,1800,2025,,territory,gadm-4.1-adm0,80,no_reference,0,,0,,,,,,
ALB-1913-2025,1913,2025,339,national,cshapes-2.0,28624,stable_where_covered,1,1913-2019,2,28656,28656,,,0.995,-0.11
ALK-1867-1959,1867,1959,,subnational,gadm-4.1-adm1,1505729,no_reference,0,,0,,,,,,
AMI-1946-1953,1946,1953,,colonial,none,,no_reference,0,,0,,,,,,
AND-1800-2025,1800,2025,,national,cshapes-europe,498,no_reference,0,,0,,,,,,
ANG-1800-1890,1800,1890,,national,cshapes-2.0,409450,no_reference,0,,0,,,,,,
ANG-1890-1891,1890,1891,,national,cshapes-2.0,1036997,no_reference,0,,0,,,,,,
ANG-1891-1905,1891,1905,,national,cshapes-2.0,1343959,no_reference,0,,0,,,,,,
ANG-1905-1975,1905,1975,540,national,cshapes-2.0,1247103,stable_confirmed,1,1905-1974,0,1247353,1247353,,,0.999,-0.02
ANT-1816-1961,1816,1961,,colonial,reporting-areas,795,no_reference,0,,0,,,,,,
ANT-1961-2010,1961,2010,,aggregate,reporting-areas,795,no_reference,0,,0,,,,,,
AOF-1895-1960,1895,1960,430,national,constructed,4623068,changed,3,1895-1904,0,5621872,3799611,1.47,1898;1902,0.565,-17.77
AOI-1936-1941,1936,1941,,aggregate,constructed,1712684,no_reference,0,,0,,,,,,
ARE-1892-2025,1892,2025,696,national,cshapes-2.0,70407,stable_where_covered,1,1892-2019,2,70368,70368,,,0.997,0.06
ARG-1800-1899,1800,1899,160,national,cshapes-2.0,2778430,stable_where_covered,1,1886-1898,0,2778351,2778351,,,0.999,0.0
ARG-1800-2025,1800,2025,160,national,cshapes-2.0,2781055,changed,3,1886-2019,0,2778351,2780960,1.017,1899;1902,0.967,0.1
ARG-1899-1902,1899,1902,160,national,cshapes-2.0,2825713,stable_confirmed,1,1899-1901,0,2825644,2825644,,,0.999,0.0
ARG-1902-2025,1902,2025,160,national,cshapes-2.0,2781055,stable_where_covered,1,1902-2019,0,2780960,2780960,,,0.999,0.0
ARG-BA-1853-2025,1853,2025,,subnational,gadm-4.1-adm1,306864,no_reference,0,,0,,,,,,
ARG-CAT-1853-2025,1853,2025,,subnational,gadm-4.1-adm1,101282,no_reference,0,,0,,,,,,
ARG-CF-1880-2025,1880,2025,,subnational,gadm-4.1-adm1,211,no_reference,0,,0,,,,,,
ARG-CHACO-1884-1951,1884,1951,,subnational,gadm-4.1-adm1,99747,no_reference,0,,0,,,,,,
ARG-CHACO-1951-2025,1951,2025,,subnational,gadm-4.1-adm1,,no_reference,0,,0,,,,,,
ARG-CHUBUT-1884-2025,1884,2025,,subnational,gadm-4.1-adm1,224574,no_reference,0,,0,,,,,,
ARG-CORDOBA-1853-2025,1853,2025,,subnational,gadm-4.1-adm1,164451,no_reference,0,,0,,,,,,
ARG-CORRIENTES-1853-2025,1853,2025,,subnational,gadm-4.1-adm1,88953,no_reference,0,,0,,,,,,
ARG-ER-1853-2025,1853,2025,,subnational,gadm-4.1-adm1,78010,no_reference,0,,0,,,,,,
ARG-FORMOSA-1900-1955,1900,1955,,subnational,gadm-4.1-adm1,75586,no_reference,0,,0,,,,,,
ARG-FORMOSA-1955-2025,1955,2025,,subnational,gadm-4.1-adm1,,no_reference,0,,0,,,,,,
ARG-JUJUY-1853-2025,1853,2025,,subnational,gadm-4.1-adm1,53141,no_reference,0,,0,,,,,,
