layer_b_label,item,unit,when,value,raw_label,raw_product,variable,n_products_searched,n_raw_rows_in_cell,cells_for_this_label,cells_in_series
algeria,grapes,ha,1909,154456,french algeria,vineyards,area,8,23,24,24
algeria,grapes,ha,1910,145633,french algeria,vineyards,area,8,27,24,24
algeria,grapes,ha,1911,145026,french algeria,vineyards,area,8,30,24,24
algeria,grapes,ha,1912,148754,french algeria,vineyards,area,8,29,24,24
algeria,grapes,ha,1913,148581,french algeria,vineyards,area,8,28,24,24
algeria,grapes,ha,1914,150621,french algeria,vineyards,area,8,32,24,24
algeria,grapes,ha,1915,151561,french algeria,vineyards,area,8,32,24,24
algeria,grapes,ha,1916,177475,french algeria,vineyards,area,8,31,24,24
algeria,grapes,ha,1917,132964,french algeria,vineyards,area,8,28,24,24
algeria,grapes,ha,1919,196300,french algeria,vineyards,area,8,24,24,24
algeria,grapes,ha,1920,216000,french algeria,vineyards,area,8,22,24,24
algeria,grapes,ha,1921,173545,french algeria,vineyards,area,8,17,24,24
algeria,grapes,ha,1928-1932,345000,french algeria,vineyards: all,area,8,49,24,24
algeria,grapes,ha,1933,4360,french algeria,grapes: table,area,8,63,24,24
algeria,grapes,ha,1934,405000,french algeria,vineyards: all,area,8,44,24,24
algeria,grapes,ha,1934-1938,406000,french algeria,vineyards: all,area,8,102,24,24
algeria,grapes,ha,1935,408000,french algeria,vineyards: all,area,8,47,24,24
algeria,grapes,ha,1936,396000,french algeria,vineyards: all,area,8,38,24,24
algeria,grapes,ha,1937,408000,french algeria,vineyards: all,area,8,32,24,24
algeria,grapes,ha,1939,411000,french algeria,vineyards: all,area,8,66,24,24
algeria,grapes,ha,1940,407000,french algeria,vineyards: all,area,8,64,24,24
algeria,grapes,ha,1942,385000,french algeria,vineyards: all,area,8,53,24,24
algeria,grapes,ha,1943,367000,french algeria,vineyards: all,area,8,54,24,24
algeria,grapes,ha,1944,362000,french algeria,vineyards: all,area,8,46,24,24
australia,cotton seed,ha,1909-1913,150,australia,cottonseed,area,1,38,9,17
australia,cotton seed,ha,1922,15619,australia,cottonseed,area,1,51,9,17
australia,cotton seed,ha,1923,16801,australia,cottonseed,area,1,51,9,17
australia,cotton seed,ha,1924,20337,australia,cottonseed,area,1,53,9,17
australia,cotton seed,ha,1925,15681,australia,cottonseed,area,1,38,9,17
australia,cotton seed,ha,1925-1929,7419,australia: queensland,cottonseed,area,1,82,8,17
australia,cotton seed,ha,1928-1932,13000,australia,cottonseed,area,1,75,9,17
australia,cotton seed,ha,1930,9086,australia: queensland,cottonseed,area,1,78,8,17
australia,cotton seed,ha,1931,12138,australia: queensland,cottonseed,area,1,79,8,17
australia,cotton seed,ha,1932,27600,australia: queensland,cottonseed,area,1,69,8,17
