whep_code,item,unit,year,n_rows,n_distinct,n_labels,n_sources,verdict,composition,v_min,v_max,published_mean,ratio_mean_max,labels,sources
AEF-1910-1960,horses mules asses,1000 heads,1939,2,2,1,1,values_differ,one_label_one_source,31,61,46,0.754098,French Equat Africa,fao1952
AEF-1910-1960,horses mules asses,1000 heads,1949,2,2,1,1,values_differ,one_label_one_source,66,104,85,0.817308,French Equat Africa,fao1952
AEF-1910-1960,horses mules asses,1000 heads,1950,2,2,1,1,values_differ,one_label_one_source,62,104,83,0.798077,French Equat Africa,fao1952
AEF-1910-1960,horses mules asses,1000 heads,1951,2,2,1,1,values_differ,one_label_one_source,66,98,82,0.836735,French Equat Africa,fao1952
AEF-1910-1960,other meat,1000 tonnes,1948,2,2,1,1,values_differ,one_label_one_source,0.2,1,0.6,0.6,French Equat Africa,fao1952
AFG-1919-2025,horses mules asses,1000 heads,1949,3,3,1,1,values_differ,one_label_one_source,200,1000,566.666667,0.566667,Afghanistan,fao1952
ALB-1913-2025,horses mules asses,1000 heads,1938,3,3,1,1,values_differ,one_label_one_source,10,54,36.333333,0.67284,Albania,fao1952
ALB-1913-2025,r_fao_population_1952_10_18,1000 people,1937,2,2,1,1,values_differ,one_label_one_source,800,1030,915,0.88835,Albania,fao1952
ALK-1867-1959,other meat,1000 tonnes,1950,2,2,1,1,values_differ,one_label_one_source,0.1,0.3,0.2,0.666667,Alaska,fao1952
ALK-1867-1959,other meat,1000 tonnes,1951,2,2,1,1,values_differ,one_label_one_source,0.1,0.3,0.2,0.666667,Alaska,fao1952
ALK-1867-1959,r_fao_population_1952_10_18,1000 people,1951,2,2,1,1,values_differ,one_label_one_source,2,140,71,0.507143,Alaska,fao1952
ANG-1905-1975,horses mules asses,1000 heads,1939,2,2,1,1,values_differ,one_label_one_source,1,4,2.5,0.625,Angola,fao1952
ANG-1905-1975,horses mules asses,1000 heads,1950,2,2,1,1,values_differ,one_label_one_source,1,3,2,0.666667,Angola,fao1952
ANG-1905-1975,meat,1000 tonnes,1949,3,3,1,1,values_differ,one_label_one_source,1,5,3.333333,0.666667,Angola,fao1952
ANG-1905-1975,meat,1000 tonnes,1950,3,3,1,1,values_differ,one_label_one_source,1,4,2.666667,0.666667,Angola,fao1952
ANT-1816-1961,phosphate rock,1000 tonnes,1949,2,2,1,1,values_differ,one_label_one_source,31,90,60.5,0.672222,NetherlandsWest Indies,fao1952
ANT-1816-1961,phosphate rock,1000 tonnes,1950,2,2,1,1,values_differ,one_label_one_source,32,92,62,0.673913,NetherlandsWest Indies,fao1952
ANT-1816-1961,phosphate rock,1000 tonnes,1951,2,2,1,1,values_differ,one_label_one_source,32,92,62,0.673913,NetherlandsWest Indies,fao1952
AOF-1895-1960,horses mules asses,1000 heads,1939,2,2,1,1,values_differ,one_label_one_source,177,469,323,0.688699,French West Africa,fao1952
AOF-1895-1960,horses mules asses,1000 heads,1949,2,2,1,1,values_differ,one_label_one_source,198,542,370,0.682657,French West Africa,fao1952
AOF-1895-1960,horses mules asses,1000 heads,1950,2,2,1,1,values_differ,one_label_one_source,207,557,382,0.685817,French West Africa,fao1952
AOF-1895-1960,horses mules asses,1000 heads,1951,2,2,1,1,values_differ,one_label_one_source,202,560,381,0.680357,French West Africa,fao1952
AOF-1895-1960,meat,1000 tonnes,1949,3,3,1,1,values_differ,one_label_one_source,3,38,25.333333,0.666667,French West Africa,fao1952
AOF-1895-1960,meat,1000 tonnes,1950,3,3,1,1,values_differ,one_label_one_source,3,39,26,0.666667,French West Africa,fao1952
AOF-1895-1960,oranges tangerines clementines,1000 tonnes,1950,2,2,1,1,values_differ,one_label_one_source,2,58,30,0.517241,French West Africa,fao1952
AOF-1895-1960,other meat,1000 tonnes,1948,2,2,1,1,values_differ,one_label_one_source,1,2,1.5,0.75,French West Africa,fao1952
AOF-1895-1960,poultry,1000 heads,1949,2,2,1,1,values_differ,one_label_one_source,800,12000,6400,0.533333,French West Africa,fao1952
AOF-1895-1960,poultry,1000 heads,1950,2,2,1,1,values_differ,one_label_one_source,800,12000,6400,0.533333,French West Africa,fao1952
ARG-1902-2025,commercial phosphoric acid,1000 tonnes,1949,2,2,1,1,values_differ,one_label_one_source,5,6.5,5.75,0.884615,Argentina,fao1952
ARG-1902-2025,commercial phosphoric acid,1000 tonnes,1950,2,2,1,1,values_differ,one_label_one_source,7,9,8,0.888889,Argentina,fao1952
ARG-1902-2025,commercial phosphoric acid,1000 tonnes,1951,2,2,1,1,values_differ,one_label_one_source,7,9,8,0.888889,Argentina,fao1952
ARG-1902-2025,horses mules asses,1000 heads,1937,3,3,1,1,values_differ,one_label_one_source,264,8319,3033.333333,0.364627,Argentina,fao1952
ARG-1902-2025,meat,1000 tonnes,1949,4,4,1,1,values_differ,one_label_one_source,110,1027,388,0.377799,Argentina,fao1952
ARG-1902-2025,meat,1000 tonnes,1950,4,4,1,1,values_differ,one_label_one_source,69,1184,592,0.5,Argentina,fao1952
ARG-1902-2025,meat,1000 tonnes,1951,4,4,1,1,values_differ,one_label_one_source,51,987,493.5,0.5,Argentina,fao1952
AUS-1901-2025,commercial nitrogenous fertilizers,1000 tonnes,1949,2,2,1,1,values_differ,one_label_one_source,9.9,15.4,12.65,0.821429,Australia,fao1952
AUS-1901-2025,commercial nitrogenous fertilizers,1000 tonnes,1950,2,2,1,1,values_differ,one_label_one_source,11,16.2,13.6,0.839506,Australia,fao1952
AUS-1901-2025,commercial nitrogenous fertilizers,1000 tonnes,1951,2,2,1,1,values_differ,one_label_one_source,11.3,15.6,13.45,0.862179,Australia,fao1952
AUS-1901-2025,commercial phosphoric acid,1000 tonnes,1949,2,1,1,1,values_identical,one_label_one_source,331,331,331,1,Australia,fao1952
AUS-1901-2025,commercial phosphoric acid,1000 tonnes,1950,2,1,1,1,values_identical,one_label_one_source,346,346,346,1,Australia,fao1952
AUS-1901-2025,commercial phosphoric acid,1000 tonnes,1951,2,1,1,1,values_identical,one_label_one_source,379.1,379.1,379.1,1,Australia,fao1952
AUS-1901-2025,commercial potash fertilizers,1000 tonnes,1949,2,2,1,1,values_differ,one_label_one_source,0.8,7.8,4.3,0.551282,Australia,fao1952
AUS-1901-2025,dried milk,1000 tonnes,1949,2,2,1,1,values_differ,one_label_one_source,6,20,13,0.65,Australia,fao1952
AUS-1901-2025,dried milk,1000 tonnes,1950,2,2,1,1,values_differ,one_label_one_source,9,23,16,0.695652,Australia,fao1952
AUS-1901-2025,dried milk,1000 tonnes,1951,2,2,1,1,values_differ,one_label_one_source,6,19,12.5,0.657895,Australia,fao1952
AUS-1901-2025,horses mules asses,1000 heads,1939,3,2,1,1,values_differ,one_label_one_source,0,724,241.333333,0.333333,Australia,fao1952
AUS-1901-2025,meat,1000 tonnes,1949,4,4,1,1,values_differ,one_label_one_source,72,603,286,0.474295,Australia,fao1952
AUS-1901-2025,meat,1000 tonnes,1950,4,4,1,1,values_differ,one_label_one_source,21,632,260.5,0.412184,Australia,fao1952
