whole_code,part_code,source,year_first,year_last,whole_labels,part_labels,whole_method,part_method,shared_item_units,shared_cells,alias_visible
AEF-1910-1960,CAF-1919-1960,iia,1922,1931,congo,central african republic,alias;applied_alias,iso,4,10,no
AEF-1910-1960,GAB-1919-1960,iia,1919,1932,congo,gabon,alias;applied_alias,iso,8,17,no
AEF-1910-1960,TCD-1919-1960,iia,1922,1924,congo,chad,alias;applied_alias,iso,2,6,no
AEF-1910-1960,TCD-1919-1960,mitchell,1939,1951,French Equat Africa,chad,alias,iso,0,0,no
AOI-1936-1941,ERI-1889-1952,fao1952,1937,1941,Africa Orientale Italiana;Ethiopia;Italian East Africa,eritrea,alias,name,34,66,no
AOI-1936-1941,ERI-1889-1952,iia,1936,1937,Africa Orientale Italiana;Ethiopia;Italian East Africa,eritrea,alias,iso,1,0,no
IDN-1949-1963,IDN-BLB-1949-1951,fao1952,1949,1951,indonesia,Indonesia Bali and Lombok;indonesia bali and lombok,name,alias;applied_alias,2,6,no
IDN-1949-1963,IDN-JVM-1949-1951,fao1952,1949,1951,indonesia,Indonesia Java and Madura;indonesia java and madura,name,alias;applied_alias,2,6,no
IDN-1949-1963,IDN-OTH-1949-1951,fao1952,1949,1951,indonesia,Indonesia Other islands;indonesia other islands,name,alias;applied_alias,2,6,no
JPN-1895-1945,RYU-1937-1945,iia,1937,1944,japan,Ryukyu Islands,iso,alias,0,0,no
JPN-1895-1945,RYU-1937-1945,mitchell,1937,1944,japan,Ryukyu Islands,iso,alias,0,0,no
MASG-1946-1963,SGP-1946-1963,fao1952,1948,1951,Malaya Federation of and Singapore;malaya federation of and singapore,singapore,alias;applied_alias,name,1,2,no
SYL-1944-1953,LBN-1944-2025,fao1952,1949,1951,Syria and Lebanon;syria and lebanon,lebanon,alias;applied_alias,name,0,0,no
AOI-1936-1941,ETH-1936-1941,fao1952,1936,1941,Africa Orientale Italiana;Ethiopia;Italian East Africa,ethiopia,alias,alias;applied_alias,56,136,yes
AOI-1936-1941,ETH-1936-1941,iia,1936,1941,Africa Orientale Italiana;Ethiopia;Italian East Africa,ethiopia;ethiopia pdr,alias,alias;iso,1,1,yes
