source,country,item,unit,constant,n_values,year_first,year_last,series_n,grid,finest_elsewhere,n_finer_elsewhere,finer_in_volume_year,finer_in_volume_value,verdict,precision_era,precision_grid
juan,iceland,potatoes,ha,1000.000,20,1933,1957,21,1000,400.000,1,,,UNDETERMINED,all,mixed
juan,malta,grapes,ha,1000.000,20,1933,1956,33,1000,600.000,11,,,UNDETERMINED,all,mixed
juan,luxembourg,grapes,ha,1000.000,17,1933,1959,45,1000,1200.000,28,,,UNDETERMINED,all,mixed
juan,norway,wheat,ha,5000.000,15,1900,1914,64,1000,4300.000,20,,,UNDETERMINED,all,mixed
juan,colombia,cocoa beans,tonnes,3000.000,14,1901,1914,60,1000,3670.900,21,,,UNDETERMINED,all,mixed
juan,luxembourg,grain mixed,ha,1000.000,14,1939,1953,38,1000,2400.000,11,,,UNDETERMINED,all,mixed
juan,costa rica,tobacco unmanufactured,ha,1000.000,13,1939,1955,32,1000,417.000,15,,,UNDETERMINED,all,mixed
juan,switzerland,tobacco unmanufactured,ha,1000.000,13,1933,1945,59,1000,100.000,34,,,UNDETERMINED,all,mixed
juan,malta,barley,ha,2000.000,12,1943,1956,47,1000,1700.000,22,,,UNDETERMINED,all,mixed
juan,malta,wheat,ha,2000.000,12,1944,1959,45,1000,3500.000,22,,,UNDETERMINED,all,mixed
juan,switzerland,tobacco unmanufactured,ha,1000.000,12,1948,1959,59,1000,100.000,34,,,UNDETERMINED,all,mixed
iia,australia,lemons and limes,ha,2000.000,11,1933,1944,14,1000,896.000,3,1930,896.000,NOT ATTRIBUTABLE,straddles-1934,
iia,grenada,cotton lint,tonnes,100.000,11,1935,1945,31,100,16.200,18,,,EXPLAINED,1934+,100
iia,new zealand,tobacco unmanufactured,ha,1000.000,11,1934,1945,20,1000,11.000,9,,,EXPLAINED,1934+,1000
juan,italy,sesame seed,ha,1000.000,11,1945,1955,26,1000,337.000,10,,,UNDETERMINED,all,mixed
juan,switzerland,maize,ha,1000.000,11,1930,1940,53,1000,1100.000,23,,,UNDETERMINED,all,mixed
iia,india,sesame seed,ha,1000.000,10,1934,1945,18,1000,2016349.000,8,,,EXPLAINED,1934+,1000
iia,south africa,tea,ha,1000.000,10,1933,1943,27,1000,785.000,17,1930,799.000,NOT ATTRIBUTABLE,straddles-1934,
iia,viet nam,cotton lint,tonnes,100.000,10,1934,1944,14,100,20.000,4,,,EXPLAINED,1934+,100
juan,argentina,soybeans,ha,1000.000,10,1950,1960,19,1000,2.000,9,,,UNDETERMINED,all,mixed
juan,denmark,potatoes,ha,54000.000,10,1902,1911,85,1000,54100.000,21,,,UNDETERMINED,all,mixed
iia,australia,wine,ha,20000.000,9,1935,1944,16,10000,18787.000,7,1934,19000.000,EXPLAINED,1934+,1000
iia,niger,tobacco unmanufactured,ha,1000.000,9,1934,1944,13,1000,200.000,4,,,EXPLAINED,1934+,1000
iia,saint lucia,lemons and limes,ha,1000.000,9,1934,1945,12,1000,1070.000,3,,,EXPLAINED,1934+,1000
iia,saint vincent and the grenadines,cacao beans,ha,400.000,9,1909,1917,18,100,305.000,2,,,REFUTED,pre-1934,fine
iia,trinidad and tobago,coffee green,ha,1700.000,9,1909,1917,20,100,320.000,7,1919,3593.000,REFUTED,pre-1934,fine
juan,denmark,potatoes,ha,52000.000,9,1888,1896,85,1000,54100.000,21,,,UNDETERMINED,all,mixed
juan,france,hemp tow waste,ha,4000.000,9,1936,1944,89,1000,2300.000,33,,,UNDETERMINED,all,mixed
juan,france,hempseed,ha,4000.000,9,1936,1944,89,1000,2300.000,33,,,UNDETERMINED,all,mixed
