polity_code,item,unit,year,sources,labels,value_min,value_max,ratio,known_defect
F51-1918-1938,wheat,tonnes,1930,iia;juan,czech republic;czechoslovakia,311.9,1.377e+06,4415.7743,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1930,iia;juan,czech republic;czechoslovakia,239,7.95e+05,3326.3598,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1933,iia;juan,czech republic;czechoslovakia,700.2,1.984e+06,2833.3333,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,grapes,ha,1930,iia;juan,czech republic;czechoslovakia,8,1.75e+04,2187.5000,iia-item-series-switch-raw-products;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1933,iia;juan,czech republic;czechoslovakia,440,9.19e+05,2088.6364,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1931,iia;juan,czech republic;czechoslovakia,553.6,1.122e+06,2027.0051,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,tonnes,1932,iia;juan,czech republic;czechoslovakia,1012,1.462e+06,1444.7101,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1931,iia;juan,czech republic;czechoslovakia,607,8.284e+05,1364.7446,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,wheat,ha,1932,iia;juan,czech republic;czechoslovakia,829,8.354e+05,1007.7201,iia-item-series-switch-raw-products;iia-layerb-magnitude-scale-inconsistent;iia-wheat-is-spelt-and-meslin;layerb-nested-reporting-levels-one-polity
F51-1918-1938,grapes,ha,1932,iia;juan,czech republic;czechoslovakia,20,1.91e+04,955.0000,iia-item-series-switch-raw-products;layerb-nested-reporting-levels-one-polity
