issue_id,polity_code,source,label,year_min,year_max,commodity,status,summary,date_logged
chn-1895-1913-groundnut-outlier-data-error,CHN-1895-1913,iia,"china, mainland",1909,1913,groundnuts,pending_audit,Two suspicious iia values: area=2663 ha and production=2873.5 t are implausibly low; a third value of 2460450 t is implausibly high. The low values likely reflect a Chinese unit (thousand piculs/shi) mis-labeled as ha/tonnes in layer_b consolidation. The 2460450 t value is characteristic of 1930s iia data (IIA 1934-1938 averages: 2.32-2.71 Mt) and is either a temporally misassigned 1930s row or a unit-mismatch between an old iia pub (1000 quintals) and a newer pub (metric tonnes). Historical range for China groundnut production ca. 1909-1913 was likely 50k-200k t (Mitchell shows 404k t by 1922; iia export figures exceed 52k t in 1909-1913 average). Audit required: (1) trace raw source document for 2460450 t value; (2) verify unit column for 2873.5 t and 2663 ha in older iia pub; (3) flag both observations as unit-unverified and exclude from production aggregation until resolved. Polity CHN-1895-1913 itself is correct (CShapes 2.0 feature 710 vintage 1899).,2026-06-29
chn-1949-1950-goats-mitchell-data-error,CHN-1949-1971,mitchell,"china, mainland",1945,1960,goats,confirmed,"Confirmed data ingestion error in data/external/before_1961.csv for China mainland goats sourced from mitchell/page251-300.xlsx sheet page_41_table_1. Root cause: the import script applied a wrong unit multiplier to the raw Excel values (which are in thousands, unit column B=1000), yielding values ~1001x too large for 1950-1960 and ~2x too large for 1945-1947. Specifically: the reviewed Excel has raw values like 1821 (1950) in column J; these should be multiplied by 1000 to get heads (1821000 goats in 1950), but stored values are e.g. 1822821000 = 1821 * 1001 * 1000. For 1945-1947 the Excel goats values (13249 13609 13976) are stored as 26498000 / 27218000 / 27952000 = exactly 2000x each raw value instead of 1000x. The 1949 cell J7 is a text annotation '16130 millions'; the import parsed the numeric part 16130 and stored 16146130 which is only 0.1% above the correct ~16130000 and is plausible. No territorial or polity-boundary action needed. Action required: fix the import pipeline to apply unit multiplier x1000 only (not x1001000) for China mainland goats rows from page_41_table_1 then regenerate before_1961.csv and re-run the flag pipeline. The corrected 1950 value should be 1821000 heads (not 1.82 billion); 1950-1960 series should all be divided by 1001; 1945-1947 series should be divided by 2. Source file: /home/usuario/Nextcloud/WHEP_ERC 2025/Sources/data_raw/sources_reviewed/mitchell/Agriculture without Europe data/page251-300.xlsx sheet page_41_table_1 column J (Goats).",2026-06-29
australia-fiji-fao1952-data-error,,r_fao_crops_1952_76_77,Australia Fiji,1949,1950,groundnuts,confirmed,"Confirmed digitisation error in r_fao_crops_1952_76_77_groundnuts.xlsx. The original FAO 1952 PDF (page 77, OCEANIA section) shows two distinct rows — Australia and Fiji — which were merged into the compound label 'Australia Fiji' during manual data entry; additionally, Australia's 1949 production was recorded as 81 (instead of 8) and 1950 as 61 (instead of 6), because the digit '1' from the Fiji row immediately below was concatenated to Australia's figures. Yield cross-check confirms corrections: 8000 t / 7000 ha = 1.14 t/ha matches PDF yield 11.2 (100 kg/ha); 6000 t / 7000 ha = 0.86 t/ha matches PDF yield 8.0. No alias is emitted — the label is erroneous and must not be routed anywhere. Required actions: (1) split the merged xlsx row back into two rows; (2) fix Australia production 1949 from 81->8 and 1950 from 61->6; (3) route corrected Australia rows to AUS-1901-2025; (4) route Fiji rows to FJI-1800-2025 (Fiji has no area data, production ~1 thousand t).",2026-07-02
united-states-california-double-count,,fao1952,United States California,1949,1951,grapes,excluded,"Sub-national US state label from fao1952 (grape production/area, 1949-1951). California's output is already included in the 'United States' national total rows in the same source; routing this label to USA-1867-1959 would double-count approximately 161-225 kt of grape production against the ~2415-3071 kt national aggregate. No alias emitted and no polity action required. If sub-national US state data is ever required, a separate California polity entry flagged as a component of USA-1867-1959 and excluded from national aggregation would be the appropriate path.",2026-07-02
iia-layerb-magnitude-scale-inconsistent,,iia,(all iia labels),1909,1945,wheat (and other staples),pending_audit,"iia magnitudes in layer B are not on a common scale, so the magnitude_continuity check of assertion verification is UNUSABLE for iia assertions (27 of the 158 assertions the legacy bare-label tier was hiding, including the tier's largest, serbia|iia|1920-1944 at 573 rows). Measured on consolidated_layer_b.parquet (26,175 iia rows, 164 labels, 1909-1945), median wheat production in 'tonnes': canada 756,867; denmark 690,589; sweden 497,275; germany 293,228; france 101,145; united kingdom 96,525; serbia 14,618; netherlands 1,103. Denmark and Sweden are plausible for the interwar period; France (~8 Mt), Germany (~4-5 Mt), Canada (~10-14 Mt) and the Netherlands (~150 kt) are one to two orders of magnitude low, so the error is per-table, not a single global factor that could be divided out. Area is affected too: median wheat area in 'ha' 1930-1938 is russian federation 125,800, serbia 58,000, czech republic 5,000 - the USSR/Serbia ratio is 2.2 where the real one is ~90. Within one series the scale also flips: serbia wheat area is 58,000 ha for 1934 and 17,000 ha for the 1934-1938 average. Audit required: trace the unit column and any multiplier applied per iia publication/table during layer_b consolidation. Until then, iia assertions must be verified on scope/vintage/documentary grounds only and a verifier must not read iia staple_magnitudes as evidence of reporting scope. No polity or territorial action follows from this row. AUDIT DISCHARGED 2026-08-20, AND EVERY LEG OF THE DIAGNOSIS ABOVE IS REFUTED. The entry asked to 'trace the unit column and any multiplier applied per iia publication/table during layer_b consolidation'. Done: of all 12,052 layer-B iia `tonnes` rows, 10,810 (89.7%) carry a value that appears VERBATIM among the raw extract's production values for the same year, and only 112 (0.9%) need a power-of-ten factor to find a raw match -- x10 29, x100 49, x1000 34, which is the size of the already-confirmed iia-tobacco-implausible-magnitudes / iia-hops-x100 / iia-1933-x10-wrong-volume-cells classes rather than a new one. A per-table rescaling during consolidation would produce a LOW verbatim rate; 90% is incompatible with it. THE MAGNITUDE EVIDENCE WAS A WRONG-ITEM COMPARISON. Both legs cited `wheat`, and iia-wheat-is-spelt-and-meslin (confirmed, logged later) establishes that the iia `wheat` item is spelt and meslin -- the raw extract carries ZERO wheat production rows. Against raw spelt+meslin the layer-B medians are the SAME series, not one to two orders low: canada 756,867 vs 771,015; denmark 690,589 vs 745,022; sweden 497,275 vs 502,537; france 101,145 vs 97,650; uk 96,525 vs 87,906 (uk: england and wales). Those are plausible magnitudes for the crop they actually are -- Danish and Swedish blandsaed, French meteil, Canadian mixed grain -- and the Netherlands' 1,103 t, flagged here as absurd for wheat, is unremarkable for a minor mixed grain. THE AREA RATIO IS CORRECT IN LAYER B. This entry reads the USSR/Serbia area ratio as 2.2 'where the real one is ~90'; ~90 is a WHEAT ratio. For spelt+meslin the comparable raw quantity is the per-year SUM of the two products, and its medians give ussr 157,150 ha against yugoslavia 79,000 ha, a ratio of 1.99 -- so layer-B's 2.2 is right. (A first pass at this refutation reported 4.44 by taking the median of individual product ROWS instead of per-year sums, which is the same wrong-aggregate mistake in miniature.) CONSEQUENCE: the blocker on iia magnitude verification is ITEM IDENTITY, not scale, and it is documented by iia-wheat-is-spelt-and-meslin and iia-item-series-switch-raw-products. The instruction above -- that iia assertions be verified on scope/vintage/documentary grounds only -- rests on refuted grounds and costs the 27 assertions this entry names, including its largest, serbia|iia|1920-1944 at 573 rows. STATUS LEFT AT pending_audit DELIBERATELY: refuting the evidence offered is not the same as proving iia magnitudes ARE on a common scale, which should rest on a positive test, and lifting a verifier instruction is a curation call.",2026-08-17
layerb-nested-reporting-levels-one-polity,CHN-1947-1949;CHN-1949-1950;CHN-1950-2025;DEU-1920-1938;JPN-1895-1945;GBR-1921-2025;PNG-1949-1975;SER-1878-1913;RWB-1922-1962;FID-1887-1954;KOR-1948-2025;ZAF-1910-2025;PAL-1920-1948;VGB-1800-2025;ETH-1907-1936;ETH-1936-1941;ETH-1941-1952,fao1952;iia;juan;mitchell,(nested reporting levels; see summary),1909,1960,(all),pending_audit,"A polity can receive TWO OR MORE NESTING LEVELS of the same territory from the SAME source, so any aggregation over polity_code either sums a whole with its own parts or reads a cell that holds two incompatible values. Measured 2026-08-17 by routing all 189,839 matched layer-B rows through the assertion segments and grouping on (polity_code, source, item, indicator, year, unit): 52 such cells hold 110 rows contributed by more than one source label, and NONE of the colliding values are equal, so this is not duplicate ingestion but genuinely different series landing on one key. Worst cases: PNG-1949-1975 [fao1952] 18 rows from 'papua' + 'new guinea' (the two component territories FAO still reported separately after the 1949 union); CHN-1949-1950 13 rows and CHN-1947-1949 12 rows from 'china' + 'china 22 provinces' + 'china manchuria' (the 22-provinces rows are China proper EXCLUDING Manchuria: their land-use totals are 507,182 vs 106,930 thousand ha, i.e. ~5.07M km2 vs ~1.07M km2, so the two are disjoint components of the polity); FID-1887-1954 10 rows from 'indochina' + 'indochina viet nam'; KOR-1948-2025 10 rows from 'korea' + 'korea south'; DEU-1920-1938 9 rows from 'germany' + 'germany western' + 'germany berlin' for 1937 alone, which leaves the Reich polity carrying three mutually incompatible 1937 population values (Berlin's 4,284 thousand among them, against a Reich total near 67 million); JPN-1895-1945 [iia] 8 rows from 'japan' + 'palau'; GBR-1921-2025 8 rows from 'united kingdom' + 'united kingdom great britain' (Great Britain excludes Northern Ireland); CHN-1950-2025 6 rows; SER-1878-1913 [juan] 4 rows from 'serbia' + 'yugoslav sfr'; and 2 rows each on ETH-1907-1936/ETH-1936-1941/ETH-1941-1952 ('ethiopia' + 'ethiopia pdr'), PAL-1920-1948 ('israel' + 'palestine'), VGB-1800-2025 and ZAF-1910-2025 ('south africa' + 'natal'). Aggregate-level nesting without cell conflicts exists too and is not counted here (BWI-1833-1962 and BLI-1833-1960 beside their constituent islands; GCT-1919-1956 beside GHA-1898-1957 and BTL-1920-1957; PYF-1800-2025 beside 'makatea'; USA-1867-1959 beside 'alaska'/'guam'/'american samoa'/'virgin islands us'). This is the same hazard already recorded for one label in united-states-california-double-count, generalised and quantified. Audit required: decide, per family, which nesting level the polity represents, then either drop the other level (as the California row does) or give the component its own polity/segment. Fourteen legacy-tier assertions were quarantined rather than confirmed on this ground (see quarantine.csv, 2026-08-17); each names the missing segment where one exists: MAN-1945-1950 already covers 1945-1949 Manchuria, TNGU-1920-1949 and TPAP-1906-1949 end at the 1949 PNG union, BRL-1938-1945 and WZO-1938-1949 both start in 1938 so the 1937 Berlin and western-zone rows have no target, and the Caroline Islands have no polity for the 1914-1920 Japanese occupation (GCAR-1899-1914 -> CAR-1920-1945). No polity or polygon change is made here.",2026-08-17
fao1952-bwi-bahamas-land-area-x10,BHS-1800-2025,fao1952,British West Indies Bahamas,1947,1947,(land area),confirmed,"A CLEAN x10 TRANSCRIPTION ERROR in the FAO 1952 land-use total table (r_fao_land_1952_3_9_use_total.xlsx, NORTH and CENTRAL AMERICA block, unit `1000 hectares`, data year 1947). The cell reads 140 thousand ha = 1,400 km2 for an archipelago of 13,880 km2; restoring one factor of ten gives 1,400 thousand ha = 14,000 km2, which is 1.009x the official figure and 1.054x our GADM polygon (13,279 km2). IIA states 11,385-11,406 km2 for the same territory across six editions (1909-1938), so two independent sources put it near 11-14 thousand km2 and none near 1,400. The error is confined to this cell: its siblings in the same block are right (Barbados 45 thousand ha = 450 km2 against our 435, 1.03x; Cayman Islands 24 = 240 km2 against our 281, 0.86x), which is what makes this a slip rather than a different territorial basis for the BWI section. NOT CORRECTED in this repo: data/final/source_stated_areas.csv carries what the yearbook printed and 08_source_stated_areas.py --check passes on it, the same way IIA's Monaco-at-21-km2 is carried rather than silently repaired. No polity or polygon action. Two side notes for whoever fixes the extraction: (1) this statement never reaches the stated-area gate at all, because the alias for `British West Indies Bahamas` is scoped to source `fao1952` while 08 writes the source as `fao`, so it resolves to no polity; (2) the same table's `British West Indies Turks and Caicos` 52 thousand ha = 520 km2 sits between IIA's 430 and the modern 948 and is NOT claimed here as an error. Found via issue 111.",2026-08-17
fao1952-bwi-jamaica-dropped-leading-digit,JAM-1800-2025,fao1952,British West Indies Jamaica,1948,1948,(land area),confirmed,"A DROPPED LEADING DIGIT, and specifically NOT the x10 error its Bahamas neighbour carries -- which is the point of logging the two separately. Same FAO 1952 land-use total table, data year 1948, unit `1000 hectares`: the cell reads 142 = 1,420 km2 for an island of 10,991 km2. Multiplying by ten gives 14,200 km2, 1.29x too large; restoring a leading 1 gives 1,142 thousand ha = 11,420 km2, 1.039x, and 11,420 is also within 0.01% of Jamaica plus the Turks and Caicos as IIA states them (10,991 + 430 = 11,421) -- suggestive, not proven, and the Turks and Caicos have their own row in the same table, so the likeliest reading is simply that a leading digit of a ~1,100 figure was lost. THE EXACT REPAIRED VALUE IS NOT DETERMINABLE FROM THE TABLE and needs the printed page; what IS determined is that a decimal shift does not explain it. Evidence that our polygon is not the problem: IIA's own `INDES OCCIDENTALES BRITANNIQUES: JAMAIQUE` line states 10,880 / 10,896 / 11,525 / 11,526 km2 across six editions, against our 11,001 km2 polygon. This also corrects a wrong reading previously baselined in scripts/validate_stated_areas.py, which took IIA's 231-271 km2 as its Jamaica figure: that belongs to the `JAMAIQUE: CAIMANS` sub-label, i.e. the Cayman Islands (CYM-1800-2025, 281 km2), a separate reporting unit indented under Jamaica. The alias routing `British West Indies Jamaica` to JAM-1800-2025 is therefore CORRECT and does not need revisiting. NOT CORRECTED here, for the same reason as the Bahamas row. Found via issue 111.",2026-08-17
iia-tobacco-implausible-magnitudes,,iia,(16 labels; see summary),1934,1945,"tobacco, unmanufactured",confirmed,"40 of the 607 iia tobacco rows (tonnes) are implausibly large: above 500,000 t for a single country when WORLD tobacco production in this period was on the order of 2-3 Mt. China mainland 1940 reads 51,345,800 t and the Russian Federation 1936 reads 27,600,000 t, each an order of magnitude above the world total. 16 countries, all years 1934-1945: algeria, chile, china mainland, czech republic, indonesia, iran, japan, myanmar, philippines, russian federation, serbia, south korea, syrian arab republic, thailand, turkey, zimbabwe. The other 567 rows look fine -- median 5,200 t -- so this is NOT a blanket rescaling of iia tobacco. FACTOR: where the same country has an ADJACENT-YEAR value from another source, the ratio is about x100 and is tight: nine countries splice mitchell->iia at 1939->1940 with a median ratio of 101, and back DOWN by the same factor at the 1940->1941 return seam (japan 86,000 t in 1939, 8,705,400 in 1940, 84,000 in 1941). Do NOT read the per-row ratios against DISTANT comparison years as factor estimates -- serbia's apparent x469 to x1610 compares 1934-1945 iia against a 1910 juan value, a 25-year gap, and says nothing about the multiplier. The precise factor per row is not established; the implausibility is. This is a specific instance of iia-layerb-magnitude-scale-inconsistent, and the seam evidence is recorded in state/source_splices.csv and guarded by scripts/validate_source_splices.py. Consumers should treat these 40 cells as unusable rather than scaling them, since the factor is inferred from neighbours rather than known. FACTOR NOW ESTABLISHED (2026-08-18, superseding this entry's earlier caution). The entry previously said the per-row multiplier was NOT established and told consumers to drop these cells rather than rescale them, because no (country, year) overlap existed to measure a factor against. A polity-level cross-source comparison supplies one: different labels routing to the SAME polity make independent sources directly comparable (786 such cells exist; see issue #375). Measured there, iia is EXACTLY 100x another source -- within 0.5% -- on 22 tobacco cells: 18 against `juan` across F248-1920-1947, F51-1918-1938, F51-1938-1945 and F51-1945-1947 (1934-1945), and 4 against `mitchell` on KOR-1800-1945 (1935-1941). TWO INDEPENDENT SOURCES, FIVE POLITIES, SAME FACTOR, and the 1934-1945 window is exactly the one this entry already recorded. Examples: F248 1934 iia 604,900 vs juan 6,049; 1937 iia 2,078,300 vs juan 20,783; KOR 1934 iia 1,540,400 vs mitchell 15,000. So for a cell with a cross-source comparison the repair is division by 100. For the remaining cells in the affected set there is no comparison and the factor is INFERRED, not measured -- treat those as unusable rather than rescaling them blind. Note what has NOT changed: the earlier retraction of ranking rows by ratio-to-NEAREST-source stands, since that method produced serbia at 'x1610' by comparing 1934-1945 iia against a 1910 juan value. The factor is established by same-year comparison at the same polity, which is a different and sound measurement.",2026-08-18
iia-wheat-is-spelt-and-meslin,,iia,"(4 measured: czech republic, serbia, russian federation, turkey)",1909,1945,wheat,confirmed,"The iia `wheat` item is NOT wheat. The raw IIA extract carries ZERO wheat production or area rows -- `wheat` appears there only as exports (2,024), imports (2,733) and reexports (229). What it does carry is `spelt` (329 area + 323 production) and `meslin` (499 area + 490 production), 1,641 production/area rows over 26 labels: a distinct hulled wheat species and a wheat-rye mixture, both marginal crops. Layer B has an iia item `wheat` with 253 valued rows in ha and tonnes and NO spelt or meslin item at all. Of its 77 DATED cells, 100% match raw spelt or meslin and 0% match the wheat trade rows; per label czech republic 40/40, serbia 28/28, russian federation 8/8, turkey 1/1. czech republic's series is itself two crops, 55% meslin and 45% spelt. MAGNITUDE OF THE ERROR: interwar Czechoslovakia reads 312 t of `wheat` in 1930 where juan's explicitly labelled series reads 1,377,280 t -- 4,416x. Yugoslavia 1931 reads 9,580 t against 2,688,620 t. The ratios vary from 185x to 4,416x, so no unit factor explains it; the values are simply a different, much smaller crop. THE CORRECT iia WHEAT SERIES IS EMPTY, NOT SMALL: consumers must not rescale these cells, and any aggregate summing wheat across sources is currently adding a marginal cereal to real wheat. NOT MEASURED: 176 of the 253 rows carry a `period` (1934-1938, 1925-1929, 1928-1932, 1909-1913) instead of a year and span 25 labels including france, germany, canada. Without a year key they cannot be fingerprinted, so their provenance is inferred from item and source rather than measured. They are the larger half. See issue #375; the multi-year-period problem is #310.",2026-08-18
