label,product,variable,unit,year,kind,volume_a,value_a,volume_b,value_b,ratio
albania,rye,area,hectares,1933,revised,iia_1933_34,3482,iia_1938_39,3000,1.1607
albania,rye,production,tonnes,1933,revised,iia_1933_34,4580.4,iia_1938_39,4800,1.0479
albania,tobacco,area,hectares,1933,revised,iia_1933_34,1042,iia_1938_39,1000,1.0420
albania,tobacco,production,tonnes,1933,revised,iia_1933_34,1087.3,iia_1938_39,108700,99.9724
argentina,cottonseed,area,hectares,1933,revised,iia_1933_34,194258,iia_1938_39,195000,1.0038
argentina,cottonseed,production,tonnes,1933,revised,iia_1933_34,113000,iia_1938_39,106800,1.0581
argentina,groundnut,area,hectares,1933,revised,iia_1933_34,83193,iia_1938_39,83000,1.0023
argentina,linseed,production,tonnes,1933,revised,iia_1933_34,1440000,iia_1938_39,1590000,1.1042
argentina,rye,area,hectares,1933,revised,iia_1933_34,366,iia_1938_39,290000,792.3497
argentina,rye,production,tonnes,1933,revised,iia_1933_34,237000,iia_1938_39,184100,1.2873
argentina,sugar: beet,production,tonnes,1933,revised,iia_1933_34,3167,iia_1938_39,3200,1.0104
argentina,sugar: cane,production,tonnes,1933,revised,iia_1933_34,315744,iia_1938_39,315700,1.0001
argentina,wine,production,tonnes,1933,revised,iia_1933_34,728000,iia_1938_39,682500,1.0667
australia,fertilizers: ammonium sulfate,production,tonnes,1933,revised,iia_1933_34,12818,iia_1938_39,12800,1.0014
australia,fertilizers: calcium superphosphate,production,tonnes,1933,revised,iia_1933_34,649237,iia_1938_39,759000,1.1691
australia,"fertilizers: phosphate, natural",production,tonnes,1933,revised,iia_1933_34,369516,iia_1938_39,100,3695.1600
australia,sugar: beet,production,tonnes,1933,revised,iia_1933_34,5388.1,iia_1938_39,5400,1.0022
australia,sugar: cane,production,tonnes,1933,revised,iia_1933_34,65128.6,iia_1938_39,636200,9.7684
australia,wine,production,tonnes,1933,revised,iia_1933_34,56420,iia_1938_39,57876,1.0258
austria,eggs,production,tonnes,1932,revised,iia_1933_34,23716,iia_1938_39,25872,1.0909
austria,fertilizers: ammonium sulfate,production,tonnes,1933,revised,iia_1933_34,6497,iia_1938_39,6500,1.0005
austria,flax: fibre,area,hectares,1933,revised,iia_1933_34,1812,iia_1938_39,2000,1.1038
