source,label,item,polity_code,n_rows,year_min,year_max,median_t,area_km2,intensity_ratio,arealess,modern_classes,modern_year_min,modern_year_max,modern_rows,already_flagged,verdict,reason
iia,belgium,linseed,BEL-1831-2025,2,,,12496.5,30692.0,7.42,false,reexport,2007,2017,11,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,pakistan,sesame seed,PAK-1937-1947,4,1949,1951,34500.0,932577.4,2.66,false,exceeds_availability,2002,2021,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,italy,linseed,SAR-1800-1860,2,,,8852.8,77961.9,2.07,false,reexport,2018,2020,2,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,cyprus,sesame seed,CYP-1879-2025,24,1922,1945,261.3,9123.4,2.06,false,reexport,1989,1995,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,ethiopia,sesame seed,ETH-1936-1941,3,1949,1951,30000.0,1127539.0,1.91,false,exceeds_availability,1998,2006,8,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,belgium,grapes,BEL-1831-2025,3,,,7500.0,30692.0,1.36,false,reexport,2000,2011,12,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,japan,sesame seed,JPN-1895-1945,4,1949,1951,4450.0,626507.3,0.51,false,reexport,1990,1993,4,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,burkina faso,sesame seed,BFA-1919-1932,7,1922,1931,1000.0,272321.8,0.26,false,exceeds_availability,1994,2004,4,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,papua new guinea,coffee green,PNG-1949-1975,3,1958,1960,1000.0,461639.2,0.25,true,exceeds_availability,1996,2019,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,viet nam,coffee green,VNM-1887-1954,14,1931,1943,709.7,324093.6,0.25,false,exceeds_availability,2012,2016,2,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,argentina,wheat,ARG-1800-1899,1,1890,1890,845000.0,2778429.7,0.22,false,exceeds_availability,2012,2012,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,united states of america,coffee green,USA-1867-1959,33,1909,1945,13607.7,8906416.7,0.18,false,reexport,1986,2020,31,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,argentina,beans dry,ARG-1902-2025,2,,,24250.0,2781054.6,0.16,false,exceeds_availability,1997,2016,4,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,united states of america,sesame seed,USA-1867-1959,3,1957,1959,5400.0,8906416.7,0.04,true,reexport,1989,1992,4,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,bulgaria,beans dry,,2,,,22032000.0,,,false,reexport,2014,2014,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,canada,wheat,,61,1900,1960,8668600.0,,,false,exceeds_availability,1988,1988,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,argentina,wheat,,70,1891,1960,5064750.0,,,false,exceeds_availability,2012,2012,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,australia,wheat,,105,1855,1960,1484000.0,,,false,exceeds_availability,1987,2006,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,algeria,wine,,4,1949,1951,1438500.0,,,true,exceeds_availability,1989,1989,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,italy,other berries and fruits of the genus vaccinium n e c,SAR-1800-1860,24,1922,1945,1102200.0,77961.9,,false,reexport,2018,2018,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,algeria,wine,,5,1920,1920,1048193.1,,,false,exceeds_availability,1989,1989,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,algeria,wine,,90,1864,1960,763983.0,,,true,exceeds_availability,1989,1989,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,canada,wheat,,4,,,756867.2,,,false,exceeds_availability,1988,1988,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,canada,wheat,,5,1851,1891,742000.0,,,false,exceeds_availability,1988,1988,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,denmark,rye,,86,1875,1960,378845.0,,,false,exceeds_availability,1992,1999,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,spain,olive oil,,4,1949,1951,370500.0,,,true,exceeds_availability,2012,2014,2,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,chile,wine,,4,1949,1951,337000.0,,,true,exceeds_availability,2007,2007,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,denmark,rye,,4,1949,1951,300000.0,,,false,exceeds_availability,1992,1999,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,chile,wine,,4,,,285739.9,,,false,exceeds_availability,2007,2007,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,denmark,rye,,4,,,274983.7,,,false,exceeds_availability,1992,1999,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,chile,wine,,57,1901,1960,260073.0,,,false,exceeds_availability,2007,2007,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,latvia,sugar beet,,9,1931,1939,230700.0,,,false,exceeds_availability,2014,2021,5,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,costa rica,bananas,,4,1949,1951,219500.0,,,false,exceeds_availability,2000,2009,5,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
iia,canada,linseed,,2,,,210811.2,,,false,exceeds_availability,1992,2016,4,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,ecuador,bananas,,1,1949,1949,199000.0,,,false,exceeds_availability,2020,2020,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,spain,sugar cane,,58,1900,1960,187762.2,,,false,exceeds_availability,2010,2010,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,ecuador,bananas,,20,1939,1960,186500.0,,,false,exceeds_availability,2020,2020,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,costa rica,bananas,,54,1900,1956,185500.0,,,false,exceeds_availability,2000,2009,5,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,panama,bananas,,22,1938,1960,174000.0,,,false,exceeds_availability,2019,2021,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,panama,bananas,,4,1949,1951,162500.0,,,false,exceeds_availability,2019,2021,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,canada,buckwheat,,53,1901,1960,156000.0,,,true,exceeds_availability|reexport,1992,2016,11,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,canada,linseed,,53,1908,1960,155301.7,,,false,exceeds_availability,1992,2016,4,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,australia,other citrus fruit n e c,,46,1914,1960,111500.0,,,true,exceeds_availability,1993,1993,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,united states of america,cow peas dry,USA-1867-1959,37,1924,1960,106425.6,8906416.7,,false,exceeds_availability,1987,1987,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,argentina,millet,,24,1937,1960,104150.0,,,false,exceeds_availability,2011,2011,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
mitchell,canada,buckwheat,,4,1851,1891,94000.0,,,true,exceeds_availability|reexport,1992,2016,11,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,bulgaria,beans dry,,21,1933,1959,85000.0,,,false,reexport,2014,2014,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,mexico,sesame seed,,4,1949,1951,75000.0,,,false,exceeds_availability,1994,1994,1,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
fao1952,poland,linseed,,4,1949,1951,62000.0,,,false,reexport,2018,2021,3,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
juan,germany,peaches and nectarines,,8,1952,1959,61500.0,,,true,reexport,1994,2017,19,false,no_origin_evidence,"the entrepot classification is reporter-level and names no partner, so it cannot supply origin_iso3; and its years share none with layer B"
