source,label,whep_code,item,year,period,unit,production,area_ha,implied_yield,own_pre_era_median,ratio_to_own,verdict,convicted
iia,benin,BEN-1898-1960,"tobacco, unmanufactured",1942,,tonnes,15800,1000,15.8,33.75,468.148148,high_yield_3to20,False
iia,congo,AEF-1910-1960,"tobacco, unmanufactured",,1934-1938,tonnes,102100,7000,14.585714,566.65,180.18177,high_yield_3to20,False
iia,congo,AEF-1910-1960,"tobacco, unmanufactured",1934,,tonnes,108500,7000,15.5,566.65,191.47622,high_yield_3to20,False
iia,congo,AEF-1910-1960,"tobacco, unmanufactured",1935,,tonnes,100000,6000,16.666667,566.65,176.475779,high_yield_3to20,False
iia,czech republic,F51-1918-1938,hops,1934,,tonnes,707400,109000,6.489908,7278.15,97.195029,high_yield_3to20,False
iia,czech republic,F51-1918-1938,hops,1935,,tonnes,761900,112000,6.802679,7278.15,104.683196,high_yield_3to20,False
iia,czech republic,F51-1918-1938,hops,1936,,tonnes,1208100,114000,10.597368,7278.15,165.989984,high_yield_3to20,False
iia,czech republic,F51-1918-1938,hops,1937,,tonnes,1216500,113000,10.765487,7278.15,167.144123,high_yield_3to20,False
iia,czech republic,F51-1938-1945,hops,1944,,tonnes,46100,7000,6.585714,7278.15,6.334027,high_yield_3to20,False
iia,eswatini,SWZ-1894-2025,"tobacco, unmanufactured",,1934-1938,tonnes,13700,4000,3.425,333.5,41.07946,high_yield_3to20,False
iia,guinea,GIN-1894-1958,"tobacco, unmanufactured",,1934-1938,tonnes,20700,3000,6.9,654,31.651376,high_yield_3to20,False
iia,guinea,GIN-1894-1958,"tobacco, unmanufactured",1934,,tonnes,27600,3000,9.2,654,42.201835,high_yield_3to20,False
iia,guinea,GIN-1894-1958,"tobacco, unmanufactured",1935,,tonnes,22100,3000,7.366667,654,33.792049,high_yield_3to20,False
iia,guinea,GIN-1894-1958,"tobacco, unmanufactured",1936,,tonnes,22000,3000,7.333333,654,33.639144,high_yield_3to20,False
iia,guinea,GIN-1894-1958,"tobacco, unmanufactured",1937,,tonnes,23500,3000,7.833333,654,35.932722,high_yield_3to20,False
iia,malaysia,BNB-1881-1963,"tobacco, unmanufactured",,1934-1938,tonnes,16000,2000,8,580.9,27.543467,high_yield_3to20,False
iia,mauritania,MRT-1920-1960,"tobacco, unmanufactured",1944,,tonnes,5200,1000,5.2,4,1300,high_yield_3to20,False
iia,mauritania,MRT-1920-1960,"tobacco, unmanufactured",1945,,tonnes,5000,1000,5,4,1250,high_yield_3to20,False
iia,mozambique,MOZ-1891-1975,"tobacco, unmanufactured",1935,,tonnes,18700,1000,18.7,3.5,5342.857143,high_yield_3to20,False
