source,label,item,year,period,verdict,convicted,production,area_ha,raw_label,n_raw_labels,volume,n_volumes,name_confirmed,resolution,overlap_years,n_overlap_years,prod_factor,area_factor,area_factor_pairs,corrected_production,corrected_area,corrected_yield,attribution,plausible_after
iia,benin,"tobacco, unmanufactured",1934,,impossible_yield_zero_area,True,4000,0,french dahomey|french ivory coast,2,iia_1938_39,1,False,single_cell,,0,,,0,,0,,ambiguous_raw_label,
iia,benin,"tobacco, unmanufactured",1935,,impossible_yield_zero_area,True,4000,0,french dahomey|french ivory coast,2,iia_1938_39,1,False,single_cell,,0,,,0,,0,,ambiguous_raw_label,
iia,micronesia (federated states of),"tobacco, unmanufactured",1937,,impossible_yield_zero_area,True,200,0,french mauritania|japanese south pacific,2,iia_1938_39,1,False,single_cell,,0,,,0,,0,,ambiguous_raw_label,
iia,"china, mainland","tobacco, unmanufactured",,1934-1938,impossible_yield,True,64152300,566000,china|china: manchuria,2,iia_1939_45,1,False,component_sum,,0,,,0,,566000,,component_factor_incomplete,
iia,indonesia,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,3471000,41000,dutch java and madura|dutch sumatra,2,iia_1939_45,1,False,component_sum,,0,,,0,,41000,,component_factor_incomplete,
iia,indonesia,"tobacco, unmanufactured",1940,,impossible_yield,True,2079600,19000,dutch java and madura|dutch sumatra,2,iia_1939_45,1,False,component_sum,,0,,,0,,19000,,component_factor_incomplete,
iia,angola,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,237100,4000,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1934,,impossible_yield,True,201700,3000,portuguese angola,1,iia_1938_39,1,True,single_cell,,0,,,0,,3000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1935,,impossible_yield,True,241400,4000,portuguese angola,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1936,,impossible_yield,True,249100,4000,portuguese angola,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1937,,impossible_yield,True,218300,4000,portuguese angola,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1939,,impossible_yield,True,204900,3000,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,3000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1940,,impossible_yield,True,220200,4000,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1941,,impossible_yield,True,273700,5000,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,5000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1942,,impossible_yield,True,357800,6000,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,6000,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1943,,no_area_level_shift,True,271300,,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1944,,no_area_level_shift,True,256500,,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,angola,"tobacco, unmanufactured",1945,,no_area_level_shift,True,267800,,portuguese angola,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,argentina,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,1552200,16000,argentina,1,iia_1939_45,1,True,single_cell,,0,,,0,,16000,,no_overlap_pair,
iia,australia,hops,,1934-1938,impossible_yield,True,104500,400,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,400,,no_overlap_pair,
iia,australia,hops,1934,,impossible_yield,True,93700,4000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,australia,hops,1935,,impossible_yield,True,109000,4000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,australia,hops,1936,,impossible_yield,True,107800,5000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,5000,,no_overlap_pair,
iia,australia,hops,1937,,impossible_yield,True,103300,4000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,australia,hops,1939,,impossible_yield,True,90400,500,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,500,,no_overlap_pair,
iia,australia,hops,1940,,impossible_yield,True,146400,500,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,500,,no_overlap_pair,
iia,australia,hops,1941,,impossible_yield,True,137500,500,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,500,,no_overlap_pair,
iia,australia,hops,1942,,impossible_yield,True,126000,500,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,500,,no_overlap_pair,
iia,australia,hops,1943,,impossible_yield,True,133900,500,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,500,,no_overlap_pair,
iia,australia,hops,1944,,impossible_yield,True,118500,500,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,500,,no_overlap_pair,
iia,australia,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,215700,4000,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,australia,"tobacco, unmanufactured",1934,,impossible_yield,True,141200,3000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,3000,,no_overlap_pair,
iia,australia,"tobacco, unmanufactured",1935,,impossible_yield,True,252100,4000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,australia,"tobacco, unmanufactured",1936,,impossible_yield,True,235800,5000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,5000,,no_overlap_pair,
iia,australia,"tobacco, unmanufactured",1937,,impossible_yield,True,271200,4000,australia,1,iia_1938_39,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,australia,"tobacco, unmanufactured",1939,,impossible_yield,True,224800,3000,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,3000,,no_overlap_pair,
iia,australia,"tobacco, unmanufactured",1940,,impossible_yield,True,248400,3000,australia,1,iia_1939_45,1,True,single_cell,,0,,,0,,3000,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",,1934-1938,no_area_level_shift,True,5200,,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1936,,impossible_yield_zero_area,True,4000,0,french dahomey,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1937,,impossible_yield_zero_area,True,4000,0,french dahomey,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1939,,no_area_level_shift,True,6900,,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1940,,no_area_level_shift,True,6600,,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1941,,no_area_level_shift,True,7300,,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1942,,high_yield_3to20,False,15800,1000,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1943,,impossible_yield,True,22900,1000,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1944,,impossible_yield,True,56600,1000,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,benin,"tobacco, unmanufactured",1945,,impossible_yield,True,56200,2000,french dahomey,1,iia_1939_45,1,False,single_cell,,0,,,0,,2000,,no_overlap_pair,
iia,bolivia,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,353500,3000,bolivia,1,iia_1939_45,1,True,single_cell,,0,,,0,,3000,,no_overlap_pair,
iia,cabo verde,"tobacco, unmanufactured",,1934-1938,untestable,False,900,,portuguese cape verde,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,cabo verde,"tobacco, unmanufactured",1939,,untestable,False,900,,portuguese cape verde,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,cabo verde,"tobacco, unmanufactured",1940,,untestable,False,800,,portuguese cape verde,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,cabo verde,"tobacco, unmanufactured",1941,,untestable,False,500,,portuguese cape verde,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,cabo verde,"tobacco, unmanufactured",1943,,untestable,False,27200,,portuguese cape verde,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,cabo verde,"tobacco, unmanufactured",1944,,untestable,False,5500,,portuguese cape verde,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,cameroon,"tobacco, unmanufactured",1935,,impossible_yield_zero_area,True,4400,0,british‑french cameroon,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,cameroon,"tobacco, unmanufactured",1936,,impossible_yield_zero_area,True,10000,0,british‑french cameroon,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,cameroon,"tobacco, unmanufactured",1937,,impossible_yield_zero_area,True,7000,0,british‑french cameroon,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,chile,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,691800,3000,chile,1,iia_1939_45,1,True,single_cell,,0,,,0,,3000,,no_overlap_pair,
iia,chile,"tobacco, unmanufactured",1939,,impossible_yield,True,956500,5000,chile,1,iia_1939_45,1,True,single_cell,,0,,,0,,5000,,no_overlap_pair,
iia,"china, mainland","tobacco, unmanufactured",1940,,impossible_yield,True,51345800,442000,china,1,iia_1939_45,1,True,single_cell,,0,,,0,,442000,,no_overlap_pair,
iia,colombia,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,1224100,11000,colombia,1,iia_1939_45,1,True,single_cell,,0,,,0,,11000,,no_overlap_pair,
iia,costa rica,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,26500,1000,costa rica,1,iia_1939_45,1,True,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,dominican republic,"tobacco, unmanufactured",,1934-1938,no_area_level_shift,True,696394900,,dominican republic,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,dr congo,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,404600,5000,belgian congo,1,iia_1939_45,1,True,single_cell,,0,,,0,,5000,,no_overlap_pair,
iia,ecuador,"tobacco, unmanufactured",,1934-1938,no_area_level_consistent,False,69000,,ecuador,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,el salvador,"tobacco, unmanufactured",,1934-1938,plausible_yield,False,21000,63000,el salvador,1,iia_1939_45,1,True,single_cell,,0,,,0,,63000,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",,1934-1938,high_yield_3to20,False,13700,4000,british swaziland,1,iia_1939_45,1,False,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1934,,impossible_yield_zero_area,True,11900,0,british swaziland,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1935,,impossible_yield_zero_area,True,12800,0,british swaziland,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1936,,impossible_yield_zero_area,True,9100,0,british swaziland,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1937,,impossible_yield_zero_area,True,10600,0,british swaziland,1,iia_1938_39,1,False,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1939,,no_area_level_shift,True,19200,,british swaziland,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1940,,no_area_level_shift,True,15600,,british swaziland,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1941,,no_area_level_shift,True,13200,,british swaziland,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1942,,no_area_level_shift,True,26300,,british swaziland,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1943,,no_area_level_shift,True,16000,,british swaziland,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,eswatini,"tobacco, unmanufactured",1944,,no_area_level_shift,True,15600,,british swaziland,1,iia_1939_45,1,False,single_cell,,0,,,0,,,,no_overlap_pair,
iia,honduras,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,337300,6000,honduras,1,iia_1939_45,1,True,single_cell,,0,,,0,,6000,,no_overlap_pair,
iia,iran,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,1500000,12000,iran,1,iia_1939_45,1,True,single_cell,,0,,,0,,12000,,no_overlap_pair,
iia,iran,"tobacco, unmanufactured",1940,,impossible_yield,True,1270000,13000,iran,1,iia_1939_45,1,True,single_cell,,0,,,0,,13000,,no_overlap_pair,
iia,iraq,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,510700,4000,british iraq,1,iia_1939_45,1,True,single_cell,,0,,,0,,4000,,no_overlap_pair,
iia,iraq,"tobacco, unmanufactured",1940,,impossible_yield,True,422000,7000,british iraq,1,iia_1939_45,1,True,single_cell,,0,,,0,,7000,,no_overlap_pair,
iia,ireland,"tobacco, unmanufactured",,1934-1938,untestable,False,18500,,ireland,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",,1934-1938,impossible_yield,True,108000,2000,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,2000,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",1939,,impossible_yield,True,62400,1000,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",1940,,impossible_yield,True,76000,1000,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",1941,,impossible_yield,True,49700,1000,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",1942,,impossible_yield,True,44800,1000,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",1943,,impossible_yield,True,23600,1000,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",1944,,impossible_yield,True,74900,1000,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,1000,,no_overlap_pair,
iia,lebanon,"tobacco, unmanufactured",1945,,untestable,False,121400,,french lebanon,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,libya,"tobacco, unmanufactured",,1934-1938,no_area_level_shift,True,75000,,italian libya,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,mauritius,"tobacco, unmanufactured",,1934-1938,no_area_level_shift,True,30200,,british mauritius,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
iia,mauritius,"tobacco, unmanufactured",1934,,impossible_yield_zero_area,True,27600,0,british mauritius,1,iia_1938_39,1,True,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,mauritius,"tobacco, unmanufactured",1935,,impossible_yield_zero_area,True,32000,0,british mauritius,1,iia_1938_39,1,True,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,mauritius,"tobacco, unmanufactured",1936,,impossible_yield_zero_area,True,47800,0,british mauritius,1,iia_1938_39,1,True,single_cell,,0,,,0,,0,,no_overlap_pair,
iia,mauritius,"tobacco, unmanufactured",1939,,no_area_level_shift,True,26900,,british mauritius,1,iia_1939_45,1,True,single_cell,,0,,,0,,,,no_overlap_pair,
