source,country,item,unit,indicator,grid,zeros,zeros_dated,zeros_undated,n_nonzero,min_nonzero,max_nonzero,distinct_nonzero,zero_share,zero_years
juan,iceland,goats,heads,,1000,69,69,0,34,1000,2000,2,0.6699,1853;1854;1855;1856;1857;1858;1859;1861;1862;1863;1865;1866;1867;1869;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1945;1948;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960
juan,iceland,geese and guinea fowls,heads,,1000,21,21,0,8,1000,1000,1,0.7241,1932;1933;1934;1941;1942;1943;1944;1945;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960
juan,iceland,swine / pigs,heads,,1000,19,19,0,10,1000,1000,1,0.6552,1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1945;1946;1947;1948;1949;1950;1952;1953
juan,iceland,ducks,heads,,1000,18,18,0,11,1000,2000,2,0.6207,1932;1942;1943;1944;1945;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960
juan,czechoslovakia,mules and hinnies,heads,,1000,12,12,0,8,1000,4000,3,0.6,1932;1933;1934;1935;1936;1937;1939;1940;1941;1942;1943;1944
juan,switzerland,asses,heads,,1000,10,10,0,4,1000,3000,2,0.7143,1919;1920;1921;1926;1931;1936;1941;1943;1944;1945
juan,austria,mules and hinnies,heads,,1000,7,7,0,17,1000,20000,4,0.2917,1934;1938;1939;1940;1941;1942;1943
juan,czechoslovakia,asses,heads,,1000,7,7,0,12,1000,4000,3,0.3684,1935;1939;1940;1941;1942;1943;1944
juan,austria,asses,heads,,1000,6,6,0,6,1000,52000,4,0.5,1923;1939;1940;1941;1942;1943
iia,algeria,lemons and limes,ha,,1000,5,5,0,3,1000,1000,1,0.625,1933;1934;1935;1936;1937
iia,zambia,lemons and limes,tonnes,,100,4,3,1,3,100,100,1,0.5714,1933;1934;1935
iia,algeria,"beans, dry",ha,,1000,3,3,0,9,1000,1000,1,0.25,1935;1936;1938
iia,cyprus,grapefruit (inc. pomelos),tonnes,,100,3,3,0,8,100,3000,7,0.2727,1935;1936;1937
iia,cyprus,"beans, dry",ha,,1000,2,2,0,9,1000,2000,2,0.1818,1933;1934
iia,eritrea,"groundnuts, with shell",ha,,1000,2,2,0,4,1000,6000,2,0.3333,1936;1937
iia,eritrea,"groundnuts, with shell",tonnes,,100,2,2,0,4,100,200,2,0.3333,1936;1937
iia,jordan,sesame seed,tonnes,,100,2,2,0,8,100,2600,5,0.2,1933;1934
iia,saint vincent and the grenadines,lemons and limes,tonnes,,100,2,2,0,13,100,200,2,0.1333,1936;1937
juan,luxembourg,turkeys,heads,,1000,2,2,0,18,1000,4000,3,0.1,1941;1942
iia,dominica,grapefruit (inc. pomelos),tonnes,,100,1,0,1,12,100,300,3,0.0769,
iia,kenya,"beans, dry",ha,,1000,1,1,0,10,1000,2000,2,0.0909,1938
iia,serbia,lemons and limes,tonnes,,100,1,1,0,6,100,100,1,0.1429,1936
iia,somalia,"groundnuts, with shell",ha,,1000,1,0,1,5,1000,2000,2,0.1667,
iia,syrian arab republic,"beans, dry",ha,,1000,1,0,1,8,1000,10000,3,0.1111,
