key,candidate,n_values,span_signal,dominant_raw_label,dominant_share,note
albania|iia|1933-1941,ALB-1913-2025,8,clean,albania,1.00,albania 100%
algeria|iia|1909-1918,DZA-1902-1919,100,clean,french algeria,1.00,french algeria 100%
algeria|iia|1919-1945,DZA-1919-1962,322,clean,french algeria,1.00,french algeria 100%
american samoa|iia|1930-1934,ASM-1900-2025,10,redirected,us samoa,1.00,us samoa 100%
angola|iia|1930-1945,ANG-1905-1975,162,clean,portuguese angola,1.00,portuguese angola 100%
antigua and barbuda|iia|1909-1945,ATG-1800-2025,92,redirected,british antigua,1.00,british antigua 100%
argentina|iia|1909-1945,ARG-1902-2025,83,clean,argentina,0.99,argentina 99%
australia|iia|1909-1945,AUS-1901-2025,621,clean,australia,0.92,australia 92%
austria|iia|1909-1917,AUT-1800-1918,58,mixed,austria,0.45,austria + austria-hungary (union 84%)
austria|iia|1918-1918,AUT-1918-1919,4,clean,austria,0.50,austria 50% [only 4 values — below the 8-value floor]
austria|iia|1919-1945,AUT-1919-2025,139,clean,austria,0.85,austria 85%
azerbaijan|iia|1930-1940,AZE-SSR-1920-1991,21,redirected,ussr: transcaucasian sfsr,1.00,ussr: transcaucasian sfsr 100%
barbados|iia|1909-1943,BRB-1800-2025,54,clean,british barbados,1.00,british barbados 100%
belgium|iia|1909-1945,BEL-1831-2025,125,clean,belgium,1.00,belgium 100%
belize|iia|1909-1944,BLZ-1886-1970,21,redirected,british honduras,1.00,british honduras 100%
benin|iia|1930-1945,BEN-1898-1960,91,redirected,french dahomey,1.00,french dahomey 100%
bermuda|iia|1930-1945,BMU-1684-1968,16,clean,british bermuda,1.00,british bermuda 100%
bolivia|iia|1931-1934,BOL-1909-1938,5,clean,bolivia,1.00,bolivia 100% [only 5 values — below the 8-value floor]
botswana|iia|1929-1933,BEC-1885-1966,5,redirected,british bechuanaland,1.00,british bechuanaland 100% [only 5 values — below the 8-value floor]
brazil|iia|1910-1945,BRA-1909-2025,64,clean,brazil,0.98,brazil 98%
british virgin islands|iia|1909-1925,VGB-1800-2025,23,clean,british virgin islands,1.00,british virgin islands 100%
brunei darussalam|iia|1932-1945,BRN-1888-2025,18,redirected,british brunei,1.00,british brunei 100%
bulgaria|iia|1909-1912,BGR-1878-1913,23,clean,bulgaria,0.83,bulgaria 83%
bulgaria|iia|1913-1917,BGR-1913-1918,35,clean,bulgaria,0.86,bulgaria 86%
bulgaria|iia|1918-1918,BGR-1918-1919,7,clean,bulgaria,0.86,bulgaria 86% [only 7 values — below the 8-value floor]
bulgaria|iia|1919-1939,BGR-1919-1940,166,clean,bulgaria,0.90,bulgaria 90%
bulgaria|iia|1940-1945,BGR-1940-2025,62,clean,bulgaria,0.90,bulgaria 90%
burkina faso|iia|1922-1932,BFA-1919-1932,46,redirected,french upper volta,1.00,french upper volta 100%
burundi|iia|1930-1937,RWB-1922-1962,50,redirected,belgian ruanda-urundi,1.00,belgian ruanda-urundi 100%
cabo verde|iia|1933-1944,CPV-1886-1975,32,redirected,portuguese cape verde,1.00,portuguese cape verde 100%
cambodia|iia|1930-1943,KHM-1907-1953,4,clean,french cambodia,1.00,french cambodia 100% [only 4 values — below the 8-value floor]
cameroon|iia|1923-1945,FCM-1920-1960,110,redirected,british‑french cameroon,0.83,british‑french cameroon 83%
canada|iia|1909-1945,CAN-1886-1949,100,clean,canada,0.74,canada 74%
central african republic|iia|1922-1931,CAF-1919-1960,10,redirected,french equatorial africa: oubangui‑chari,1.00,french equatorial africa: oubangui‑chari 100%
chad|iia|1922-1924,TCD-1919-1960,6,redirected,french equatorial africa: chad,1.00,french equatorial africa: chad 100% [only 6 values — below the 8-value floor]
chile|iia|1909-1945,CHL-1902-2025,104,clean,chile,1.00,chile 100%
china hong kong sar|iia|1924-1924,HKG-1842-2025,2,redirected,british hong kong,1.00,british hong kong 100% [only 2 values — below the 8-value floor]
china mainland|iia|1914-1917,CHN-1914-1921,6,redirected,china,0.50,china 50% [only 6 values — below the 8-value floor]
china mainland|iia|1922-1931,CHN-1921-1932,36,mixed,china,0.56,china + japan: kwantung leased territory (union 83%)
china mainland|iia|1932-1944,CHN-1932-1945,134,redirected,china,0.63,china 63%
china mainland|iia|1945-1945,CHN-1945-1947,9,redirected,china,0.89,china 89%
china taiwan province of|iia|1909-1944,TWN-1895-1945,266,redirected,japanese taiwan,1.00,japanese taiwan 100%
china taiwan province of|iia|1945-1945,TWN-1945-2025,2,redirected,japanese taiwan,1.00,japanese taiwan 100% [only 2 values — below the 8-value floor]
colombia|iia|1914-1921,COL-1903-1922,8,clean,colombia,1.00,colombia 100%
colombia|iia|1924-1945,COL-1922-2025,26,clean,colombia,1.00,colombia 100%
congo|iia|1913-1918,COG-1912-1919,12,redirected,french equatorial africa,1.00,french equatorial africa 100%
congo|iia|1919-1945,COG-1919-1960,167,redirected,french equatorial africa,0.90,french equatorial africa 90%
costa rica|iia|1909-1944,CRI-1800-2025,51,clean,costa rica,1.00,costa rica 100%
cuba|iia|1909-1936,CUB-1800-2025,19,clean,cuba,1.00,cuba 100%
cyprus|iia|1909-1945,CYP-1879-2025,427,clean,british cyprus,0.98,british cyprus 98%
czech republic|iia|1910-1918,CZE-1804-1918,2,redirected,czechoslovakia,1.00,czechoslovakia 100% [only 2 values — below the 8-value floor]
czech republic|iia|1919-1937,F51-1918-1938,321,redirected,czechoslovakia,0.96,czechoslovakia 96%
czech republic|iia|1938-1944,F51-1938-1945,184,redirected,czechoslovakia,0.87,czechoslovakia 87%
czech republic|iia|1945-1945,F51-1945-1947,27,redirected,czechoslovakia,0.89,czechoslovakia 89%
denmark|iia|1909-1919,DNK-1864-1920,35,clean,denmark,1.00,denmark 100%
denmark|iia|1920-1945,DNK-1920-2025,64,clean,denmark,1.00,denmark 100%
djibouti|iia|1930-1945,FRS-1884-1977,5,redirected,french somali coast,1.00,french somali coast 100% [only 5 values — below the 8-value floor]
dominican republic|iia|1910-1942,DOM-1800-2025,16,clean,dominican republic,1.00,dominican republic 100%
dominica|iia|1909-1944,DMA-1800-2025,85,clean,british dominica,1.00,british dominica 100%
dr congo|iia|1915-1945,COD-1910-1960,149,redirected,belgian congo,1.00,belgian congo 100%
ecuador|iia|1922-1941,ECU-1800-1942,15,clean,ecuador,1.00,ecuador 100%
ecuador|iia|1942-1945,ECU-1942-2025,7,clean,ecuador,1.00,ecuador 100% [only 7 values — below the 8-value floor]
egypt|iia|1909-1924,EGY-1899-1925,94,clean,egypt,0.73,egypt 73%
egypt|iia|1925-1945,EGY-1925-1967,275,clean,egypt,0.65,egypt 65%
