raw_label,assigned_modern,iso3,layer_b_label,kind,n_labels_on_target,parent_label,n_sub_labels,notes_countries,notes,mixing_observed,fingerprint_note,dominant_raw_label,dominant_share,territory_signal
albania,Albania,ALB,albania,one_to_one,1,,0,0,,no,albania 100%,albania,1.00,clean
anglo-egyptian sudan,Egypt,EGY,egypt,multi_country,2,,0,3,Egypt; Sudan; South Sudan,no,egypt 67%,egypt,0.67,clean
new hebrides,Vanuatu,VUT,vanuatu,one_to_one,1,,0,0,,no,british‑french new hebrides 100%,british‑french new hebrides,1.00,redirected
argentina,Argentina,ARG,argentina,whole_with_sub_siblings,2,,1,0,,no,argentina 99%,argentina,0.99,clean
argentina: province of mendoza,Argentina,ARG,argentina,sub_of_sibling,2,argentina,0,0,,no,argentina 99%,argentina,0.99,clean
australia,Australia,AUS,australia,whole_with_sub_siblings,5,,3,0,,no,australia 92%,australia,0.92,clean
australia: queensland,Australia,AUS,australia,sub_of_sibling,5,australia,0,0,,no,australia 92%,australia,0.92,clean
australia: tasmania,Australia,AUS,australia,sub_of_sibling,5,australia,0,0,,no,australia 92%,australia,0.92,clean
christmas island,Australia,AUS,australia,shares_target,5,,0,0,,no,australia 92%,australia,0.92,clean
papua new guinea,Papua New Guinea,PNG,papua new guinea,shares_target,3,,0,0,,no,dutch new guinea + australian papua and new guinea (union 100%),dutch new guinea,0.72,mixed
austria-hungary,Austria,AUT,austria,multi_country,2,austria,0,13,Austria; Hungary; Czech Republic; Slovakia; Slovenia; Croatia; Bosnia and Herzegovina; Romania; Ukraine; Poland; Italy; Serbia; Montenegro,no,austria + austria-hungary (union 85%),austria,0.73,mixed
british west indies: bahamas,Bahamas,BHS,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
banaba island,Kiribati,KIR,kiribati,shares_target,2,,0,0,,no,british ocean island 100%,british ocean island,1.00,redirected
british west indies: barbados,Barbados,BRB,barbados,shares_target,2,,0,0,,no,british barbados 100%,british barbados,1.00,clean
belgian congo,Democratic Republic of the Congo,COD,dr congo,one_to_one,1,,0,0,,no,belgian congo 100%,belgian congo,1.00,redirected
ruanda-urundi,Burundi,BDI,burundi,one_to_one,1,,0,0,Ruanda-Urundi,no,belgian ruanda-urundi 100%,belgian ruanda-urundi,1.00,redirected
belgium,Belgium,BEL,belgium,one_to_one,1,,0,0,,no,belgium 100%,belgium,1.00,clean
british west indies: bermuda,Bermuda,BMU,bermuda,one_to_one,1,,0,0,,no,british bermuda 100%,british bermuda,1.00,clean
bolivia,Bolivia (Plurinational State of),BOL,bolivia,one_to_one,1,,0,0,,yes,bolivia 100%,bolivia,1.00,clean
brazil,Brazil,BRA,brazil,whole_with_sub_siblings,2,,1,0,,no,brazil 98%,brazil,0.98,clean
brazil: sao paulo,Brazil,BRA,brazil,sub_of_sibling,2,brazil,0,0,Sao Paulo,no,brazil 98%,brazil,0.98,clean
