source,country,item,year,area_ha,prod_t
iia,guadeloupe,cotton seed,1934,0.0,3884800.0
iia,libya,"tobacco, unmanufactured",1937,0.0,85000.0
iia,tunisia,"tobacco, unmanufactured",1936,0.0,71700.0
iia,libya,"tobacco, unmanufactured",1935,0.0,69600.0
iia,libya,"tobacco, unmanufactured",1936,0.0,68400.0
iia,tunisia,"tobacco, unmanufactured",1935,0.0,59500.0
iia,tunisia,"tobacco, unmanufactured",1937,0.0,55900.0
iia,burundi,"tobacco, unmanufactured",1935,0.0,52500.0
iia,burundi,"tobacco, unmanufactured",1934,0.0,52500.0
iia,mauritius,"tobacco, unmanufactured",1936,0.0,47800.0
iia,morocco,"tobacco, unmanufactured",1936,0.0,47400.0
iia,mauritius,"tobacco, unmanufactured",1933,0.0,46900.0
iia,morocco,"tobacco, unmanufactured",1937,0.0,41700.0
iia,morocco,"tobacco, unmanufactured",1934,0.0,32100.0
iia,mauritius,"tobacco, unmanufactured",1935,0.0,32000.0
iia,mauritius,"tobacco, unmanufactured",1934,0.0,27600.0
iia,burundi,"tobacco, unmanufactured",1936,0.0,23000.0
iia,malaysia,"tobacco, unmanufactured",1937,0.0,21100.0
iia,morocco,"tobacco, unmanufactured",1935,0.0,17600.0
iia,eswatini,"tobacco, unmanufactured",1933,0.0,17000.0
iia,antigua and barbuda,cotton seed,1934,0.0,14400.0
iia,malaysia,"tobacco, unmanufactured",1936,0.0,14300.0
iia,cyprus,"tobacco, unmanufactured",1936,0.0,13700.0
iia,malaysia,"tobacco, unmanufactured",1935,0.0,13500.0
iia,eswatini,"tobacco, unmanufactured",1935,0.0,12800.0
iia,malaysia,"tobacco, unmanufactured",1934,0.0,12600.0
iia,eswatini,"tobacco, unmanufactured",1934,0.0,11900.0
iia,eswatini,"tobacco, unmanufactured",1937,0.0,10600.0
iia,cameroon,"tobacco, unmanufactured",1936,0.0,10000.0
iia,jordan,"tobacco, unmanufactured",1937,0.0,9700.0
iia,eswatini,"tobacco, unmanufactured",1936,0.0,9100.0
iia,congo,cotton lint,1939,0.0,8800.0
iia,saint lucia,lemons and limes,1933,0.0,7100.0
iia,cameroon,"tobacco, unmanufactured",1937,0.0,7000.0
iia,cameroon,"tobacco, unmanufactured",1935,0.0,4400.0
iia,algeria,lemons and limes,1937,0.0,4000.0
iia,benin,"tobacco, unmanufactured",1934,0.0,4000.0
iia,benin,"tobacco, unmanufactured",1935,0.0,4000.0
iia,benin,"tobacco, unmanufactured",1937,0.0,4000.0
iia,benin,"tobacco, unmanufactured",1936,0.0,4000.0
iia,algeria,lemons and limes,1933,0.0,3900.0
iia,algeria,lemons and limes,1936,0.0,3800.0
