source,country,item,unit,indicator,year,n_rows,values,largest,sum_of_rest,ratio,verdict
fao1952,guatemala,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,36;35,36,35,1.0286,near_total
fao1952,guatemala,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,27;25,27,25,1.0800,near_total
fao1952,japan,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,16;15,16,15,1.0667,near_total
fao1952,germany western,dried milk,1000 tonnes,livestock:production,1949,2,11;10,11,10,1.1000,near_total
fao1952,united kingdom,dried milk,1000 tonnes,livestock:production,1949,2,20;19,20,19,1.0526,near_total
fao1952,italy,grapes,1000 hectares,crops:area,1949,3,2840;1724;1014,2840,2738,1.0373,near_total
fao1952,italy,grapes,1000 hectares,crops:area,1950,3,2896;1734;1010,2896,2744,1.0554,near_total
fao1952,italy,grapes,1000 hectares,crops:area,1951,3,2904;1743;1017,2904,2760,1.0522,near_total
fao1952,british west indies jamaica,horses mules asses,1000 heads,livestock:livestock,1938,2,11;10,11,10,1.1000,near_total
fao1952,dominican republic,horses mules asses,1000 heads,livestock:livestock,1951,3,134;80;43,134,123,1.0894,near_total
fao1952,greece,horses mules asses,1000 heads,livestock:livestock,1949,3,362;231;142,362,373,0.9705,near_total
fao1952,peru,horses mules asses,1000 heads,livestock:livestock,1950,3,550;432;159,550,591,0.9306,near_total
fao1952,somalia,horses mules asses,1000 heads,livestock:livestock,1939,3,11;7;3,11,10,1.1000,near_total
fao1952,spanish morocco,horses mules asses,1000 heads,livestock:livestock,1939,3,40;21;20,40,41,0.9756,near_total
fao1952,spanish morocco,horses mules asses,1000 heads,livestock:livestock,1950,3,37;20;20,37,40,0.9250,near_total
fao1952,tunisia,horses mules asses,1000 heads,livestock:livestock,1949,3,114;66;42,114,108,1.0556,near_total
fao1952,union of south africa,horses mules asses,1000 heads,livestock:livestock,1937,3,870;778;137,870,915,0.9508,near_total
fao1952,union of south africa,horses mules asses,1000 heads,livestock:livestock,1950,3,701;679;98,701,777,0.9022,near_total
fao1952,venezuela,horses mules asses,1000 heads,livestock:livestock,1937,3,248;209;47,248,256,0.9688,near_total
fao1952,venezuela,horses mules asses,1000 heads,livestock:livestock,1951,3,390;343;62,390,405,0.9630,near_total
fao1952,china taiwan,meat,1000 tonnes,livestock:production,1950,3,47;46;2,47,48,0.9792,near_total
fao1952,tanganyika,meat,1000 tonnes,livestock:production,1949,3,28;24;3,28,27,1.0370,near_total
fao1952,united kingdom,meat,1000 tonnes,livestock:production,1950,4,644;337;152;133,644,622,1.0354,near_total
fao1952,finland,other meat,1000 tonnes,livestock:production,1949,4,6.7;3.4;1.4;1.3,6.7,6.1,1.0984,near_total
fao1952,ireland,other meat,1000 tonnes,livestock:production,1951,3,2.7;1.9;0.7,2.7,2.6,1.0385,near_total
fao1952,japan,other meat,1000 tonnes,livestock:production,1951,3,17;14;2,17,16,1.0625,near_total
fao1952,netherlands,other meat,1000 tonnes,livestock:production,1949,3,19;12.3;5.9,19,18.2,1.0440,near_total
fao1952,norway,other meat,1000 tonnes,livestock:production,1949,4,7;2.8;2.4;2,7,7.2,0.9722,near_total
fao1952,norway,other meat,1000 tonnes,livestock:production,1950,4,7;2.6;2;2,7,6.6,1.0606,near_total
fao1952,sweden,other meat,1000 tonnes,livestock:production,1949,2,13.4;12.3,13.4,12.3,1.0894,near_total
fao1952,japan,pesticides arsenicals,tonnes,inputs:consumption,1949,2,952;891,952,891,1.0685,near_total
fao1952,japan,pesticides arsenicals,tonnes,inputs:consumption,1950,2,743;712,743,712,1.0435,near_total
fao1952,canada,pesticides copper sulphate,tonnes,inputs:consumption,1950,4,2210;1908;105;33,2210,2046,1.0802,near_total
fao1952,sweden,pesticides copper sulphate,tonnes,inputs:consumption,1949,2,50;48,50,48,1.0417,near_total
fao1952,canada,pesticides ddt,tonnes,inputs:consumption,1951,3,1570;881;564,1570,1445,1.0865,near_total
fao1952,united kingdom,butter,1000 tonnes,livestock:production,1949,2,18;10,18,10,1.8000,siblings_only
fao1952,united kingdom,butter,1000 tonnes,livestock:production,1950,2,24;16,24,16,1.5000,siblings_only
fao1952,united kingdom,butter,1000 tonnes,livestock:production,1951,2,14;6,14,6,2.3333,siblings_only
fao1952,belgian congo,cassava,1000 hectares,crops:area,1949,2,650;5,650,5,130.0000,siblings_only
fao1952,belgian congo,cassava,1000 tonnes,crops:production,1949,2,5472;33,5472,33,165.8182,siblings_only
fao1952,belgian congo,cassava,1000 hectares,crops:area,1950,2,721;3,721,3,240.3333,siblings_only
fao1952,belgian congo,cassava,1000 tonnes,crops:production,1950,2,6250;27,6250,27,231.4815,siblings_only
fao1952,belgian congo,cassava,1000 hectares,crops:area,1951,2,724;2,724,2,362.0000,siblings_only
fao1952,belgian congo,cassava,1000 tonnes,crops:production,1951,2,6203;19,6203,19,326.4737,siblings_only
fao1952,brazil,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,1266;380,1266,380,3.3316,siblings_only
fao1952,brazil,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,1485;360,1485,360,4.1250,siblings_only
fao1952,brazil,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,1592;270,1592,270,5.8963,siblings_only
fao1952,china 22 provinces,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,290;70,290,70,4.1429,siblings_only
fao1952,china 22 provinces,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,360;50,360,50,7.2000,siblings_only
fao1952,china 22 provinces,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,440;75,440,75,5.8667,siblings_only
fao1952,colombia,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,740;171,740,171,4.3275,siblings_only
fao1952,colombia,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,646;195,646,195,3.3128,siblings_only
fao1952,colombia,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,650;218,650,218,2.9817,siblings_only
fao1952,ecuador,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,46;22,46,22,2.0909,siblings_only
fao1952,ecuador,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,55;21,55,21,2.6190,siblings_only
fao1952,ecuador,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,54;21,54,21,2.5714,siblings_only
fao1952,guatemala,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,30;27,30,27,1.1111,siblings_only
fao1952,india,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,2787;1255,2787,1255,2.2207,siblings_only
fao1952,india,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,3180;1350,3180,1350,2.3556,siblings_only
fao1952,india,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,3330;1720,3330,1720,1.9360,siblings_only
fao1952,japan,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,19;16,19,16,1.1875,siblings_only
fao1952,japan,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,26;14,26,14,1.8571,siblings_only
fao1952,mexico,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,628;150,628,150,4.1867,siblings_only
fao1952,mexico,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,705;150,705,150,4.7000,siblings_only
fao1952,mexico,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,732;150,732,150,4.8800,siblings_only
fao1952,pakistan,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,3,762;115;45,762,160,4.7625,siblings_only
fao1952,pakistan,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,3,726;115;50,726,165,4.4000,siblings_only
fao1952,pakistan,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,3,726;115;87,726,202,3.5941,siblings_only
fao1952,peru,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,427;24,427,24,17.7917,siblings_only
fao1952,peru,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,464;26,464,26,17.8462,siblings_only
fao1952,peru,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,462;22,462,22,21.0000,siblings_only
fao1952,philippines,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,621;33,621,33,18.8182,siblings_only
fao1952,philippines,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,848;36,848,36,23.5556,siblings_only
fao1952,philippines,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,973;45,973,45,21.6222,siblings_only
fao1952,thailand,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,32;19,32,19,1.6842,siblings_only
fao1952,thailand,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,32;19,32,19,1.6842,siblings_only
fao1952,thailand,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,32;19,32,19,1.6842,siblings_only
fao1952,united states,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,3,1788;408;380,1788,788,2.2690,siblings_only
fao1952,venezuela,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1949,2,120;54,120,54,2.2222,siblings_only
fao1952,venezuela,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1950,2,120;48,120,48,2.5000,siblings_only
fao1952,venezuela,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,crops:production,1951,2,100;64,100,64,1.5625,siblings_only
fao1952,austria,cheese,1000 tonnes,livestock:production,1949,2,9;5,9,5,1.8000,siblings_only
fao1952,austria,cheese,1000 tonnes,livestock:production,1950,2,12;5,12,5,2.4000,siblings_only
fao1952,austria,cheese,1000 tonnes,livestock:production,1951,2,11;5,11,5,2.2000,siblings_only
fao1952,belgium,cheese,1000 tonnes,livestock:production,1949,2,6;4,6,4,1.5000,siblings_only
fao1952,belgium,cheese,1000 tonnes,livestock:production,1950,2,8;5,8,5,1.6000,siblings_only
fao1952,belgium,cheese,1000 tonnes,livestock:production,1951,2,10;6,10,6,1.6667,siblings_only
fao1952,canada,cheese,1000 tonnes,livestock:production,1949,2,55;3,55,3,18.3333,siblings_only
fao1952,canada,cheese,1000 tonnes,livestock:production,1950,2,47;4,47,4,11.7500,siblings_only
fao1952,canada,cheese,1000 tonnes,livestock:production,1951,2,41;5,41,5,8.2000,siblings_only
fao1952,ecuador,cheese,1000 tonnes,livestock:production,1949,2,3;1,3,1,3.0000,siblings_only
fao1952,france,cheese,1000 tonnes,livestock:production,1949,2,240;20,240,20,12.0000,siblings_only
fao1952,france,cheese,1000 tonnes,livestock:production,1950,2,250;23,250,23,10.8696,siblings_only
fao1952,france,cheese,1000 tonnes,livestock:production,1951,2,260;22,260,22,11.8182,siblings_only
fao1952,germany western,cheese,1000 tonnes,livestock:production,1949,2,149;34,149,34,4.3824,siblings_only
fao1952,germany western,cheese,1000 tonnes,livestock:production,1950,2,137;52,137,52,2.6346,siblings_only
fao1952,germany western,cheese,1000 tonnes,livestock:production,1951,2,152;74,152,74,2.0541,siblings_only
fao1952,greece,cheese,1000 tonnes,livestock:production,1949,2,28;1,28,1,28.0000,siblings_only
fao1952,greece,cheese,1000 tonnes,livestock:production,1950,2,41;2,41,2,20.5000,siblings_only
fao1952,greece,cheese,1000 tonnes,livestock:production,1951,2,41;2,41,2,20.5000,siblings_only
fao1952,iraq,cheese,1000 tonnes,livestock:production,1949,2,10;3,10,3,3.3333,siblings_only
fao1952,iraq,cheese,1000 tonnes,livestock:production,1950,2,10;4,10,4,2.5000,siblings_only
fao1952,norway,cheese,1000 tonnes,livestock:production,1949,3,9;9;3,9,12,0.7500,siblings_only
fao1952,norway,cheese,1000 tonnes,livestock:production,1950,3,12;11;6,12,17,0.7059,siblings_only
fao1952,norway,cheese,1000 tonnes,livestock:production,1951,2,26;6,26,6,4.3333,siblings_only
fao1952,peru,cheese,1000 tonnes,livestock:production,1949,2,8;1,8,1,8.0000,siblings_only
fao1952,switzerland,cheese,1000 tonnes,livestock:production,1951,2,49;2,49,2,24.5000,siblings_only
fao1952,syria,cheese,1000 tonnes,livestock:production,1950,2,5;1,5,1,5.0000,siblings_only
fao1952,syria,cheese,1000 tonnes,livestock:production,1951,2,10;3,10,3,3.3333,siblings_only
fao1952,united states,cheese,1000 tonnes,livestock:production,1949,2,544;1,544,1,544.0000,siblings_only
fao1952,united states,cheese,1000 tonnes,livestock:production,1950,2,541;1,541,1,541.0000,siblings_only
fao1952,united kingdom dependent territories,commercial nitrogenous fertilizers,1000 tonnes,inputs:consumption,1949,5,9.4;7.7;4.8;2.5;0.1,9.4,15.1,0.6225,siblings_only
fao1952,united kingdom dependent territories,commercial nitrogenous fertilizers,1000 tonnes,inputs:consumption,1950,5,11.7;8.4;5.8;3;0.8,11.7,18,0.6500,siblings_only
