layer_b_label,item,unit,n_values,n_distinct,raw_label,raw_product,product_agrees,share,status,runner_up,label_is_mixed
australia,butter cow milk,tonnes,7,7,,,,,too_few_values,,yes
australia,cheese processed,tonnes,6,6,,,,,too_few_values,,yes
australia,coffee green,ha,21,14,australia,coffee: raw,yes,1.0000,attributable,portugal/citrus fruits: lemons=0.24,yes
australia,coffee green,tonnes,21,17,australia,coffee: raw,yes,1.0000,attributable,uruguay/rye=0.19,yes
australia,cotton lint,ha,33,28,australia,cotton,yes,0.6061,attributable,australia: queensland/cottonseed=0.30,yes
australia,cotton lint,tonnes,31,29,australia,cotton,yes,0.6129,attributable,australia: queensland/cotton: ginned=0.23,yes
australia,cotton seed,ha,20,16,,,,,unattributable,australia: queensland/cottonseed=0.50,yes
australia,cotton seed,tonnes,20,19,,,,,unattributable,australia: queensland/cottonseed=0.55,yes
australia,eggs hen in shell,tonnes,3,2,,,,,too_few_values,,yes
australia,flax fibre and tow,ha,24,17,australia,linseed,no,0.6667,attributable,sweden/tobacco=0.25,yes
australia,flax fibre and tow,tonnes,20,18,australia,flax: fibre,yes,0.6000,attributable,portuguese mozambique: company concession/cotton: ginned=0.20,yes
australia,grapes,ha,27,21,,,,,unattributable,australia/vineyards=0.41,yes
australia,grapes,tonnes,27,27,,,,,unattributable,"australia/vineyards: grapes, raisins=0.41",yes
australia,groundnuts with shell,ha,16,11,australia,groundnut,yes,1.0000,attributable,spain/tobacco=0.31,yes
australia,groundnuts with shell,tonnes,15,15,australia,groundnut,yes,1.0000,attributable,hungary/soybean=0.13,yes
australia,hops,ha,28,18,australia,hops,yes,1.0000,attributable,"french tunisia/vineyards: grapes, raisins=0.14",yes
australia,hops,tonnes,28,28,australia,hops,yes,1.0000,attributable,ussr/soybean=0.04,yes
australia,lemons and limes,ha,14,4,,,,,too_few_distinct,,yes
australia,lemons and limes,tonnes,15,14,australia,citrus fruits: lemons,yes,1.0000,attributable,switzerland/meslin=0.13,yes
australia,linseed,ha,6,6,,,,,too_few_values,,yes
australia,linseed,tonnes,13,13,australia,linseed,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
australia,milk whole fresh cow,tonnes,7,7,,,,,too_few_values,,yes
australia,n,tonnes,15,15,australia,fertilizers: ammonium sulfate,unknown,1.0000,attributable,mexico/vineyards: grapes=0.07,yes
australia,olives,ha,8,4,,,,,too_few_distinct,,yes
australia,olives,tonnes,14,9,australia,olive grove,yes,1.0000,attributable,french algeria/beans: dried=0.36,yes
australia,oranges,ha,14,7,australia,"citrus fruits: mandarins, oranges",yes,0.7857,attributable,czechoslovakia/vineyards: all=0.29,yes
australia,oranges,tonnes,15,14,australia,"citrus fruits: mandarins, oranges",yes,0.8000,attributable,"total/citrus fruits: grapefruits, lemons, mandarins, oranges, other=0.07",yes
australia,other sugar crops n e c,ha,10,5,,,,,too_few_distinct,,yes
australia,other sugar crops n e c,tonnes,14,13,australia,citrus fruits: other,no,1.0000,attributable,yugoslavia/hempseed=0.14,yes
australia,p,tonnes,16,16,australian christmas island,"fertilizers: phosphate, natural",unknown,1.0000,attributable,yugoslavia/wine=0.00,yes
australia,raisins,ha,3,3,,,,,too_few_values,,yes
australia,raisins,tonnes,15,15,australia,raisins,yes,0.8000,attributable,"usa: california/vineyards: grapes, raisins=0.07",yes
australia,rye,ha,27,23,australia,rye,yes,1.0000,attributable,"ussr/citrus fruits: lemons, mandarins, oranges=0.15",yes
australia,rye,tonnes,27,26,australia,rye,yes,1.0000,attributable,british jamaica/cacao: raw=0.07,yes
australia,sugar raw centrifugal,tonnes,33,32,,,,,unattributable,australia/sugar: cane=0.52,yes
australia,tobacco unmanufactured,ha,28,21,australia,tobacco,yes,1.0000,attributable,hungary/flax: fibre=0.21,yes
australia,tobacco unmanufactured,tonnes,23,23,australia,tobacco,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
australia,wine,ha,16,7,australia,wine,yes,1.0000,attributable,"total south hemisphere aggregated/vineyards: grapes, raisins=0.38",yes
austria,butter cow milk,tonnes,7,7,,,,,too_few_values,,yes
austria,cheese processed,tonnes,7,6,,,,,too_few_values,,yes
austria,eggs hen in shell,tonnes,11,11,austria,eggs,yes,1.0000,attributable,yugoslavia/wine=0.00,yes
austria,fertilizer mixed,tonnes,9,9,,,,,unattributable,"kingdom of serbs, croats and slovenes/sugar: beet=0.11",yes
austria,grapes,tonnes,5,5,,,,,too_few_values,,yes
austria,hempseed,tonnes,2,1,,,,,too_few_values,,yes
austria,hops,ha,3,3,,,,,too_few_values,,yes
austria,milk whole fresh cow,tonnes,7,7,,,,,too_few_values,,yes
austria,n,tonnes,14,9,austria-hungary,fertilizers: calcium cyanamide,unknown,0.7143,attributable,austria/fertilizers: ammonium sulfate=0.29,yes
austria,p,tonnes,12,12,,,,,unattributable,austria/fertilizers: calcium superphosphate=0.33,yes
austria,silk worm cocoons reelable,tonnes,8,8,austria,sericulture,no,1.0000,attributable,yugoslavia/wine=0.00,yes
austria,soybeans,ha,5,2,,,,,too_few_values,,yes
