polity_code,year,item,recorded,implied_correct,diagnosis,use_total,territory_1000ha,components_present
BRA-1800-2025,1947,use agricultural area arable land orchards,1918835.0,18835.0,decimal point dropped (x100),851604.0,847174.1,5
MOZ-1891-1975,1948,use forests woodlands,1019400.0,19400.0,digits prepended,77113.0,78636.9,4
NZL-1840-2025,1951,use forests woodlands,477897.0,7897.0,digits prepended,26867.0,26869.0,4
PAK-1947-1949,1948,use forests woodlands,313200.0,3200.0,digits prepended,97636.0,93257.4,4
GUY-1800-2025,1951,use agricultural area permanent peadows pastures,202723.0,2723.0,digits prepended,21500.0,21047.4,4
NRH-1911-1953,1951,(multiple),44624.0,74624.0,"components sum to 44,624 but total is 74,624",74624.0,,4
MAR-1911-1958,1950,use unused productive land,37510.0,7510.0,digits prepended,39080.0,35026.8,5
CHN-1945-1947,1947,(multiple),35910.0,106930.0,"components sum to 35,910 but total is 106,930",106930.0,753243.9,2
JPN-1945-1952,1951,(multiple),35848.0,36848.0,"components sum to 35,848 but total is 36,848",36848.0,37114.7,4
ZWE-1900-1953,1951,(multiple),34941.0,38941.0,"components sum to 34,941 but total is 38,941",38941.0,38971.1,4
ECU-1942-2025,1949,(multiple),26500.0,27500.0,"components sum to 26,500 but total is 27,500",27500.0,25524.1,5
AOF-1895-1960,1950,use agricultural area permanent peadows pastures,25000.0,10299.0,value too large (basis unclear),471149.0,462289.8,5
ADE-1839-1963,1947,use agricultural area arable land orchards,24110.0,110.0,digits prepended,29008.0,28700.6,3
GBR-1921-2025,1951,(multiple),23401.0,24401.0,"components sum to 23,401 but total is 24,401",24401.0,24396.4,4
GUM-1950-2025,1951,(multiple),20513.0,54.0,"components sum to 20,513 but total is 54",54.0,53.8,5
NCL-1800-2025,1949,use agricultural area arable land orchards,17612.0,1785.0,value too large (basis unclear),1860.0,1879.8,2
ISR-1948-1967,1951,use agricultural area arable land orchards,17397.0,397.0,digits prepended,2059.0,2078.6,3
F78-1949-1990,1951,(multiple),16426.0,24426.0,"components sum to 16,426 but total is 24,426",24426.0,24755.2,4
CRI-1800-2025,1950,use agricultural area arable land orchards,16353.0,353.0,digits prepended,5080.0,5114.1,4
ROU-1940-1947,1947,(multiple),13738.0,23738.0,"components sum to 13,738 but total is 23,738",23738.0,24503.5,4
RWB-1922-1962,1951,use builton wasteland,12581.0,1258.0,value too large (basis unclear),5417.0,5235.1,4
LBR-1847-2025,1948,(multiple),10137.0,11137.0,"components sum to 10,137 but total is 11,137",11137.0,9599.0,5
GTM-1821-2025,1950,(multiple),8889.0,10889.0,"components sum to 8,889 but total is 10,889",10889.0,10911.8,4
HUN-1947-2025,1947,(multiple),8301.0,9301.0,"components sum to 8,301 but total is 9,301",9301.0,9300.4,4
GRC-1947-2025,1951,(multiple),7256.0,13256.0,"components sum to 7,256 but total is 13,256",13256.0,12984.1,5
AUT-1919-2025,1951,(multiple),6136.0,8136.0,"components sum to 6,136 but total is 8,136",8136.0,8402.1,5
FTO-1920-1960,1951,(multiple),3464.0,5500.0,"components sum to 3,464 but total is 5,500",5500.0,,4
NLD-1830-2025,1951,(multiple),2505.0,3505.0,"components sum to 2,505 but total is 3,505",3505.0,3829.5,4
FRS-1884-1977,1950,(multiple),2106.0,2300.0,"components sum to 2,106 but total is 2,300",2300.0,2148.1,4
SLB-1800-2025,1949,(multiple),1979.0,2979.0,"components sum to 1,979 but total is 2,979",2979.0,2807.7,5
REU-1946-2025,1951,use agricultural area arable land orchards,1770.0,70.0,digits prepended,250.0,262.3,3
GNB-1886-1974,1937,(multiple),1612.0,3612.0,"components sum to 1,612 but total is 3,612",3612.0,3318.5,3
HAWI-1898-1959,1951,(multiple),1182.0,1659.0,"components sum to 1,182 but total is 1,659",1659.0,1663.2,4
JAM-1800-2025,1948,(multiple),1142.0,142.0,"components sum to 1,142 but total is 142",142.0,1100.1,5
PAN-1903-1979,1951,(multiple),957.0,7401.0,"components sum to 957 but total is 7,401",7401.0,7405.0,2
ANT-1816-1960,1951,use builton wasteland,394.0,94.0,digits prepended,99.0,79.5,2
CZN-1903-1979,1951,(multiple),87.0,143.0,components sum to 87 but total is 143,143.0,,3
BMU-1684-1968,1948,(multiple),33.0,6.0,components sum to 33 but total is 6,6.0,7.2,5
NFK-1914-2025,1949,(multiple),3.5,35.0,components sum to 4 but total is 35,35.0,3.7,2
