check,source,source_detail,country,year,period,n_columns,total_column,total_recorded,components_sum,residual,columns,column_index,recorded,implied_correct,diagnosis,evidence
carcass-weight-bounds,fao1952,r_fao_livestock_1952_152_153_carcass_weights_sheep_lambs.xlsx,Northern Rhodesia,1950,,1,,,,,627,,627.0,,627 kg is outside the physical bounds for sheep lambs (4-60 kg dressed),"same country, in-bounds years: 1949=14"
carcass-weight-bounds,fao1952,r_fao_livestock_1952_152_153_carcass_weights_sheep_lambs.xlsx,Northern Rhodesia,1951,,1,,,,,627,,627.0,,627 kg is outside the physical bounds for sheep lambs (4-60 kg dressed),"same country, in-bounds years: 1949=14"
carcass-weight-bounds,fao1952,r_fao_livestock_1952_152_153_carcass_weights_sheep_lambs.xlsx,Spain,1949,,1,,,,,69,,69.0,,69 kg is outside the physical bounds for sheep lambs (4-60 kg dressed),"same country, in-bounds years: 1950=11"
carcass-weight-bounds,fao1952,r_fao_livestock_1952_152_153_carcass_weights_calves.xlsx,Surinam,1950,,1,,,,,1,,1.0,,1 kg is outside the physical bounds for calves (8-150 kg dressed),no in-bounds year for this country and species
carcass-weight-bounds,fao1952,r_fao_livestock_1952_152_153_carcass_weights_sheep_lambs.xlsx,Zanzibar and Pemba,1949,,1,,,,,1,,1.0,,1 kg is outside the physical bounds for sheep lambs (4-60 kg dressed),"same country, in-bounds years: 1950=19"
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Argentina,,1934-1938,4,3,129.0,1129.0,-1000.0,937|94|98|129,3,129.0,1129.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:129->1129
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Argentina,1949,,4,3,276.0,1276.0,-1000.0,1027|139|110|276,3,276.0,1276.0,leading digit dropped (1000) in the stated total,only correction its own column agrees with; candidates col0:1027->27;col3:276->1276
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Australia,1949,,4,3,72.0,1072.0,-1000.0,603|95|374|72,3,72.0,1072.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:72->1072
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Australia,1950,,4,3,21.0,1021.0,-1000.0,632|86|303|21,3,21.0,1021.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:21->1021
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Australia,1951,,4,3,2.0,1002.0,-1000.0,648|86|268|2,3,2.0,1002.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:2->1002
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Brazil,,1934-1938,4,3,88.0,1088.0,-1000.0,836|240|12|88,3,88.0,1088.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:88->1088
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Cyprus,1949,,3,2,8.0,6.0,2.0,3|3|8,,,,a component column was not extracted: this block has 3 of the table's 4 columns and the total exceeds them by 2,no cell correction proposed
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Cyprus,1950,,3,2,8.0,6.0,2.0,3|3|8,,,,a component column was not extracted: this block has 3 of the table's 4 columns and the total exceeds them by 2,no cell correction proposed
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Cyprus,1951,,3,2,8.0,6.0,2.0,3|3|8,,,,a component column was not extracted: this block has 3 of the table's 4 columns and the total exceeds them by 2,no cell correction proposed
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,France,1950,,4,3,1901.0,901.0,1000.0,11|790|100|1901,0,11.0,1011.0,leading digit dropped (1000) in a component,only correction its own column agrees with; candidates col0:11->1011;col1:790->1790;col2:100->1100;col3:1901->901
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,France,1951,,4,3,835.0,1835.0,-1000.0,990|745|100|835,3,835.0,1835.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:835->1835
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,Germany Western,1951,,4,3,1633.0,633.0,1000.0,579|25|29|1633,1,25.0,1025.0,leading digit dropped (1000) in a component,only correction its own column agrees with; candidates col0:579->1579;col1:25->1025;col2:29->1029;col3:1633->633
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,United Kingdom,,1934-1938,4,3,277.0,1277.0,-1000.0,625|446|206|277,3,277.0,1277.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:277->1277
meat-total-identity,fao1952,r_fao_livestock_1952_142_147_meat.xlsx,United Kingdom,1950,,4,3,133.0,1133.0,-1000.0,644|337|152|133,3,133.0,1133.0,leading digit dropped (1000) in the stated total,sole cell the error mode can explain; candidates col3:133->1133
