item,whep_code,source,unit,max_ha,median_ha,ha_territory,n,times_over
use unused productive land,GUM-1950-2025,fao1952,1000 hectares,12118000.0,12118000.0,53768.0341600426,1,225.37554495539695
use builton wasteland,GUM-1950-2025,fao1952,1000 hectares,8361000.0,8361000.0,53768.0341600426,1,155.50131468658805
use builton wasteland,NRU-1888-2025,fao1952,1000 hectares,173000.0,173000.0,1726.101960252024,1,100.22582905516236
use forests woodlands,NZL-1840-2025,fao1952,1000 hectares,477897000.0,477897000.0,26869025.47565733,1,17.78616795882541
use forests woodlands,MOZ-1891-1975,fao1952,1000 hectares,1019400000.0,1019400000.0,78636924.50121142,1,12.963375748301244
use agricultural area permanent peadows pastures,GUY-1800-2025,fao1952,1000 hectares,202723000.0,202723000.0,21047391.66919121,1,9.631739798748661
use total,NFK-1914-2025,fao1952,1000 hectares,35000.0,35000.0,3721.19408860773,1,9.405583037754182
use agricultural area arable land orchards,NCL-1800-2025,fao1952,1000 hectares,17612000.0,17612000.0,1879774.301031863,1,9.369209904791367
use agricultural area arable land orchards,ISR-1948-1967,fao1952,1000 hectares,17397000.0,17397000.0,2078611.1689025718,1,8.369530704092655
use agricultural area arable land orchards,REU-1946-2025,fao1952,1000 hectares,1770000.0,1770000.0,262308.318152435,1,6.747784486847274
use builton wasteland,ANT-1816-1960,fao1952,1000 hectares,394000.0,394000.0,79455.31766581097,1,4.9587618749089115
use land,IRL-1921-2025,fao1952,1000 hectares,26889000.0,26889000.0,6956458.76553353,1,3.8653287407127657
use forests woodlands,PAK-1947-1949,fao1952,1000 hectares,313200000.0,313200000.0,93257436.68916978,1,3.3584453006563573
use builton wasteland,BMU-1684-1968,fao1952,1000 hectares,23000.0,23000.0,7154.847001431386,1,3.2146040293242693
use agricultural area arable land orchards,CRI-1800-2025,fao1952,1000 hectares,16353000.0,16353000.0,5114145.329885582,1,3.197601738933348
use land,SHN-1834-1967,fao1952,1000 hectares,33000.0,33000.0,12849.304996404166,1,2.568232290325036
use total,SHN-1834-1967,fao1952,1000 hectares,33000.0,33000.0,12849.304996404166,1,2.568232290325036
use builton wasteland,SHN-1834-1967,fao1952,1000 hectares,32000.0,32000.0,12849.304996404166,1,2.490407069406096
use builton wasteland,RWB-1922-1962,fao1952,1000 hectares,12581000.0,12581000.0,5235062.635979226,1,2.4032186193024807
use agricultural area arable land orchards,BRA-1800-2025,fao1952,1000 hectares,1918835000.0,1918835000.0,847174096.2747214,1,2.264983087228107
use total,KOR-1948-2025,fao1952,1000 hectares,20189000.0,20189000.0,9709693.627083011,1,2.0792623099545917
use builton wasteland,QAT-1800-2025,fao1952,1000 hectares,2200000.0,2200000.0,1106224.6486352016,1,1.988746140048712
use total,QAT-1800-2025,fao1952,1000 hectares,2200000.0,2200000.0,1106224.6486352016,1,1.988746140048712
use total,SLV-1821-2025,fao1952,1000 hectares,3413000.0,3413000.0,2055811.2635569575,1,1.6601718555111131
use total,SMR-1800-2025,fao1952,1000 hectares,10000.0,10000.0,6647.405710084074,1,1.5043462722352061
use builton wasteland,SMR-1800-2025,fao1952,1000 hectares,10000.0,10000.0,6647.405710084074,1,1.5043462722352061
use total,FLK-1833-2025,fao1952,1000 hectares,1572000.0,1572000.0,1220829.355341949,1,1.2876492469004315
use builton wasteland,FLK-1833-2025,fao1952,1000 hectares,1572000.0,1572000.0,1220829.355341949,1,1.2876492469004315
use total,CHN-1947-1949,fao1952,1000 hectares,973629000.0,973629000.0,759356379.89058,1,1.2821766245518287
use builton wasteland,TLS-1800-2025,fao1952,1000 hectares,1899000.0,1899000.0,1497800.3017827482,1,1.267859271853348
use total,TLS-1800-2025,fao1952,1000 hectares,1899000.0,1899000.0,1497800.3017827482,1,1.267859271853348
use total,ANT-1816-1960,fao1952,1000 hectares,99000.0,99000.0,79455.31766581097,1,1.2459833137461478
use land,CHN-1947-1949,fao1952,1000 hectares,944420000.0,944420000.0,759356379.89058,1,1.2437111546176602
use total,KWT-1800-2025,fao1952,1000 hectares,2072000.0,2072000.0,1679832.1370765478,1,1.2334565783495197
use builton wasteland,KWT-1800-2025,fao1952,1000 hectares,2072000.0,2072000.0,1679832.1370765478,1,1.2334565783495197
use land,ANT-1816-1960,fao1952,1000 hectares,98000.0,98000.0,79455.31766581097,1,1.233397623708308
use total,BEC-1885-1966,fao1952,1000 hectares,71200000.0,71200000.0,57842608.077262014,1,1.2309265153621036
use land,VUT-1800-2025,fao1952,1000 hectares,1476000.0,1476000.0,1218199.2516876068,1,1.2116244513820331
use total,VUT-1800-2025,fao1952,1000 hectares,1476000.0,1476000.0,1218199.2516876068,1,1.2116244513820331
use land,BEC-1885-1966,fao1952,1000 hectares,69700000.0,69700000.0,57842608.077262014,1,1.204994074729475
use total,BTN-1800-2025,fao1952,1000 hectares,4660000.0,4660000.0,3979876.296463814,1,1.1708906641496588
use builton wasteland,BTN-1800-2025,fao1952,1000 hectares,4660000.0,4660000.0,3979876.296463814,1,1.1708906641496588
use builton wasteland,VUT-1800-2025,fao1952,1000 hectares,1423000.0,1423000.0,1218199.2516876068,1,1.1681176113256324
use total,LBR-1847-2025,fao1952,1000 hectares,11137000.0,11137000.0,9599038.64664896,1,1.1602203522628742
use land,NRU-1888-2025,fao1952,1000 hectares,2000.0,2000.0,1726.101960252024,1,1.1586801046839579
use total,NRU-1888-2025,fao1952,1000 hectares,2000.0,2000.0,1726.101960252024,1,1.1586801046839579
use total,NIC-1800-2025,fao1952,1000 hectares,14800000.0,14800000.0,12807661.738376657,1,1.1555583136345282
use land,MLT-1800-2025,fao1952,1000 hectares,32000.0,32000.0,28358.000624805027,1,1.1284293425118723
use total,MLT-1800-2025,fao1952,1000 hectares,32000.0,32000.0,28358.000624805027,1,1.1284293425118723
use forests woodlands,KOR-1948-2025,fao1952,1000 hectares,15442000.0,10928500.0,9709693.627083011,2,1.1255246993084727
use total,GLP-1816-2025,fao1952,1000 hectares,178000.0,178000.0,158194.06380335675,1,1.1252002491146762
use land,GLP-1816-2025,fao1952,1000 hectares,177000.0,177000.0,158194.06380335675,1,1.1188788994005487
use total,MAR-1911-1958,fao1952,1000 hectares,39080000.0,39080000.0,35026770.63170169,1,1.1157180435192575
use land,MAR-1911-1958,fao1952,1000 hectares,38990000.0,38990000.0,35026770.63170169,1,1.1131485802665264
use total,GNB-1886-1974,fao1952,1000 hectares,3612000.0,3612000.0,3318515.721335433,1,1.0884384174459971
use total,LBY-1949-1951,fao1952,1000 hectares,175950000.0,175950000.0,161794618.432111,1,1.0874898170598215
use total,ECU-1942-2025,fao1952,1000 hectares,27500000.0,27500000.0,25524124.894356336,1,1.0774120607002888
use total,GUF-1946-2025,fao1952,1000 hectares,9000000.0,9000000.0,8365971.085930505,1,1.0757866489803884
use unused productive land,MAR-1911-1958,fao1952,1000 hectares,37510000.0,37510000.0,35026770.63170169,1,1.0708951845549475
use total,FRS-1884-1977,fao1952,1000 hectares,2300000.0,2300000.0,2148083.2598623834,1,1.070721998060424
use land,NIC-1800-2025,fao1952,1000 hectares,13700000.0,13700000.0,12807661.738376657,1,1.0696722227562863
use total,SLB-1800-2025,fao1952,1000 hectares,2979000.0,2979000.0,2807695.1498140325,1,1.061012624606811
use total,MWI-1891-1953,fao1952,1000 hectares,12547000.0,12547000.0,11835910.457997555,1,1.060078989658287
use total,BRB-1800-2025,fao1952,1000 hectares,45000.0,45000.0,42554.2223848971,1,1.057474381577959
use total,URY-1828-2025,fao1952,1000 hectares,18693000.0,18693000.0,17786635.52194432,1,1.0509576123566173
use total,CUB-1800-2025,fao1952,1000 hectares,11452000.0,11452000.0,10907411.801961381,1,1.0499282696872865
use land,BNB-1881-1963,fao1952,1000 hectares,7611000.0,7611000.0,7255685.503353662,1,1.048970493068106
use total,BNB-1881-1963,fao1952,1000 hectares,7611000.0,7611000.0,7255685.503353662,1,1.048970493068106
use land,FRS-1884-1977,fao1952,1000 hectares,2250000.0,2250000.0,2148083.2598623834,1,1.0474454328851974
use total,PAK-1947-1949,fao1952,1000 hectares,97636000.0,97636000.0,93257436.68916978,1,1.0469513581573566
use land,URY-1828-2025,fao1952,1000 hectares,18617000.0,18617000.0,17786635.52194432,1,1.0466847413065397
use forests woodlands,GUF-1946-2025,fao1952,1000 hectares,8747000.0,8747000.0,8365971.085930505,1,1.045545090959051
use total,SPM-1816-2025,fao1952,1000 hectares,24000.0,24000.0,22982.456779021762,1,1.044274780140435
use total,GNQ-1886-1968,fao1952,1000 hectares,2805000.0,2805000.0,2690419.335070084,1,1.0425884037615762
use total,FCM-1920-1960,fao1952,1000 hectares,44090000.0,44090000.0,42296394.22825594,1,1.042405642477813
use total,IND-1949-2025,fao1952,1000 hectares,328117000.0,328117000.0,315179706.4016597,1,1.0410473559546158
use total,BLZ-1886-1970,fao1952,1000 hectares,2297000.0,2297000.0,2207598.263791993,1,1.0404972850696312
use land,JAM-1800-2025,fao1952,1000 hectares,1142000.0,1142000.0,1100103.9856468183,1,1.0380836856331799
use total,RWB-1922-1962,fao1952,1000 hectares,5417000.0,5417000.0,5235062.635979226,1,1.0347536174200411
use land,ASM-1900-2025,fao1952,1000 hectares,20000.0,20000.0,19328.487441122943,1,1.0347421163152353
use total,ASM-1900-2025,fao1952,1000 hectares,20000.0,20000.0,19328.487441122943,1,1.0347421163152353
use builton wasteland,WSM-1900-2025,fao1952,1000 hectares,293000.0,293000.0,283517.8451854064,1,1.0334446489898819
use total,WSM-1900-2025,fao1952,1000 hectares,293000.0,293000.0,283517.8451854064,1,1.0334446489898819
use land,FCM-1920-1960,fao1952,1000 hectares,43590000.0,43590000.0,42296394.22825594,1,1.0305843038241749
use total,LAO-1893-1953,fao1952,1000 hectares,23680000.0,23680000.0,22998651.31474887,1,1.0296255930805034
use total,ERI-1889-1952,fao1952,1000 hectares,12432000.0,12432000.0,12080310.237296669,1,1.0291126432844022
use land,ERI-1889-1952,fao1952,1000 hectares,12431000.0,12431000.0,12080310.237296669,1,1.0290298639533788
use total,PHL-1800-2025,fao1952,1000 hectares,29968000.0,29968000.0,29182461.134617478,1,1.0269181842394604
use total,HND-1800-2025,fao1952,1000 hectares,11520000.0,11520000.0,11228036.927334527,1,1.0260030381584062
use total,BSS-1884-1960,fao1952,1000 hectares,17600000.0,17600000.0,17163330.644501563,1,1.025441994012877
use total,DOM-1800-2025,fao1952,1000 hectares,4954000.0,4954000.0,4833290.089462071,1,1.0249746876979535
use total,HTI-1800-2025,fao1952,1000 hectares,2775000.0,2775000.0,2709257.287543195,1,1.0242659539051833
use total,CPV-1886-1975,fao1952,1000 hectares,403000.0,403000.0,393894.7183464104,1,1.0231160288003203
use total,GUY-1800-2025,fao1952,1000 hectares,21500000.0,21500000.0,21047391.66919121,1,1.021504248028572
use total,GRC-1947-2025,fao1952,1000 hectares,13256000.0,13256000.0,12984108.643504981,1,1.0209403174264895
use total,JOR-1946-2025,fao1952,1000 hectares,9111000.0,9111000.0,8926319.063867755,1,1.0206894840763425
use land,BLZ-1886-1970,fao1952,1000 hectares,2253000.0,2253000.0,2207598.263791993,1,1.0205661224474876
use total,TON-1800-2025,fao1952,1000 hectares,69000.0,69000.0,67642.23019865819,1,1.0200728124627794
use total,PRY-1938-2025,fao1952,1000 hectares,40676000.0,40676000.0,39881620.48693258,1,1.0199184361961344
use land,JOR-1946-2025,fao1952,1000 hectares,9100000.0,9100000.0,8926319.063867755,1,1.01945717320763
use total,AOF-1895-1960,fao1952,1000 hectares,471149000.0,471149000.0,462289766.6732372,1,1.0191638101585425
use land,PHL-1800-2025,fao1952,1000 hectares,29741000.0,29741000.0,29182461.134617478,1,1.0191395394242455
use total,IRQ-1932-2025,fao1952,1000 hectares,44444000.0,44444000.0,43619951.68258666,1,1.0188915458552033
use total,LBN-1944-2025,fao1952,1000 hectares,1038000.0,1038000.0,1019946.189186542,1,1.0177007483383578
use total,COD-1910-1960,fao1952,1000 hectares,236500000.0,236500000.0,232678940.74692047,1,1.016422024446276
use total,IRN-1828-2025,fao1952,1000 hectares,164800000.0,164800000.0,162156409.90257365,1,1.016302717228475
use builton wasteland,MCO-1800-2025,fao1952,1000 hectares,2000.0,2000.0,1968.7429742488011,1,1.0158766411664912
use total,BRN-1888-2025,fao1952,1000 hectares,577000.0,577000.0,568481.737093705,1,1.0149842331784371
use total,IDN-1945-1949,fao1952,1000 hectares,190435000.0,190435000.0,187679544.90900704,1,1.0146817016863978
use total,CYP-1879-2025,fao1952,1000 hectares,925000.0,925000.0,912335.2706704042,1,1.0138816614206854
use land,GRC-1947-2025,fao1952,1000 hectares,13156000.0,13156000.0,12984108.643504981,1,1.013238595056042
use land,BRN-1888-2025,fao1952,1000 hectares,576000.0,576000.0,568481.737093705,1,1.0132251617171226
use land,CYP-1879-2025,fao1952,1000 hectares,924000.0,924000.0,912335.2706704042,1,1.0127855731380684
use total,NOR-1800-2025,fao1952,1000 hectares,32422000.0,32422000.0,32013566.058721602,1,1.012758151982482
use total,SWZ-1894-2025,fao1952,1000 hectares,1732000.0,1732000.0,1710337.897968958,1,1.0126653932283007
use builton wasteland,GRL-1800-2025,fao1952,1000 hectares,217600000.0,217600000.0,214891309.373302,1,1.0126049333246536
use total,GRL-1800-2025,fao1952,1000 hectares,217600000.0,217600000.0,214891309.373302,1,1.0126049333246536
use total,F228-1945-1991,fao1952,1000 hectares,2227000000.0,2227000000.0,2203338681.904822,1,1.0107388474997057
use total,ADE-1839-1963,fao1952,1000 hectares,29008000.0,29008000.0,28700557.89248932,1,1.0107120603251805
use land,BRB-1800-2025,fao1952,1000 hectares,43000.0,43000.0,42554.2223848971,1,1.0104755201744942
use total,IRL-1921-2025,fao1952,1000 hectares,7028000.0,7028000.0,6956458.76553353,1,1.0102841455513152
use total,LCA-1838-2025,fao1952,1000 hectares,62000.0,62000.0,61381.129249016325,1,1.0100824269373245
use land,SLB-1800-2025,fao1952,1000 hectares,2836000.0,2836000.0,2807695.1498140325,1,1.0100811693135
use total,ARG-1902-2025,fao1952,1000 hectares,280850000.0,280850000.0,278105447.8883827,1,1.009868746306325
use land,SWZ-1894-2025,fao1952,1000 hectares,1726000.0,1726000.0,1710337.897968958,1,1.0091573144988724
use land,IRN-1828-2025,fao1952,1000 hectares,163600000.0,163600000.0,162156409.90257365,1,1.0089024547243843
use total,ISL-1800-2025,fao1952,1000 hectares,10350000.0,10350000.0,10273390.510115536,1,1.00745707951129
use total,SWE-1905-2025,fao1952,1000 hectares,44920000.0,44920000.0,44590756.23254583,1,1.007383677588627
use total,MEX-1848-2025,fao1952,1000 hectares,197000000.0,197000000.0,195655365.70704648,1,1.006872463160386
