ratio,item,unit,whep_code,polity_name,source,median_value,area,n,item_median_intensity,assertion_keys,known_flow,flow_origin_iso3
146694.95624269915,phosphate rock,1000 tonnes,NRU-1888-2025,Nauru,fao1952,832.0,22.019163815489765,8,0.00025757714307060326,nauru|fao1952|1937-1951,,
35799.40783616854,p,tonnes,NRU-1888-2025,Nauru,iia,247520.0,22.019163815489765,16,0.3140028796474058,nauru|iia|1909-1933,,
5599.420528206645,phosphate rock,1000 tonnes,CXR-1946-1958,Christmas Island (under Singapore administration),fao1952,201.0,139.3624107646939,6,0.00025757714307060326,singapore christmas island|fao1952|1949-1951,,
2948.873631332431,sugar cane,tonnes,PRI-1800-2025,Puerto Rico,juan,7979500.0,8972.444342985882,27,0.3015843103313033,puerto rico|juan|1900-1960,,
2576.8539607468174,beer of barley,tonnes,F51-1945-1947,Czechoslovakia (1945-1947),mitchell,29981560.0,111773.18236346252,2,0.10409426519973411,czech republic|mitchell|1945-1946,,
2450.110671544777,"beans, dry",tonnes,BGR-1919-1940,Bulgaria (1919-1940),iia,22032000.0,103263.13610091528,2,0.0870809003333971,bulgaria|iia|1919-1939,,
2345.9511717761297,use unused productive land,1000 hectares,GUM-1950-2025,Guam (US Territory),fao1952,12118.0,550.3563917847312,1,0.009385728017133842,guam|fao1952|1950-1951,,
2084.565898498896,other hard fibers,1000 tonnes,SHN-1834-1967,Saint Helena (Crown Colony),fao1952,1.8,122.87068538689704,4,7.027625263915262e-06,st helena|fao1952|1931-1951,,
2005.8590876472383,cropa,1000 tonnes,TKL-1800-2025,Tokelau,fao1952,10.350000000000001,15.884362239570633,2,0.00032484048249375574,tokelau|fao1952|1949-1950,,
1305.5188119001104,pesticides rotenone,tonnes,SAA-1947-1957,Saar Protectorate,fao1952,103.0,2565.2203150015116,3,3.075596938414092e-05,france saar|fao1952|1948-1951; saar|fao1952|1949-1951,,
1291.6320472022167,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,BRB-1800-2025,Barbados,fao1952,165.0,434.58445270912586,4,0.0002939482959867938,british west indies barbados|fao1952|1935-1951; br west indies barbados|fao1952|1950-1951,,
1071.2768513004685,"rubber, natural",tonnes,MYS-1957-1963,Malaysia (1957-1963),mitchell,734000.0,131451.54252076847,3,0.005212290981469361,malaysia|mitchell|1957-1960,,
1004.1396099383138,"rubber, natural",tonnes,MYS-1946-1957,Malayan Union / Federation of Malaya (1946-1957),mitchell,688000.0,131451.54252076847,10,0.005212290981469361,malaysia|mitchell|1946-1956,,
859.7648069373491,sugar cane,tonnes,CUB-1800-2025,Cuba,juan,28282000.0,109074.11801961382,55,0.3015843103313033,cuba|juan|1901-1960,,
846.7224288624136,figs,ha,ITA-1919-2025,Italy,juan,240613.0,300310.4439810905,26,0.0009462536941369701,italy|juan|1919-1960,,
829.4676428985952,"cacao, beans",tonnes,STP-1800-2025,Sao Tome and Principe,iia,13605.05,1012.3640165028369,4,0.016201827088642793,sao tome and principe|iia|1930-1944,,
813.1353530141964,poultry,1000 heads,BRB-1800-2025,Barbados,fao1952,1730.5,434.58445270912586,4,0.004897050411867877,british west indies barbados|fao1952|1935-1951; br west indies barbados|fao1952|1950-1951,,
807.0762147839989,"tobacco, unmanufactured",tonnes,GRC-1919-1947,Greece (1919-1947),iia,5359600.0,129841.0864350498,3,0.051145295153688305,greece|iia|1919-1945,,
799.0181539154248,bananas,1000 tonnes,COM-1946-1975,Comoros (1946-1975),fao1952,740.0,1683.6992152062924,1,0.0005500606320865948,comoro islands|fao1952|1949-1951,,
787.4098395262139,"tobacco, unmanufactured",ha,REU-1816-1946,Réunion (French Colony),iia,54115.0,2623.08318152435,2,0.02620020940601075,reunion|iia|1909-1945,,
787.1542935919383,r_fao_population_1952_10_18,1000 people,MCO-1800-2025,Monaco,fao1952,22.5,2.38443329120421,2,0.011987744350629912,monaco|fao1952|1937-1951,,
749.9548814323716,poultry,1000 heads,SGP-1946-1963,Singapore (Crown Colony),fao1952,2000.0,544.5782406954,3,0.004897050411867877,singapore|fao1952|1948-1951,,
748.6522921184938,"cacao, beans",tonnes,GRD-1800-2025,Grenada,iia,4360.0,359.45318636546244,35,0.016201827088642793,grenada|iia|1909-1945,,
718.8826279308068,hops,tonnes,GBR-1921-2025,United Kingdom,iia,1230400.0,243963.92905649156,3,0.007015565997551479,united kingdom|iia|1921-1945,,
705.2043249568399,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,MUS-1800-2025,Mauritius,fao1952,436.5,2105.7089060802027,4,0.0002939482959867938,mauritius|fao1952|1948-1951,,
701.1277351670038,"cacao, beans",tonnes,STP-1800-2025,Sao Tome and Principe,mitchell,11500.0,1012.3640165028369,60,0.016201827088642793,sao tome and principe|mitchell|1900-1959,,
