polity_code,start_year,end_year,period,period_first,period_last,years_before_start,years_after_end,direction,years_covered,period_years,end_year_boundary_only,observed_rows,sources,n_sources
DEU-1920-1938,1920,1938,1934-1938,1934,1938,0,1,after,4,5,yes,113,fao1952;iia,2
F51-1918-1938,1918,1938,1934-1938,1934,1938,0,1,after,4,5,yes,89,fao1952;iia,2
HUN-1920-1938,1920,1938,1934-1938,1934,1938,0,1,after,4,5,yes,74,fao1952;iia,2
IND-1914-1937,1914,1937,1934-1938,1934,1938,0,2,after,3,5,no,44,fao1952;iia,2
BOL-1909-1938,1909,1938,1934-1938,1934,1938,0,1,after,4,5,yes,36,fao1952;iia,2
SBZ-1938-1949,1938,1949,1934-1938,1934,1938,4,0,before,1,5,no,29,fao1952,1
BGR-1878-1913,1878,1913,1909-1913,1909,1913,0,1,after,4,5,yes,28,iia,1
PRY-1932-1938,1932,1938,1934-1938,1934,1938,0,1,after,4,5,yes,27,fao1952;iia,2
PAK-1937-1947,1937,1947,1934-1938,1934,1938,3,0,before,2,5,no,18,fao1952,1
ROU-1859-1913,1859,1913,1909-1913,1909,1913,0,1,after,4,5,yes,17,iia,1
GRC-1881-1913,1881,1913,1909-1913,1909,1913,0,1,after,4,5,yes,16,iia,1
PRY-1870-1932,1870,1932,1928-1932,1928,1932,0,1,after,4,5,yes,16,iia,1
CHN-1921-1932,1921,1932,1928-1932,1928,1932,0,1,after,4,5,yes,13,iia,1
SER-1878-1913,1878,1913,1909-1913,1909,1913,0,1,after,4,5,yes,13,iia,1
ZAF-1910-2025,1910,2025,1909-1913,1909,1913,1,0,before,4,5,no,13,iia,1
KEN-1926-1963,1926,1963,1925-1929,1925,1929,1,0,before,4,5,no,11,iia,1
SAC-1935-1947,1935,1947,1934-1938,1934,1938,1,0,before,4,5,no,9,fao1952,1
CIV-1902-1932,1902,1932,1928-1932,1928,1932,0,1,after,4,5,yes,8,iia,1
AEF-1910-1960,1910,1960,1909-1913,1909,1913,1,0,before,4,5,no,6,iia,1
BFA-1919-1932,1919,1932,1928-1932,1928,1932,0,1,after,4,5,yes,6,iia,1
COD-1910-1960,1910,1960,1909-1913,1909,1913,1,0,before,4,5,no,6,iia,1
IRQ-1921-1932,1921,1932,1928-1932,1928,1932,0,1,after,4,5,yes,5,iia,1
TUR-1800-1913,1800,1913,1909-1913,1909,1913,0,1,after,4,5,yes,5,iia,1
CHN-1895-1913,1895,1913,1909-1913,1909,1913,0,1,after,4,5,yes,4,iia,1
GAB-1839-1912,1839,1912,1909-1913,1909,1913,0,2,after,3,5,no,4,iia,1
BGR-1878-1913,1878,1913,1900-1913,1900,1913,0,1,after,13,14,yes,3,iia,1
RYU-1937-1945,1937,1945,1934-1938,1934,1938,3,0,before,2,5,no,3,fao1952,1
DZA-CVD-1902-1919,1902,1919,1900-1913,1900,1913,2,0,before,12,14,no,2,iia,1
ETH-1936-1941,1936,1941,1934-1938,1934,1938,2,0,before,3,5,no,2,iia,1
F228-1905-1914,1905,1914,1900-1913,1900,1913,5,0,before,9,14,no,2,iia,1
GRC-1881-1913,1881,1913,1900-1913,1900,1913,0,1,after,13,14,yes,2,iia,1
MAR-1911-1958,1911,1958,1909-1913,1909,1913,2,0,before,3,5,no,2,iia,1
TUR-1800-1913,1800,1913,1900-1913,1900,1913,0,1,after,13,14,yes,2,iia,1
ARG-1902-2025,1902,2025,1900-1913,1900,1913,2,0,before,12,14,no,1,iia,1
AUS-1901-2025,1901,2025,1900-1913,1900,1913,1,0,before,13,14,no,1,iia,1
BRA-1903-1909,1903,1909,1900-1913,1900,1913,3,5,both,6,14,no,1,iia,1
CAP-1895-1910,1895,1910,1900-1913,1900,1913,0,4,after,10,14,no,1,iia,1
CHN-1895-1913,1895,1913,1900-1913,1900,1913,0,1,after,13,14,yes,1,iia,1
COL-1903-1922,1903,1922,1900-1913,1900,1913,3,0,before,11,14,no,1,iia,1
GKM-1884-1912,1884,1912,1909-1913,1909,1913,0,2,after,3,5,no,1,iia,1
KEN-1907-1924,1907,1924,1900-1913,1900,1913,7,0,before,7,14,no,1,iia,1
MOR-1904-1911,1904,1911,1900-1913,1900,1913,4,3,both,7,14,no,1,iia,1
PER-1884-1909,1884,1909,1900-1913,1900,1913,0,5,after,9,14,no,1,iia,1
ROU-1859-1913,1859,1913,1900-1913,1900,1913,0,1,after,13,14,yes,1,iia,1
SER-1878-1913,1878,1913,1900-1913,1900,1913,0,1,after,13,14,yes,1,iia,1
SWE-1905-2025,1905,2025,1900-1913,1900,1913,5,0,before,9,14,no,1,iia,1
