source,country,polity_code,item,unit,indicator,period,value,volume,volume_is_late,era_screened,implausible_tobacco_hops
iia,algeria,dza,cotton seed,tonnes,,1900-1913,0.692,iia_1925_26,no,no,
iia,antigua and barbuda,atg,cotton seed,tonnes,,1900-1913,124.0,iia_1925_26,no,no,
iia,argentina,arg,cotton seed,tonnes,,1900-1913,1485.0,iia_1925_26,no,no,
iia,australia,aus,cotton seed,tonnes,,1900-1913,38.0,iia_1925_26,no,no,
iia,barbados,brb,cotton seed,tonnes,,1900-1913,535.0,iia_1925_26,no,no,
iia,brazil,bra,cotton seed,tonnes,,1900-1913,181410.0,iia_1925_26,no,no,
iia,british virgin islands,rlam,cotton seed,tonnes,,1900-1913,41.0,iia_1925_26,no,no,
iia,bulgaria,bgr,cotton seed,tonnes,,1900-1913,252.0,iia_1925_26,no,no,
iia,"china, mainland",chn,cotton seed,tonnes,,1900-1913,1124260.0,iia_1925_26,no,no,
iia,colombia,col,cotton seed,tonnes,,1900-1913,2810.0,iia_1925_26,no,no,
iia,cyprus,cyp,cotton seed,tonnes,,1900-1913,1002.0,iia_1925_26,no,no,
iia,egypt,egy,cotton seed,tonnes,,1900-1913,617371.0,iia_1925_26,no,no,
iia,ghana,gha,cotton seed,tonnes,,1900-1913,1168.0,iia_1925_26,no,no,
iia,greece,grc,cotton seed,tonnes,,1900-1913,6372.0,iia_1925_26,no,no,
iia,grenada,grd,cotton seed,tonnes,,1900-1913,355.0,iia_1925_26,no,no,
iia,guatemala,gtm,cotton seed,tonnes,,1900-1913,73.0,iia_1925_26,no,no,
iia,haiti,hti,cotton seed,tonnes,,1900-1913,4682.0,iia_1925_26,no,no,
iia,india,ind,cotton seed,tonnes,,1900-1913,1810410.0,iia_1925_26,no,no,
iia,indonesia,idn,cotton seed,tonnes,,1900-1913,9297.0,iia_1925_26,no,no,
iia,iran,irn,cotton seed,tonnes,,1900-1913,55988.0,iia_1925_26,no,no,
iia,italy,ita,cotton seed,tonnes,,1900-1913,2623.0,iia_1925_26,no,no,
iia,japan,jpn,cotton seed,tonnes,,1900-1913,2495.0,iia_1925_26,no,no,
iia,kenya,ken,cotton seed,tonnes,,1900-1913,95.0,iia_1925_26,no,no,
iia,malawi,mwi,cotton seed,tonnes,,1900-1913,2547.0,iia_1925_26,no,no,
iia,malta,mlt,cotton seed,tonnes,,1900-1913,219.0,iia_1925_26,no,no,
iia,mexico,mex,cotton seed,tonnes,,1900-1913,101816.0,iia_1925_26,no,no,
iia,montserrat,rlam,cotton seed,tonnes,,1900-1913,332.0,iia_1925_26,no,no,
iia,nigeria,nga,cotton seed,tonnes,,1900-1913,4694.0,iia_1925_26,no,no,
iia,paraguay,pry,cotton seed,tonnes,,1900-1913,47.0,iia_1925_26,no,no,
iia,peru,per,cotton seed,tonnes,,1900-1913,60771.0,iia_1925_26,no,no,
iia,russian federation,rus,cotton seed,tonnes,,1900-1913,418586.0,iia_1925_26,no,no,
iia,saint kitts and nevis,kna,cotton seed,tonnes,,1900-1913,680.0,iia_1925_26,no,no,
iia,saint vincent and the grenadines,vct,cotton seed,tonnes,,1900-1913,518.0,iia_1925_26,no,no,
iia,south africa,zaf,cotton seed,tonnes,,1900-1913,38.0,iia_1925_26,no,no,
iia,south korea,kor,cotton seed,tonnes,,1900-1913,9781.0,iia_1925_26,no,no,
iia,tanzania,tza,cotton seed,tonnes,,1900-1913,4027.0,iia_1925_26,no,no,
iia,turkey,tur,cotton seed,tonnes,,1900-1913,51588.0,iia_1925_26,no,no,
iia,united states of america,usa,cotton seed,tonnes,,1900-1913,5269674.8,iia_1925_26,no,no,
iia,vanuatu,vut,cotton seed,tonnes,,1900-1913,277.0,iia_1925_26,no,no,
iia,algeria,dza,"silk-worm cocoons, reelable",tonnes,,1900-1913,4.9,iia_1925_26,no,no,
iia,bulgaria,bgr,"silk-worm cocoons, reelable",tonnes,,1900-1913,2050.0,iia_1925_26,no,no,
iia,"china, taiwan province of",twn,"silk-worm cocoons, reelable",tonnes,,1900-1913,17.227,iia_1925_26,no,no,
iia,france,fra,"silk-worm cocoons, reelable",tonnes,,1900-1913,5725.442,iia_1925_26,no,no,
iia,italy,ita,"silk-worm cocoons, reelable",tonnes,,1900-1913,40804.0,iia_1925_26,no,no,
iia,japan,jpn,"silk-worm cocoons, reelable",tonnes,,1900-1913,93393.39,iia_1925_26,no,no,
iia,mexico,mex,"silk-worm cocoons, reelable",tonnes,,1900-1913,2.51,iia_1925_26,no,no,
iia,morocco,mar,"silk-worm cocoons, reelable",tonnes,,1900-1913,0.92,iia_1925_26,no,no,
iia,romania,rou,"silk-worm cocoons, reelable",tonnes,,1900-1913,212.292,iia_1925_26,no,no,
iia,russian federation,rus,"silk-worm cocoons, reelable",tonnes,,1900-1913,10443.1,iia_1925_26,no,no,
iia,serbia,srb,"silk-worm cocoons, reelable",tonnes,,1900-1913,378.069,iia_1925_26,no,no,
iia,south korea,kor,"silk-worm cocoons, reelable",tonnes,,1900-1913,841.924,iia_1925_26,no,no,
iia,spain,esp,"silk-worm cocoons, reelable",tonnes,,1900-1913,1287.601,iia_1925_26,no,no,
iia,switzerland,che,"silk-worm cocoons, reelable",tonnes,,1900-1913,46.854,iia_1925_26,no,no,
iia,turkey,tur,"silk-worm cocoons, reelable",tonnes,,1900-1913,15023.775,iia_1925_26,no,no,
iia,austria,aut,wheat,tonnes,,1900-1913,247727.0,iia_1925_26,no,no,
iia,belgium,bel,wheat,tonnes,,1900-1913,18353.5,iia_1925_26,no,no,
iia,bulgaria,bgr,wheat,tonnes,,1900-1913,58565.0,iia_1925_26,no,no,
iia,canada,can,wheat,tonnes,,1900-1913,315767.5,iia_1925_26,no,no,
iia,denmark,dnk,wheat,tonnes,,1900-1913,65000.0,iia_1925_26,no,no,
iia,finland,fin,wheat,tonnes,,1900-1913,12469.4,iia_1925_26,no,no,
iia,france,fra,wheat,tonnes,,1900-1913,156457.6,iia_1925_26,no,no,
iia,greece,grc,wheat,tonnes,,1900-1913,21406.8,iia_1925_26,no,no,
iia,luxembourg,lux,wheat,tonnes,,1900-1913,22749.8,iia_1925_26,no,no,
iia,norway,nor,wheat,tonnes,,1900-1913,11148.3,iia_1925_26,no,no,
iia,spain,esp,wheat,tonnes,,1900-1913,29475.1,iia_1925_26,no,no,
iia,sweden,swe,wheat,tonnes,,1900-1913,319067.8,iia_1925_26,no,no,
