source,label,item,unit,period,volume,period_value,dated_mean,dated_n,dated_first,dated_last,ratio,verdict
iia,algeria,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,4.9,4.9004,5,1909,1913,0.999918,consistent
iia,bulgaria,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,2050.0,1314.9456,5,1909,1913,1.559,consistent
iia,france,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,5725.442,5725.4422,5,1909,1913,1.0,consistent
iia,italy,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,40804.0,40804.0,5,1909,1913,1.0,consistent
iia,japan,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,93393.39,15615.1682,5,1909,1913,5.98094,unexplained_period_higher
iia,romania,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,212.292,212.2924,5,1909,1913,0.999998,consistent
iia,russian federation,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,10443.1,8970.7668,4,1910,1913,1.164126,consistent
iia,south korea,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,841.924,841.9238,5,1909,1913,1.0,consistent
iia,spain,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,1287.601,1287.6012,5,1909,1913,1.0,consistent
iia,switzerland,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,46.854,46.854,5,1909,1913,1.0,consistent
iia,turkey,"silk-worm cocoons, reelable",tonnes,1900-1913,iia_1925_26,15023.775,15023.7753,3,1909,1911,1.0,consistent
iia,costa rica,"cacao, beans",tonnes,1909-1913,iia_1925_26,291.2,301.16,5,1909,1913,0.966928,consistent
iia,cuba,"cacao, beans",tonnes,1909-1913,iia_1925_26,1588.4,1588.44,5,1909,1913,0.999975,consistent
iia,dominica,"cacao, beans",tonnes,1909-1913,iia_1925_26,544.7,544.68,5,1909,1913,1.000037,consistent
iia,grenada,"cacao, beans",tonnes,1909-1913,iia_1925_26,5616.1,5582.74,5,1909,1913,1.005976,consistent
iia,guadeloupe,"cacao, beans",tonnes,1909-1913,iia_1925_26,861.4,861.56,5,1909,1913,0.999814,consistent
iia,guyana,"cacao, beans",ha,1909-1913,iia_1925_26,898.0,898.4,5,1909,1913,0.999555,consistent
iia,indonesia,"cacao, beans",tonnes,1909-1913,iia_1925_26,2345.0,1632.02,5,1909,1913,1.43687,consistent
iia,jamaica,"cacao, beans",ha,1909-1913,iia_1925_26,4714.0,4713.8,5,1909,1913,1.000042,consistent
iia,jamaica,"cacao, beans",tonnes,1909-1913,iia_1925_26,2643.3,2643.32,5,1909,1913,0.999992,consistent
iia,martinique,"cacao, beans",tonnes,1909-1913,iia_1925_26,558.6,558.62,5,1909,1913,0.999964,consistent
iia,papua new guinea,"cacao, beans",ha,1909-1913,iia_1925_26,384.0,389.75,4,1910,1913,0.985247,consistent
iia,saint lucia,"cacao, beans",ha,1909-1913,iia_1925_26,2400.0,2400.0,4,1910,1913,1.0,consistent
iia,saint lucia,"cacao, beans",tonnes,1909-1913,iia_1925_26,855.5,855.52,5,1909,1913,0.999977,consistent
iia,saint vincent and the grenadines,"cacao, beans",ha,1909-1913,iia_1925_26,400.0,400.0,5,1909,1913,1.0,consistent
iia,saint vincent and the grenadines,"cacao, beans",tonnes,1909-1913,iia_1925_26,108.9,108.88,5,1909,1913,1.000184,consistent
iia,samoa,"cacao, beans",ha,1909-1913,iia_1925_26,2517.0,2159.5,4,1910,1913,1.165548,consistent
iia,samoa,"cacao, beans",tonnes,1909-1913,iia_1925_26,692.4,706.175,4,1910,1913,0.980494,consistent
iia,sri lanka,"cacao, beans",ha,1909-1913,iia_1925_26,13191.0,13190.75,4,1909,1913,1.000019,consistent
iia,sri lanka,"cacao, beans",tonnes,1909-1913,iia_1925_26,3597.8,3597.84,5,1909,1913,0.999989,consistent
iia,suriname,"cacao, beans",ha,1909-1913,iia_1925_26,9751.0,9751.4,5,1909,1913,0.999959,consistent
iia,suriname,"cacao, beans",tonnes,1909-1913,iia_1925_26,1496.8,1496.82,5,1909,1913,0.999987,consistent
iia,trinidad and tobago,"cacao, beans",ha,1909-1913,iia_1925_26,123000.0,123028.6,5,1909,1913,0.999768,consistent
iia,australia,"coffee, green",ha,1909-1913,iia_1925_26,80.0,80.4,5,1909,1913,0.995025,consistent
iia,australia,"coffee, green",tonnes,1909-1913,iia_1925_26,48.2,48.24,5,1909,1913,0.999171,consistent
iia,guadeloupe,"coffee, green",tonnes,1909-1913,iia_1925_26,859.2,859.24,5,1909,1913,0.999953,consistent
iia,guyana,"coffee, green",ha,1909-1913,iia_1925_26,1036.0,1035.6,5,1909,1913,1.000386,consistent
iia,india,"coffee, green",ha,1909-1913,iia_1925_26,84062.0,84001.8,5,1909,1913,1.000717,consistent
iia,jamaica,"coffee, green",ha,1909-1913,iia_1925_26,8875.0,9445.8,5,1909,1913,0.939571,consistent
iia,jamaica,"coffee, green",tonnes,1909-1913,iia_1925_26,3887.4,3809.36,5,1909,1913,1.020486,consistent
iia,madagascar,"coffee, green",ha,1909-1913,iia_1925_26,8579.0,8579.0,3,1911,1913,1.0,consistent
iia,malawi,"coffee, green",ha,1909-1913,iia_1925_26,1479.0,1479.4,5,1909,1913,0.99973,consistent
