whole_code,part_code,relation,overlap_sources,disposition,evidence,note
AEF-1910-1960,GAB-1919-1960,partition,,none,wiki/polities/aef-1910-1960.md,"Constituent territories table names all four colonies with their CShapes gwcodes iia feeds BOTH sides from 2026-08-18: the `congo` label was rerouted to this whole (it carries the FEA federation total, 91% matched to raw `french equatorial africa`) while this part keeps its own iia label. 17 (item, unit, year) cells are present on both sides and the item sets overlap completely, so summing whole and part double-counts. Not resolvable by disjoint items. MEASURED DOUBLE COUNT, INVISIBLE TO THIS GATE: iia's `congo` label was rerouted to this whole on 2026-08-18 (it carries the FEA federation total, 91% matched to raw `french equatorial africa`) while this part keeps its own iia label. 17 (item, unit, year) cells sit on both sides and the item sets overlap completely, so summing whole and part double-counts. `overlap_sources` is left EMPTY on purpose: it means an alias pair feeds both sides, and this part is reached by iso-family matching with no alias at all, which the overlap check cannot model. Same wildcard-alias blind spot as AOI-1936-1941 <- ITS-1908-1960."
AEF-1910-1960,COG-1919-1960,partition,,none,wiki/polities/aef-1910-1960.md,
AEF-1910-1960,CAF-1919-1960,partition,,none,wiki/polities/aef-1910-1960.md,"iia feeds BOTH sides from 2026-08-18: the `congo` label was rerouted to this whole (it carries the FEA federation total, 91% matched to raw `french equatorial africa`) while this part keeps its own iia label. 10 (item, unit, year) cells are present on both sides and the item sets overlap completely, so summing whole and part double-counts. Not resolvable by disjoint items. MEASURED DOUBLE COUNT, INVISIBLE TO THIS GATE: iia's `congo` label was rerouted to this whole on 2026-08-18 (it carries the FEA federation total, 91% matched to raw `french equatorial africa`) while this part keeps its own iia label. 10 (item, unit, year) cells sit on both sides and the item sets overlap completely, so summing whole and part double-counts. `overlap_sources` is left EMPTY on purpose: it means an alias pair feeds both sides, and this part is reached by iso-family matching with no alias at all, which the overlap check cannot model. Same wildcard-alias blind spot as AOI-1936-1941 <- ITS-1908-1960."
AEF-1910-1960,TCD-1919-1960,partition,,none,wiki/polities/aef-1910-1960.md,"iia feeds BOTH sides from 2026-08-18: the `congo` label was rerouted to this whole (it carries the FEA federation total, 91% matched to raw `french equatorial africa`) while this part keeps its own iia label. 6 (item, unit, year) cells are present on both sides and the item sets overlap completely, so summing whole and part double-counts. Not resolvable by disjoint items. MEASURED DOUBLE COUNT, INVISIBLE TO THIS GATE: iia's `congo` label was rerouted to this whole on 2026-08-18 (it carries the FEA federation total, 91% matched to raw `french equatorial africa`) while this part keeps its own iia label. 6 (item, unit, year) cells sit on both sides and the item sets overlap completely, so summing whole and part double-counts. `overlap_sources` is left EMPTY on purpose: it means an alias pair feeds both sides, and this part is reached by iso-family matching with no alias at all, which the overlap check cannot model. Same wildcard-alias blind spot as AOI-1936-1941 <- ITS-1908-1960."
AOF-1895-1960,SEN-1886-1960,partition,,none,wiki/polities/aof-1895-1960.md,Constituent territories table; MLI and MRT rows now exist and are listed here
AOF-1895-1960,GIN-1894-1958,partition,,none,wiki/polities/aof-1895-1960.md,
AOF-1895-1960,CIV-1947-1960,partition,,none,wiki/polities/aof-1895-1960.md,
AOF-1895-1960,BEN-1898-1960,partition,,none,wiki/polities/aof-1895-1960.md,
AOF-1895-1960,NER-1947-1960,partition,,none,wiki/polities/aof-1895-1960.md,
AOF-1895-1960,BFA-1947-1960,partition,,none,wiki/polities/aof-1895-1960.md,272319 of its 272322 km2 also lies inside MLI-1890-1960's 1905-vintage polygon
