source,label_pattern,item_pattern,convention,evidence,verified,verified_by,flow_type,origin_iso3,corroboration,retested,retest
fao1952,*,population,"RESOLVED: the FAO 1952 ""population"" series is FIVE DISTINCT INDICATORS sharing one item code (r_fao_population_1952_10_18): ""population total"", ""population agricultural"", ""population agricultural ocupati[on]"" (economically active in agriculture) and its male/female splits. Layer B keeps them apart in the `indicator` column; the item code does not, so any median keyed on `item` alone MIXES all five and lands somewhere between them. ""population total"" IS true total population and can be used as such. A figure around a third of the total is the agricultural-occupied indicator, NOT a defect and NOT evidence of a territorial mismatch. Always read `indicator` before using a figure. Separately, 21 of the 212 entities carrying a total-population row have an implausible 1937->1951 step (extraction defects: Afghanistan 1951 = 0, Pakistan 1951 = 5,842k against 66,009k in 1937, Austria 1951 = 916k), so check per-entity plausibility.","Measured 2026-08-14 against consolidated_layer_b.parquet (868 fao1952 population rows, years 1937 and 1951). Yugoslavia 1937: total 15,722k (1931 census 13.9M, 1948 census 15.77M), agricultural 10,629k, agricultural-occupied 5,083k -- the previously recorded ""median ~5.08M"" is EXACTLY the agricultural-occupied row, and also the median of the five indicator-mixed 1937 rows the evidence bundle saw. Turkey: total 16,823k (1937) and 20,935k (1951), matching the 1935 and 1950 censuses; the recorded ""~6,086k"" is exactly the median of Turkey's ten indicator-mixed rows, (5,712+6,459)/2 = 6,085.5. Saar 1937 = 821k is the ""population total"" indicator under country label ""Saar""; the Saar's agricultural rows sit under a SEPARATE label ""France  Saar"", so that bundle only ever saw the total series -- there was never a contradiction, and the ""small/non-agricultural territory"" hypothesis is falsified. The claimed uniform ~1/3 cross-check also fails: agricultural-occupied/total in 1937 is USA 6.5%, Germany 12.4%, Japan 20.2%, and the source carries NO USSR population row at all (its aggregate is literally labelled ""GENERAL TOTAL EXCLUDING THE USSR""). Independent check of the total series, 1937: Italy 42,372k, France 41,200k, Egypt 16,008k, India 304,333k, China 452,460k, Poland 31,600k, USA 128,961k -- all within a few percent of accepted figures; 191 of 212 entities show a plausible 1951/1937 ratio.",2026-08-14,issue-13 re-measurement (indicator column resolves the apparent contradiction),production,,verifier_plus_measurement,2026-08-17,"2026-08-17 re-measured (11_retest_conventions.py): 868 fao1952 population rows, years 1937 and 1951, FIVE distinct `indicator` values under ONE item_code; Yugoslavia 1937 'population total' 15,722k, agricultural 10,629k, agricultural-occupied 5,083k; Turkey total 16,823k (1937) / 20,935k (1951); Saar total 821k with its agricultural rows still under the separate label 'France  Saar'. Every figure in the evidence column reproduced exactly. Conclusion stands."
iia,russian federation,*,"IIA labels its Soviet series ""Russian Federation"" / ""Russia"" but reports WHOLE-USSR territory, not the RSFSR proper. Route to the USSR-scope polity; check magnitudes before ever routing such a label to a Russia-proper polity.","Cotton lint and cotton seed AREA medians are both 2,033,000 ha (1922-1940, n=15 each; lint 399,900 t, seed 851,400 t) -- far too large for the RSFSR alone, since Soviet cotton was grown in Central Asia and Transcaucasia -- and rye area 24,026,000 ha is union-scale. Re-measured 2026-08-17 against consolidated_layer_b.parquet; these figures REPLACE the ~796k ha / ~1.5M ha / ~22M ha originally recorded, which do not reproduce against any unit or window.",2026-07-24,assertion-verification (two independent verifiers),production,,two_independent_verifiers,2026-08-17,"2026-08-17 re-measured: 1922-1940 medians cotton lint 2,033,000 ha (n=15) / 399,900 t, cotton seed 2,033,000 ha (n=15) / 851,400 t, rye 24,026,000 ha (n=15). Conclusion stands and is stronger than recorded, but the figures the evidence column carried ('~796k ha' cotton lint, '~1.5M ha' cotton seed, '~22M ha' rye) did NOT reproduce and have been replaced with the measured ones."
iia,south korea,*,"For pre-1945 years IIA's ""south korea"" label covers the WHOLE Korean peninsula (Japanese Chosen) — no separate southern entity existed. Anachronistic label, peninsula-scale data.","432 rows under the label, 361 of them dated, spanning 1909-1945, with peninsula-scale magnitudes (soybean area median 786,278 ha, cotton seed 204,209 ha); consistent with the IIA's colonial-era Korea coverage, and 'south korea' is the only Korean label the source carries. Row count re-measured 2026-08-17: the earlier '432 dated rows' conflated total rows with dated rows.",2026-07-24,assertion-verification,production,,single_verifier,2026-08-17,"2026-08-17 re-measured: 'south korea' is the ONLY iia label containing 'korea'; 432 rows of which 361 carry a year, 1909-1945; soybean area median 786,278 ha (n=12), cotton seed 204,209 ha -- peninsula-scale. Conclusion stands; the evidence's '432 dated rows' was 432 rows of which 361 are dated, corrected."
juan,germany,*,"For 1949-1960 the juan source carries a single undifferentiated ""germany"" label with no FRG/GDR split; route to the aggregate-Germany polity, not West Germany alone.","650 rows across 12 years (1949-1960) under one label, and no companion FRG/GDR series anywhere in the source -- juan carries no label containing 'west', 'east', 'federal' or 'democratic'. Re-measured 2026-08-17; replaces the earlier '603 rows across 11 years (1950-1960)', which does not reproduce.",2026-07-24,assertion-verification (two independent verifiers),production,,two_independent_verifiers,2026-08-17,"2026-08-17 re-measured: 650 rows under the single label 'germany' across 12 years 1949-1960, and juan carries NO companion FRG/GDR label anywhere in the panel. Conclusion stands; the evidence's '603 rows across 11 years (1950-1960)' did not reproduce and has been corrected."
juan,finland,*,juan reports Finland on the settled post-1940 reduced-territory basis throughout 1941-1960 — it does NOT switch to the briefly recaptured Karelia borders during the Continuation War.,"Sown-area series (barley/oats/wheat) smooth and continuous across 1941-1944 and the 1944 armistice; oats fall 472k ha (1939) to a 310k ha trough (1945) then recover — wartime disruption, not a territorial step.",2026-07-24,assertion-verification (two independent verifiers),production,,two_independent_verifiers,2026-08-17,"2026-08-17 re-measured: oats sown area 1939=472,000 ha falling monotonically to a 1945 trough of 310,000 ha (1940 427k, 1941 399k, 1942 379k, 1943 354k, 1944 314k), then 437,000 ha by 1950; no year-on-year step above 15% anywhere in 1939-1945, so no territorial switch at either the 1940 cession or the 1944 armistice. Reproduced exactly. Conclusion stands."
juan,Czechoslovakia,*,"The juan/Mitchell-FAO compiled crop-area (and likely production) series under the label 'Czechoslovakia' are reported on a roughly constant, pre-Munich/post-restoration territorial basis across 1919-1946+; they do NOT reflect the 1938-1944 wartime territorial losses (Sudetenland, southern Slovakia, occupation) that CShapes documents for polity F51-1938-1945. Treat 1938-1944 'Czechoslovakia' rows from this source as best-available (not territorially verified) matches to F51-1938-1945.",Direct extraction of barley and potato area (ha) by year from the juan/Mitchell-FAO source file shows smooth values across 1937-1946 (e.g. barley 671k/660k/656k/754k/647k/659k/590k/549k/550k/546k for 1937-1946) with no ~28% step change at either the 1938 or 1945 territorial-change boundaries documented in the candidate polity's wiki page.,2026-07-27,assertion-verification (czechoslovakia|juan|1938-1944),production,,verifier_plus_measurement,2026-08-17,2026-08-17 re-measured: barley area 1937-1946 = 671/660/656/754/647/659/590/549/550/546 thousand ha and potatoes 772/763/749/728/680/707/722/727/654/640 thousand ha; no step above 25% at either the 1938 or the 1945 boundary. Reproduced exactly. Conclusion stands.
iia,djibouti,"coffee, green","IIA figures reported under 'Djibouti'/French Somaliland for coffee, green are transit/re-export volumes of Ethiopian-origin coffee passing through the port via the Djibouti-Addis Ababa railway, not domestic production of the territory.","Web research: the Djibouti-Addis Ababa railway (1897-1917) made Djibouti the premier export port for Ethiopian coffee from the Harar region; France held a near-monopoly on Ethiopia's export trade via this route until the mid-1950s. Magnitude (median 14,114 t/yr) is implausible as domestic output for a small arid territory with no known coffee agriculture.",2026-07-27,assertion-verification (djibouti|iia|1929-1945),entrepot_transit,ETH,verifier_plus_external_source,2026-08-17,"2026-08-17 re-measured: 'coffee, green' under 'djibouti' is 5 rows, years 1930-1933, median 14,113.7 t (min 12,514 t, max 21,106 t). The median reproduced exactly; the observed span is 1930-1933, narrower than the 1929-1945 window named in verified_by, so the flag is written on (source, label, item) with no year bound. Conclusion stands."
iia,algeria,*,"IIA/agricultural yearbooks report Algeria as its own territorial reporting unit, distinct from metropolitan France, despite Algeria's administrative integration into France during the colonial period -- unlike some empire-vs-metropole ambiguities (e.g. Austria/Cisleithania), there is no fold-up risk for this label.","Staple magnitudes (olives, oranges, cotton) match Algeria's own Mediterranean-belt agricultural geography rather than combined France+Algeria totals, and IIA consistently tabulates Algeria separately across the observed span with no discontinuity at years when metropolitan-France reporting conventions might otherwise intrude. || Corroborated by an independent re-measurement, not a second opinion on the same evidence: data/final/source_stated_area_basis.csv records IIA stating an ALGERIE area in six editions (1909;1925;1929;1932;1933;1938), 2,195,696 km2 against our 2,318,386 km2 colony polygon, ratio 1.056, flagged `agrees`. A source folding Algeria into France would not state a separate area for it six times. Re-tested structurally by check_iia_algeria: iia carries 567 algeria rows against 426 france rows as separate labels, 20 shared items.",2026-08-17,assertion-verification (algeria|iia|1920-1945),production,,verifier_plus_measurement,2026-08-17,check_iia_algeria in pipelines/polity-autoimprove/11_retest_conventions.py
fao1952,France,*,"In fao1952, the plain country label 'France' denotes metropolitan France only. Algeria and the Saar (including the 1948-56 France-Saar customs union) are reported under separate distinct labels ('Algeria', 'French North Africa Algeria', 'Saar', 'France Saar'), not folded into 'France'.","fao1952 carries France (324 rows), Algeria (263) and Saar (146) as separate labels, and ALSO carries a distinct 'France Saar' combination (131 rows) for the 1948-56 customs union -- a source folding the union into 'France' would not tabulate the combination separately. 47 items shared between France and Algeria, Algeria's median below France's in 35.",2026-08-18,assertion-verification (france|fao1952|1937-1951),production,,verifier_plus_measurement,2026-08-18,check_fao1952_france in pipelines/polity-autoimprove/11_retest_conventions.py
mitchell,algeria,*,"Mitchell's colonial-Algeria agricultural series (crop areas in ha, production in tonnes) follow the same civil-departments reporting basis already documented for IIA under issue 166: they cover northern Algeria (the departments of Alger, Oran, Constantine, ~575,511 km2) rather than the full colony polygon including the Sahara Southern Territories annexed in 1902 (~2.44M km2). Tell: cropland magnitudes (wheat ~1.3M ha, barley ~1.15M ha) are agronomically plausible only for the northern departments, never the Sahara.","CAMEL TEST, independent of the cropland magnitudes this was learned from: camels are a Saharan animal, so a widening to the full colony at the 1902 Southern Territories annexation would step the herd up. Measured across a 74-year series from 1867: 203,000 head median pre-1902 vs 180,500 from 1902, 0.89x -- it goes slightly DOWN. Cropland cannot discriminate (desert holds little either way). Cross-source second line: Mitchell and IIA agree on shared items (oats 164,000 vs 185,000 ha, 0.89; olive oil 22,000 vs 20,685 t, 1.06) and IIA's civil-departments basis is issue 166's.",2026-08-18,assertion-verification (algeria|mitchell|1902-1918),production,,verifier_plus_measurement,2026-08-18,check_mitchell_algeria in pipelines/polity-autoimprove/11_retest_conventions.py
