country,item,unit,year_before,year_after,source_before,source_after,value_before,value_after,ratio
united states of america,flax fibre and tow,ha,1949,1950,juan,mitchell,1000.000,1655000.000,1655.0000
united states of america,flax fibre and tow,ha,1951,1952,juan,mitchell,1000.000,1337000.000,1337.0000
canada,flax fibre and tow,ha,1956,1957,juan,mitchell,1000.000,1231000.000,1231.0000
united kingdom,sheep,heads,1866,1867,mitchell,juan,31000.000,33755000.000,1088.8710
india,groundnuts with shell,tonnes,1945,1946,iia,mitchell,5500.000,3646000.000,662.9091
canada,flax fibre and tow,ha,1924,1925,juan,mitchell,2331.000,517000.000,221.7932
canada,flax fibre and tow,ha,1951,1952,juan,mitchell,3000.000,469000.000,156.3333
myanmar,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,42000.000,6247200.000,148.7429
turkey,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,65000.000,7135600.000,109.7785
china mainland,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,499000.000,51345800.000,102.8974
japan,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,86000.000,8705400.000,101.2256
philippines,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,34000.000,3440600.000,101.1941
iraq,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,4200.000,422000.000,100.4762
madagascar,tobacco unmanufactured,tonnes,1944,1945,mitchell,iia,2000.000,193300.000,96.6500
bulgaria,rapeseed,ha,1916,1917,iia,juan,77.000,7000.000,90.9091
zimbabwe,tobacco unmanufactured,tonnes,1944,1945,mitchell,iia,24000.000,2141800.000,89.2417
algeria,tobacco unmanufactured,tonnes,1944,1945,mitchell,iia,8000.000,680400.000,85.0500
iran,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,16000.000,1270000.000,79.3750
thailand,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,12700.000,937900.000,73.8504
france,grapes,tonnes,1937,1938,iia,juan,159100.000,7900000.000,49.6543
france,grapes,tonnes,1945,1946,iia,juan,106700.000,4929000.000,46.1949
turkey,wheat,ha,1940,1941,iia,mitchell,107000.000,4394000.000,41.0654
uruguay,oats,tonnes,1903,1904,juan,mitchell,150.000,4000.000,26.6667
indonesia,tobacco unmanufactured,tonnes,1939,1940,mitchell,iia,103000.000,2079600.000,20.1903
niger,groundnuts with shell,tonnes,1945,1946,iia,mitchell,40000.000,663000.000,16.5750
united states of america,sugar cane,tonnes,1911,1912,mitchell,juan,334000.000,5340863.000,15.9906
argentina,grapes,tonnes,1932,1933,juan,iia,15875.000,215000.000,13.5433
hungary,sunflower seed,tonnes,1944,1945,iia,juan,10900.000,127200.000,11.6697
china taiwan province of,tea,tonnes,1945,1946,iia,mitchell,302.000,3000.000,9.9338
malawi,tobacco unmanufactured,tonnes,1944,1945,mitchell,iia,11000.000,101200.000,9.2000
uruguay,barley,tonnes,1903,1904,juan,mitchell,658.700,6000.000,9.1089
bulgaria,groundnuts with shell,ha,1932,1933,iia,juan,44.000,400.000,9.0909
netherlands,hemp tow waste,ha,1917,1918,iia,juan,37.000,300.000,8.1081
argentina,rye,ha,1918,1919,juan,mitchell,10405.000,83000.000,7.9769
paraguay,wheat,ha,1956,1957,juan,mitchell,2000.000,15000.000,7.5000
argentina,grapes,tonnes,1939,1940,iia,juan,266300.000,1904900.000,7.1532
bolivia,wheat,tonnes,1928,1929,mitchell,juan,12000.000,83000.000,6.9167
romania,hops,ha,1932,1933,iia,juan,29.000,200.000,6.8966
argentina,grapes,tonnes,1933,1934,iia,juan,215000.000,1450000.000,6.7442
dr congo,cotton lint,tonnes,1919,1920,iia,mitchell,75.000,500.000,6.6667
nigeria,cotton lint,tonnes,1936,1937,iia,mitchell,8200.000,54000.000,6.5854
uruguay,sunflower seed,tonnes,1939,1940,iia,juan,4200.000,23000.000,5.4762
el salvador,cotton lint,tonnes,1931,1932,iia,juan,7.900,41.600,5.2658
romania,cotton lint,tonnes,1930,1931,iia,juan,3.900,20.000,5.1282
paraguay,oranges,tonnes,1929,1930,juan,iia,2090.000,10400.000,4.9761
el salvador,sugar cane,ha,1946,1947,mitchell,juan,5000.000,22000.000,4.4000
paraguay,wheat,tonnes,1956,1957,juan,mitchell,3000.000,12000.000,4.0000
morocco,oil olive virgin,tonnes,1945,1946,iia,mitchell,3000.000,12000.000,4.0000
uruguay,rye,tonnes,1919,1920,juan,iia,27.700,108.000,3.8989
zimbabwe,groundnuts with shell,tonnes,1945,1946,iia,mitchell,4000.000,15000.000,3.7500
bolivia,wheat,tonnes,1932,1933,juan,mitchell,40200.000,145000.000,3.6070
south africa,groundnuts with shell,tonnes,1945,1946,iia,mitchell,8800.000,28000.000,3.1818
guatemala,groundnuts with shell,tonnes,1930,1931,iia,juan,5.000,15.500,3.1000
tunisia,oil olive virgin,tonnes,1915,1916,iia,mitchell,20420.500,63000.000,3.0851
malawi,tea,tonnes,1910,1911,iia,mitchell,32.513,100.000,3.0757
denmark,tobacco unmanufactured,ha,1911,1912,iia,juan,67.000,200.000,2.9851
chile,flax fibre and tow,ha,1913,1914,juan,iia,68.000,201.000,2.9559
ecuador,rice paddy,ha,1932,1933,juan,mitchell,12000.000,35000.000,2.9167
chile,flax fibre and tow,tonnes,1912,1913,juan,iia,57.500,167.600,2.9148
united states of america,sugar cane,ha,1908,1909,mitchell,juan,41000.000,118000.000,2.8780
algeria,oats,tonnes,1945,1946,iia,mitchell,43200.000,124000.000,2.8704
syrian arab republic,oil olive virgin,tonnes,1945,1946,iia,mitchell,2100.000,6000.000,2.8571
malawi,tea,tonnes,1912,1913,iia,mitchell,36.577,100.000,2.7340
argentina,barley,tonnes,1910,1911,mitchell,juan,20000.000,54145.000,2.7073
argentina,barley,tonnes,1907,1908,mitchell,juan,36000.000,93689.000,2.6025
haiti,horses,heads,1929,1930,juan,mitchell,120000.000,310000.000,2.5833
bolivia,maize,tonnes,1927,1928,juan,mitchell,270000.000,690000.000,2.5556
el salvador,sugar raw centrifugal,tonnes,1930,1931,mitchell,iia,12000.000,30199.300,2.5166
peru,mules and hinnies,heads,1947,1948,juan,mitchell,123000.000,300000.000,2.4390
canada,potatoes,tonnes,1907,1908,mitchell,juan,825000.000,2008268.600,2.4343
peru,asses,heads,1947,1948,juan,mitchell,356000.000,866000.000,2.4326
uruguay,lemons and limes,tonnes,1942,1943,juan,iia,2400.000,5800.000,2.4167
paraguay,swine pigs,heads,1959,1960,juan,mitchell,476000.000,1150000.000,2.4160
colombia,potatoes,ha,1951,1952,mitchell,juan,50000.000,120000.000,2.4000
guatemala,tobacco unmanufactured,ha,1930,1931,iia,juan,53.000,127.000,2.3962
argentina,tobacco unmanufactured,tonnes,1918,1919,juan,mitchell,4263.100,10000.000,2.3457
paraguay,horses,heads,1959,1960,juan,mitchell,292000.000,684000.000,2.3425
guatemala,swine pigs,heads,1920,1921,mitchell,juan,41000.000,95586.000,2.3314
colombia,goats,heads,1954,1955,juan,mitchell,294000.000,684000.000,2.3265
colombia,asses,heads,1954,1955,juan,mitchell,282000.000,650000.000,2.3050
paraguay,cattle,heads,1948,1949,juan,mitchell,3365000.000,7730000.000,2.2972
paraguay,goats,heads,1958,1959,juan,mitchell,62000.000,142000.000,2.2903
