source,source_detail,whole_label,part_labels,n_parts,item,indicator,unit,year,period,whole,parts_sum,residual,action,proposed,diagnosis
fao1952,r_fao_population_1952_10_18.xlsx,British Borneo,British Borneo Brunei; British Borneo North Borneo; British Borneo Sarawak,3,r_fao_population_1952_10_18,population:population total,1000 people,1937,,770.0,770.0,0.0,mark_aggregate,,"parts sum to the stated whole (770.0), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
fao1952,r_fao_population_1952_10_18.xlsx,British Borneo,British Borneo Brunei; British Borneo North Borneo; British Borneo Sarawak,3,r_fao_population_1952_10_18,population:population total,1000 people,1951,,953.0,953.0,0.0,mark_aggregate,,"parts sum to the stated whole (953.0), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
fao1952,r_fao_inputs_1952_188_189_commercial_phosphoric_acid.xlsx,French North Africa,French North Africa Algeria; French North Africa Morocco; French North Africa Tunisia,3,commercial phosphoric acid,inputs:consumption,1000 tonnes,1950,,46.8,46.8,0.0,mark_aggregate,,"parts sum to the stated whole (46.8), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
fao1952,r_fao_inputs_1952_188_189_commercial_phosphoric_acid.xlsx,French North Africa,French North Africa Algeria; French North Africa Morocco; French North Africa Tunisia,3,commercial phosphoric acid,inputs:consumption,1000 tonnes,1951,,50.8,50.8,0.0,mark_aggregate,,"parts sum to the stated whole (50.8), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
fao1952,r_fao_inputs_1952_188_189_commercial_phosphoric_acid.xlsx,French North Africa,French North Africa Algeria; French North Africa Morocco,2,commercial phosphoric acid,inputs:production,1000 tonnes,1950,,47.7,47.7,0.0,mark_aggregate,,"parts sum to the stated whole (47.7), so this whole row is an aggregate of its 2 part row(s) and is_aggregate is False on it"
fao1952,r_fao_inputs_1952_188_189_commercial_phosphoric_acid.xlsx,French North Africa,French North Africa Algeria; French North Africa Morocco,2,commercial phosphoric acid,inputs:production,1000 tonnes,1951,,71.4,71.4,0.0,mark_aggregate,,"parts sum to the stated whole (71.4), so this whole row is an aggregate of its 2 part row(s) and is_aggregate is False on it"
fao1952,r_fao_inputs_1952_190_191_commercial_potash_fertilizers.xlsx,French North Africa,French North Africa Algeria; French North Africa Morocco; French North Africa Tunisia,3,commercial potash fertilizers,inputs:consumption,1000 tonnes,1950,,19.1,19.1,0.0,mark_aggregate,,"parts sum to the stated whole (19.1), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
fao1952,r_fao_inputs_1952_190_191_commercial_potash_fertilizers.xlsx,French North Africa,French North Africa Algeria; French North Africa Morocco; French North Africa Tunisia,3,commercial potash fertilizers,inputs:consumption,1000 tonnes,1951,,22.1,22.1,0.0,mark_aggregate,,"parts sum to the stated whole (22.1), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
fao1952,r_fao_crops_1952_28_29_rye.xlsx,Germany,Germany Berlin; Germany Eastern; Germany Western,3,rye,crops:area,1000 hectares,,1934-1938,2878.0,2878.0,0.0,mark_aggregate,,"parts sum to the stated whole (2,878.0), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
fao1952,r_fao_crops_1952_28_29_rye.xlsx,Germany,Germany Berlin; Germany Eastern; Germany Western,3,rye,crops:area,1000 hectares,1949,,2714.0,2714.0,0.0,mark_aggregate,,"parts sum to the stated whole (2,714.0), so this whole row is an aggregate of its 3 part row(s) and is_aggregate is False on it"
